"date","EHGDUS Index","USGG2YR Index","USGG10YR Index","USURTOT Index","PRUSTOT Index","CONSSENT Index","CPI YOY Index"
"1990-01-31","0.9","8.254","8.418","5.4","66.8","93","5.2"
"1990-02-01","0.9","8.28","8.413","5.4","66.8","93","5.2"
"1990-02-02","0.9","8.341","8.494","5.4","66.8","93","5.2"
"1990-02-03","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-04","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-05","0.9","8.359","8.519","5.4","66.8","93","5.2"
"1990-02-06","0.9","8.402","8.58","5.4","66.8","93","5.2"
"1990-02-07","0.9","8.385","8.536","5.4","66.8","93","5.2"
"1990-02-08","0.9","8.315","8.429","5.4","66.8","93","5.2"
"1990-02-09","0.9","8.218","8.29","5.4","66.8","93","5.2"
"1990-02-10","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-11","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-12","0.9","8.28","8.385","5.4","66.8","93","5.2"
"1990-02-13","0.9","8.192","8.32","5.4","66.8","93","5.2"
"1990-02-14","0.9","8.262","8.373","5.4","66.8","93","5.2"
"1990-02-15","0.9","8.324","8.413","5.4","66.8","93","5.2"
"1990-02-16","0.9","8.324","8.413","5.4","66.8","93","5.2"
"1990-02-17","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-18","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-20","0.9","8.493","8.629","5.4","66.8","93","5.2"
"1990-02-21","0.9","8.485","8.603","5.4","66.8","93","5.2"
"1990-02-22","0.9","8.431","8.539","5.4","66.8","93","5.2"
"1990-02-23","0.9","8.413","8.537","5.4","66.8","93","5.2"
"1990-02-24","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-25","0.9",NA,NA,"5.4","66.8","93","5.2"
"1990-02-26","0.9","8.362","8.459","5.4","66.8","93","5.2"
"1990-02-27","0.9","8.336","8.414","5.4","66.8","93","5.2"
"1990-02-28","0.9","8.422","8.515","5.3","66.7","89.5","5.3"
"1990-03-01","0.9","8.517","8.581","5.3","66.7","89.5","5.3"
"1990-03-02","0.9","8.481","8.546","5.3","66.7","89.5","5.3"
"1990-03-03","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-04","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-05","0.9","8.559","8.631","5.3","66.7","89.5","5.3"
"1990-03-06","0.9","8.515","8.562","5.3","66.7","89.5","5.3"
"1990-03-07","0.9","8.533","8.579","5.3","66.7","89.5","5.3"
"1990-03-08","0.9","8.585","8.553","5.3","66.7","89.5","5.3"
"1990-03-09","0.9","8.69","8.631","5.3","66.7","89.5","5.3"
"1990-03-10","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-11","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-12","0.9","8.69","8.629","5.3","66.7","89.5","5.3"
"1990-03-13","0.9","8.744","8.708","5.3","66.7","89.5","5.3"
"1990-03-14","0.9","8.673","8.628","5.3","66.7","89.5","5.3"
"1990-03-15","0.9","8.708","8.652","5.3","66.7","89.5","5.3"
"1990-03-16","0.9","8.637","8.566","5.3","66.7","89.5","5.3"
"1990-03-17","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-18","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-19","0.9","8.673","8.581","5.3","66.7","89.5","5.3"
"1990-03-20","0.9","8.646","8.533","5.3","66.7","89.5","5.3"
"1990-03-21","0.9","8.699","8.564","5.3","66.7","89.5","5.3"
"1990-03-22","0.9","8.61","8.528","5.3","66.7","89.5","5.3"
"1990-03-23","0.9","8.601","8.521","5.3","66.7","89.5","5.3"
"1990-03-24","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-25","0.9",NA,NA,"5.3","66.7","89.5","5.3"
"1990-03-26","0.9","8.601","8.495","5.3","66.7","89.5","5.3"
"1990-03-27","0.9","8.628","8.512","5.3","66.7","89.5","5.3"
"1990-03-28","0.9","8.561","8.495","5.3","66.7","89.5","5.3"
"1990-03-29","0.9","8.631","8.614","5.3","66.7","89.5","5.3"
"1990-03-30","0.9","8.622","8.628","5.3","66.7","89.5","5.3"
"1990-03-31","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-01","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-02","4.5","8.604","8.64","5.2","66.7","91.3","5.2"
"1990-04-03","4.5","8.596","8.626","5.2","66.7","91.3","5.2"
"1990-04-04","4.5","8.517","8.547","5.2","66.7","91.3","5.2"
"1990-04-05","4.5","8.543","8.559","5.2","66.7","91.3","5.2"
"1990-04-06","4.5","8.507","8.552","5.2","66.7","91.3","5.2"
"1990-04-07","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-08","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-09","4.5","8.533","8.587","5.2","66.7","91.3","5.2"
"1990-04-10","4.5","8.551","8.623","5.2","66.7","91.3","5.2"
"1990-04-11","4.5","8.533","8.611","5.2","66.7","91.3","5.2"
"1990-04-12","4.5","8.567","8.633","5.2","66.7","91.3","5.2"
"1990-04-14","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-15","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-16","4.5","8.576","8.666","5.2","66.7","91.3","5.2"
"1990-04-17","4.5","8.674","8.741","5.2","66.7","91.3","5.2"
"1990-04-18","4.5","8.781","8.851","5.2","66.7","91.3","5.2"
"1990-04-19","4.5","8.781","8.863","5.2","66.7","91.3","5.2"
"1990-04-20","4.5","8.808","8.945","5.2","66.7","91.3","5.2"
"1990-04-21","4.5",NA,NA,"5.2","66.7","91.3","5.2"
"1990-04-22","4.5",NA,NA,"5.2","66.7","91.3","5.2"
