"date","S5INFT","S5FINL","S5ENRS","S5HLTH","S5CONS","S5COND","S5INDU","S5UTIL","S5TELS","S5MATR"
"1990-01-31","65.19","68.08","88.24","67.78","56.33","66.4561","71.45","98.43","86.98","72.01"
"1990-02-01","64.95","68","88.23","68.15","56.32","66.2357","71.46","98.31","86.85","71.72"
"1990-02-02","65.26","68.21","88.89","68.88","56.72","66.7813","71.83","98.63","87.59","72.02"
"1990-02-05","66.01","68.5","89.11","68.78","56.78","66.9758","72","98.43","88.13","72.2"
"1990-02-06","66.31","67.91","88.55","68.09","56.39","66.476","71.73","98.1","86.78","71.75"
"1990-02-07","67.83","68.62","90.14","68.79","57.03","67.6813","72.44","98.77","87.15","72.34"
"1990-02-08","67.74","68.09","90.84","68.54","56.9","67.33","72.42","98.5","86.43","72"
"1990-02-09","67.74","68.13","90.92","68.47","56.97","67.5895","72.63","99.05","86.4","72.39"
"1990-02-12","66.79","67.65","89.86","67.93","56.27","66.9609","71.73","98.1","85.54","71.62"
"1990-02-13","67.58","67.83","90.35","67.93","56.16","67.1019","71.99","98.57","85.74","71.63"
"1990-02-14","67.93","68.39","90.28","68.27","56.19","67.3398","72.04","98.76","86.22","71.92"
"1990-02-15","68.04","69.54","91.9","69.04","56.63","67.8267","72.46","98.92","86.87","72.18"
"1990-02-16","67.08","69.77","91.62","68.22","56.29","67.1548","72.04","98.33","85.65","72.35"
"1990-02-20","66.21","68.56","90.77","67.31","55.47","66.1481","71.02","97.21","83.67","71.49"
"1990-02-21","66.69","68.71","90.91","66.76","55.18","66.3427","71","96.98","83.28","71.15"
"1990-02-22","66.01","68.72","89.51","65.8","54.87","65.9456","70.88","96.21","83.45","71.12"
"1990-02-23","65.52","68.64","88.96","64.65","54.57","65.584","70.83","96.12","83.37","70.9"
"1990-02-26","66.58","69.68","90.33","65.45","55.17","66.7276","71.75","96.9","84.87","71.55"
"1990-02-27","66.76","69.8","90.13","65.8","55.29","67.298","72.58","96.88","85.8","71.77"
"1990-02-28","67.54","70.26","89.81","65.86","55.44","67.6765","73.09","97.43","86.51","72.44"
"1990-03-01","67.38","70.4","89.73","66.55","55.14","67.8934","73.47","97.13","87.15","73.03"
"1990-03-02","68.34","70.94","90.3","67.19","55.26","68.7587","74.06","97.52","88.13","73.64"
"1990-03-05","68.27","70","89.63","66.62","55.19","68.653","73.62","96.85","87.77","73.23"
"1990-03-06","68.94","70.63","90.87","67.47","56.18","69.5847","74.41","97.73","89","74.07"
"1990-03-07","69.16","70.27","90.73","67.27","56.32","69.2601","74.35","96.93","88.24","73.66"
"1990-03-08","70.35","70.92","90.85","67.69","57.04","70.2483","75.05","97.4","89.36","74.53"
"1990-03-09","70.12","70.29","89.74","67.41","56.42","70.0566","74.78","96.56","88.73","73.88"
"1990-03-12","70.47","70.36","89.78","67.33","56.7","70.2957","74.74","96.64","89.1","74.27"
"1990-03-13","70.03","69.77","88.9","66.11","56.32","70.0498","74.36","95.89","88.46","73.45"
"1990-03-14","69.98","69.76","89.6","66.31","56.6","70.2555","74.77","96.05","87.93","73.49"
"1990-03-15","70.48","69.67","90.03","67.06","56.79","70.3604","74.74","96.25","88.32","74.01"
"1990-03-16","71.94","69.75","91.14","67.77","57.62","70.9603","75.66","96.57","89.68","75.05"
"1990-03-19","73.23","69.56","90.97","68.12","58.18","71.0947","76.37","96.32","90.14","75.5"
"1990-03-20","72.48","68.94","90.1","67.61","58.19","70.7144","76.23","96.03","89.61","74.87"
"1990-03-21","71.89","68.47","89.41","67.18","58.07","70.303","75.88","95.88","89.24","74.4"
