"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,56.33,NA,NA,NA
1990-02-01,56.32,NA,NA,NA
1990-02-02,56.72,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,56.78,NA,NA,NA
1990-02-06,56.39,NA,NA,NA
1990-02-07,57.03,NA,NA,NA
1990-02-08,56.9,NA,NA,NA
1990-02-09,56.97,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,56.27,NA,NA,NA
1990-02-13,56.16,NA,NA,NA
1990-02-14,56.19,NA,NA,NA
1990-02-15,56.63,NA,NA,NA
1990-02-16,56.29,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,55.47,NA,NA,NA
1990-02-21,55.18,NA,NA,NA
1990-02-22,54.87,NA,NA,NA
1990-02-23,54.57,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,55.17,NA,NA,NA
1990-02-27,55.29,NA,NA,NA
1990-02-28,55.44,NA,NA,NA
1990-03-01,55.14,NA,NA,NA
1990-03-02,55.26,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,55.19,NA,NA,NA
1990-03-06,56.18,NA,NA,NA
1990-03-07,56.32,NA,NA,NA
1990-03-08,57.04,NA,NA,NA
1990-03-09,56.42,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,56.7,NA,NA,NA
1990-03-13,56.32,NA,NA,NA
1990-03-14,56.6,NA,NA,NA
1990-03-15,56.79,NA,NA,NA
1990-03-16,57.62,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,58.18,NA,NA,NA
1990-03-20,58.19,NA,NA,NA
1990-03-21,58.07,NA,NA,NA
1990-03-22,57.37,NA,NA,NA
1990-03-23,57.86,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,58.11,NA,NA,NA
1990-03-27,58.95,NA,NA,NA
1990-03-28,58.92,NA,NA,NA
1990-03-29,58.72,NA,NA,NA
1990-03-30,58.61,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,58.57,NA,NA,NA
1990-04-03,59.83,NA,NA,NA
1990-04-04,59.54,NA,NA,NA
1990-04-05,59.85,NA,NA,NA
1990-04-06,60.02,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,60.78,NA,NA,NA
1990-04-10,61.13,NA,NA,NA
1990-04-11,61.02,NA,NA,NA
1990-04-12,61.52,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,61.49,NA,NA,NA
1990-04-17,61.5,NA,NA,NA
1990-04-18,60.71,NA,NA,NA
1990-04-19,59.7,NA,NA,NA
1990-04-20,59.08,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,58.74,NA,NA,NA
1990-04-24,58.91,NA,NA,NA
1990-04-25,59.31,NA,NA,NA
1990-04-26,59.64,NA,NA,NA
1990-04-27,58.76,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,59.28,NA,NA,NA
1990-05-01,59.63,NA,NA,NA
1990-05-02,60.04,NA,NA,NA
1990-05-03,60.12,NA,NA,NA
1990-05-04,60.7,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,61.19,NA,NA,NA
1990-05-08,61.52,NA,NA,NA
1990-05-09,61.53,NA,NA,NA
1990-05-10,61.47,NA,NA,NA
1990-05-11,63.1,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,63.48,NA,NA,NA
1990-05-15,63.42,NA,NA,NA
1990-05-16,63.32,NA,NA,NA
1990-05-17,63.54,NA,NA,NA
1990-05-18,63.49,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,64.28,NA,NA,NA
1990-05-22,64.68,NA,NA,NA
1990-05-23,65.16,NA,NA,NA
1990-05-24,64.95,NA,NA,NA
1990-05-25,63.93,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,65.21,NA,NA,NA
1990-05-30,65.14,NA,NA,NA
1990-05-31,65.34,NA,NA,NA
1990-06-01,66.08,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,66.94,NA,NA,NA
1990-06-05,66.81,NA,NA,NA
1990-06-06,66.37,NA,NA,NA
1990-06-07,66.29,NA,NA,NA
1990-06-08,65.55,NA,NA,NA
1990-06-09,NA,NA,NA,NA
1990-06-10,NA,NA,NA,NA
1990-06-11,66,NA,NA,NA
1990-06-12,67.18,NA,NA,NA
1990-06-13,66.75,NA,NA,NA
1990-06-14,66.53,NA,NA,NA
1990-06-15,66.48,NA,NA,NA
1990-06-16,NA,NA,NA,NA
1990-06-17,NA,NA,NA,NA
1990-06-18,65.31,NA,NA,NA
1990-06-19,65.95,NA,NA,NA
1990-06-20,66.02,NA,NA,NA
1990-06-21,66.47,NA,NA,NA
1990-06-22,65.85,NA,NA,NA
1990-06-23,NA,NA,NA,NA
1990-06-24,NA,NA,NA,NA
1990-06-25,65.56,NA,NA,NA
1990-06-26,66.15,NA,NA,NA
1990-06-27,66.95,NA,NA,NA
1990-06-28,67.72,NA,NA,NA
1990-06-29,67.71,NA,NA,NA
1990-06-30,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-07-02,68.1,NA,NA,NA
1990-07-03,68.51,NA,NA,NA
1990-07-05,67.69,NA,NA,NA
1990-07-06,68.85,NA,NA,NA
1990-07-07,NA,NA,NA,NA
1990-07-08,NA,NA,NA,NA
1990-07-09,68.92,NA,NA,NA
1990-07-10,68.27,NA,NA,NA
1990-07-11,69.4,NA,NA,NA
1990-07-12,70.21,NA,NA,NA
1990-07-13,70.31,NA,NA,NA
1990-07-14,NA,NA,NA,NA
1990-07-15,NA,NA,NA,NA
1990-07-16,70.48,NA,NA,NA
1990-07-17,70.79,NA,NA,NA
1990-07-18,70.39,NA,NA,NA
1990-07-19,70.44,NA,NA,NA
1990-07-20,70.03,NA,NA,NA
1990-07-21,NA,NA,NA,NA
1990-07-22,NA,NA,NA,NA
1990-07-23,68.45,NA,NA,NA
1990-07-24,68.85,NA,NA,NA
1990-07-25,69.12,NA,NA,NA
1990-07-26,68.69,NA,NA,NA
1990-07-27,68.15,NA,NA,NA
1990-07-28,NA,NA,NA,NA
1990-07-29,NA,NA,NA,NA
1990-07-30,68.43,NA,NA,NA
1990-07-31,68.39,NA,NA,NA
1990-08-01,68.23,NA,NA,NA
1990-08-02,66.82,NA,NA,NA
1990-08-03,65.26,NA,NA,NA
1990-08-04,NA,NA,NA,NA
1990-08-05,NA,NA,NA,NA
1990-08-06,62.86,NA,NA,NA
1990-08-07,63.43,NA,NA,NA
1990-08-08,64.89,NA,NA,NA
1990-08-09,65.77,NA,NA,NA
1990-08-10,64.78,NA,NA,NA
1990-08-11,NA,NA,NA,NA
1990-08-12,NA,NA,NA,NA
1990-08-13,65.56,NA,NA,NA
1990-08-14,66.2,NA,NA,NA
1990-08-15,66.89,NA,NA,NA
1990-08-16,64.93,NA,NA,NA
1990-08-17,63.73,NA,NA,NA
1990-08-18,NA,NA,NA,NA
1990-08-19,NA,NA,NA,NA
1990-08-20,63.72,NA,NA,NA
1990-08-21,62.36,NA,NA,NA
1990-08-22,60.76,NA,NA,NA
1990-08-23,58.68,NA,NA,NA
1990-08-24,60.12,NA,NA,NA
1990-08-25,NA,NA,NA,NA
1990-08-26,NA,NA,NA,NA
1990-08-27,62.78,NA,NA,NA
1990-08-28,62.84,NA,NA,NA
1990-08-29,63.77,NA,NA,NA
1990-08-30,62.49,NA,NA,NA
1990-08-31,63.4,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-09-02,NA,NA,NA,NA
1990-09-04,63.48,NA,NA,NA
1990-09-05,63.75,NA,NA,NA
1990-09-06,62.76,NA,NA,NA
1990-09-07,63.66,NA,NA,NA
1990-09-08,NA,NA,NA,NA
1990-09-09,NA,NA,NA,NA
1990-09-10,63.44,NA,NA,NA
1990-09-11,63.45,NA,NA,NA
1990-09-12,63.81,NA,NA,NA
1990-09-13,62.89,NA,NA,NA
1990-09-14,62.28,NA,NA,NA
1990-09-15,NA,NA,NA,NA
1990-09-16,NA,NA,NA,NA
1990-09-17,62.35,NA,NA,NA
1990-09-18,62.59,NA,NA,NA
1990-09-19,62.5,NA,NA,NA
1990-09-20,61.27,NA,NA,NA
1990-09-21,60.8,NA,NA,NA
1990-09-22,NA,NA,NA,NA
1990-09-23,NA,NA,NA,NA
1990-09-24,59.47,NA,NA,NA
1990-09-25,60.5,NA,NA,NA
1990-09-26,60.02,NA,NA,NA
1990-09-27,59.79,NA,NA,NA
1990-09-28,60.95,NA,NA,NA
1990-09-29,NA,NA,NA,NA
1990-09-30,NA,NA,NA,NA
1990-10-01,63.76,NA,NA,NA
1990-10-02,64.09,NA,NA,NA
1990-10-03,63.72,NA,NA,NA
1990-10-04,64.18,NA,NA,NA
1990-10-05,63.98,NA,NA,NA
1990-10-06,NA,NA,NA,NA
1990-10-07,NA,NA,NA,NA
1990-10-08,64.26,NA,NA,NA
1990-10-09,62.26,NA,NA,NA
1990-10-10,61.57,NA,NA,NA
1990-10-11,60.54,NA,NA,NA
1990-10-12,61.79,NA,NA,NA
1990-10-13,NA,NA,NA,NA
1990-10-14,NA,NA,NA,NA
1990-10-15,62.69,NA,NA,NA
1990-10-16,62.14,NA,NA,NA
1990-10-17,61.8,NA,NA,NA
1990-10-18,63.71,NA,NA,NA
1990-10-19,65.49,NA,NA,NA
1990-10-20,NA,NA,NA,NA
1990-10-21,NA,NA,NA,NA
1990-10-22,65.9,NA,NA,NA
1990-10-23,65.46,NA,NA,NA
1990-10-24,65.79,NA,NA,NA
1990-10-25,65.11,NA,NA,NA
1990-10-26,63.97,NA,NA,NA
1990-10-27,NA,NA,NA,NA
1990-10-28,NA,NA,NA,NA
1990-10-29,63.28,NA,NA,NA
1990-10-30,64.17,NA,NA,NA
1990-10-31,64.06,NA,NA,NA
1990-11-01,64.59,NA,NA,NA
1990-11-02,65.02,NA,NA,NA
1990-11-03,NA,NA,NA,NA
1990-11-04,NA,NA,NA,NA
1990-11-05,65.89,NA,NA,NA
1990-11-06,65.41,NA,NA,NA
1990-11-07,64.22,NA,NA,NA
1990-11-08,64.4,NA,NA,NA
1990-11-09,65.74,NA,NA,NA
1990-11-10,NA,NA,NA,NA
1990-11-11,NA,NA,NA,NA
1990-11-12,66.7,NA,NA,NA
1990-11-13,66.06,NA,NA,NA
1990-11-14,66.85,NA,NA,NA
1990-11-15,66.1,NA,NA,NA
1990-11-16,66.13,NA,NA,NA
1990-11-17,NA,NA,NA,NA
1990-11-18,NA,NA,NA,NA
1990-11-19,66.98,NA,NA,NA
1990-11-20,66.42,NA,NA,NA
1990-11-21,66.57,NA,NA,NA
1990-11-23,66.43,NA,NA,NA
1990-11-24,NA,NA,NA,NA
1990-11-25,NA,NA,NA,NA
1990-11-26,66.5,NA,NA,NA
1990-11-27,66.72,NA,NA,NA
1990-11-28,66.66,NA,NA,NA
1990-11-29,66.03,NA,NA,NA
1990-11-30,67.4,NA,NA,NA
1990-12-01,NA,NA,NA,NA
1990-12-02,NA,NA,NA,NA
1990-12-03,67.92,NA,NA,NA
1990-12-04,68.47,NA,NA,NA
1990-12-05,69.2,NA,NA,NA
1990-12-06,69.29,NA,NA,NA
1990-12-07,69.22,NA,NA,NA
1990-12-08,NA,NA,NA,NA
1990-12-09,NA,NA,NA,NA
1990-12-10,69.38,NA,NA,NA
1990-12-11,69.14,NA,NA,NA
1990-12-12,70.37,NA,NA,NA
1990-12-13,70.17,NA,NA,NA
1990-12-14,69.38,NA,NA,NA
1990-12-15,NA,NA,NA,NA
1990-12-16,NA,NA,NA,NA
1990-12-17,69.21,NA,NA,NA
1990-12-18,70.07,NA,NA,NA
1990-12-19,69.79,NA,NA,NA
1990-12-20,69.86,NA,NA,NA
1990-12-21,70.02,NA,NA,NA
1990-12-22,NA,NA,NA,NA
1990-12-23,NA,NA,NA,NA
1990-12-24,69.46,NA,NA,NA
1990-12-26,69.66,NA,NA,NA
1990-12-27,69.24,NA,NA,NA
1990-12-28,69.5,NA,NA,NA
1990-12-29,NA,NA,NA,NA
1990-12-30,NA,NA,NA,NA
1990-12-31,70.06,NA,NA,NA
1991-01-02,68.72,NA,NA,NA
1991-01-03,67.15,NA,NA,NA
1991-01-04,66.99,NA,NA,NA
1991-01-05,NA,NA,NA,NA
1991-01-06,NA,NA,NA,NA
1991-01-07,65.71,NA,NA,NA
1991-01-08,65.8,NA,NA,NA
1991-01-09,65.01,NA,NA,NA
1991-01-10,65.74,NA,NA,NA
1991-01-11,66.09,NA,NA,NA
1991-01-12,NA,NA,NA,NA
1991-01-13,NA,NA,NA,NA
1991-01-14,65.38,NA,NA,NA
1991-01-15,65.65,NA,NA,NA
1991-01-16,66.08,NA,NA,NA
1991-01-17,69.18,NA,NA,NA
1991-01-18,69.98,NA,NA,NA
1991-01-19,NA,NA,NA,NA
1991-01-20,NA,NA,NA,NA
1991-01-21,69.57,NA,NA,NA
1991-01-22,69.28,NA,NA,NA
1991-01-23,69.72,NA,NA,NA
1991-01-24,70.65,NA,NA,NA
1991-01-25,70.65,NA,NA,NA
1991-01-26,NA,NA,NA,NA
1991-01-27,NA,NA,NA,NA
1991-01-28,70.26,NA,NA,NA
1991-01-29,70.05,NA,NA,NA
1991-01-30,70.92,NA,NA,NA
1991-01-31,71.48,NA,NA,NA
1991-02-01,71.1,NA,NA,NA
