"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,67.78,NA,NA,NA
1990-02-01,68.15,NA,NA,NA
1990-02-02,68.88,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,68.78,NA,NA,NA
1990-02-06,68.09,NA,NA,NA
1990-02-07,68.79,NA,NA,NA
1990-02-08,68.54,NA,NA,NA
1990-02-09,68.47,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,67.93,NA,NA,NA
1990-02-13,67.93,NA,NA,NA
1990-02-14,68.27,NA,NA,NA
1990-02-15,69.04,NA,NA,NA
1990-02-16,68.22,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,67.31,NA,NA,NA
1990-02-21,66.76,NA,NA,NA
1990-02-22,65.8,NA,NA,NA
1990-02-23,64.65,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,65.45,NA,NA,NA
1990-02-27,65.8,NA,NA,NA
1990-02-28,65.86,NA,NA,NA
1990-03-01,66.55,NA,NA,NA
1990-03-02,67.19,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,66.62,NA,NA,NA
1990-03-06,67.47,NA,NA,NA
1990-03-07,67.27,NA,NA,NA
1990-03-08,67.69,NA,NA,NA
1990-03-09,67.41,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,67.33,NA,NA,NA
1990-03-13,66.11,NA,NA,NA
1990-03-14,66.31,NA,NA,NA
1990-03-15,67.06,NA,NA,NA
1990-03-16,67.77,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,68.12,NA,NA,NA
1990-03-20,67.61,NA,NA,NA
1990-03-21,67.18,NA,NA,NA
1990-03-22,66.44,NA,NA,NA
1990-03-23,67.01,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,67.22,NA,NA,NA
1990-03-27,68.36,NA,NA,NA
1990-03-28,68.6,NA,NA,NA
1990-03-29,68.42,NA,NA,NA
1990-03-30,68.07,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,67.85,NA,NA,NA
1990-04-03,68.98,NA,NA,NA
1990-04-04,68.68,NA,NA,NA
1990-04-05,68.92,NA,NA,NA
1990-04-06,68.99,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,69.67,NA,NA,NA
1990-04-10,69.93,NA,NA,NA
1990-04-11,70.03,NA,NA,NA
1990-04-12,70.56,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,70.17,NA,NA,NA
1990-04-17,70.28,NA,NA,NA
1990-04-18,69.72,NA,NA,NA
1990-04-19,69.07,NA,NA,NA
1990-04-20,68.47,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,67.54,NA,NA,NA
1990-04-24,67.48,NA,NA,NA
1990-04-25,67.75,NA,NA,NA
1990-04-26,68.65,NA,NA,NA
1990-04-27,67.96,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,68.25,NA,NA,NA
1990-05-01,68.72,NA,NA,NA
1990-05-02,69.32,NA,NA,NA
1990-05-03,69.43,NA,NA,NA
1990-05-04,69.77,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,70.32,NA,NA,NA
1990-05-08,70.83,NA,NA,NA
1990-05-09,71.03,NA,NA,NA
1990-05-10,71.55,NA,NA,NA
1990-05-11,73.2,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,73.66,NA,NA,NA
1990-05-15,73.47,NA,NA,NA
1990-05-16,73.39,NA,NA,NA
1990-05-17,73.78,NA,NA,NA
1990-05-18,73.68,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,75.08,NA,NA,NA
1990-05-22,75.83,NA,NA,NA
1990-05-23,76.18,NA,NA,NA
1990-05-24,76.23,NA,NA,NA
1990-05-25,75.83,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,76.86,NA,NA,NA
1990-05-30,76.93,NA,NA,NA
1990-05-31,77.01,NA,NA,NA
1990-06-01,77.49,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,78,NA,NA,NA
1990-06-05,77.91,NA,NA,NA
1990-06-06,77.7,NA,NA,NA
1990-06-07,76.93,NA,NA,NA
1990-06-08,75.71,NA,NA,NA
1990-06-09,NA,NA,NA,NA
1990-06-10,NA,NA,NA,NA
1990-06-11,76.56,NA,NA,NA
1990-06-12,78.1,NA,NA,NA
1990-06-13,77.91,NA,NA,NA
1990-06-14,77.71,NA,NA,NA
1990-06-15,77.75,NA,NA,NA
1990-06-16,NA,NA,NA,NA
1990-06-17,NA,NA,NA,NA
1990-06-18,76.64,NA,NA,NA
1990-06-19,76.66,NA,NA,NA
1990-06-20,77.46,NA,NA,NA
1990-06-21,78.71,NA,NA,NA
1990-06-22,77.82,NA,NA,NA
1990-06-23,NA,NA,NA,NA
1990-06-24,NA,NA,NA,NA
1990-06-25,77.19,NA,NA,NA
1990-06-26,77.56,NA,NA,NA
1990-06-27,79.32,NA,NA,NA
1990-06-28,80.87,NA,NA,NA
1990-06-29,80.36,NA,NA,NA
1990-06-30,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-07-02,80.89,NA,NA,NA
1990-07-03,81.39,NA,NA,NA
1990-07-05,80.75,NA,NA,NA
1990-07-06,81.43,NA,NA,NA
1990-07-07,NA,NA,NA,NA
1990-07-08,NA,NA,NA,NA
1990-07-09,81.34,NA,NA,NA
1990-07-10,81.1,NA,NA,NA
1990-07-11,82.74,NA,NA,NA
1990-07-12,83.29,NA,NA,NA
1990-07-13,83.77,NA,NA,NA
1990-07-14,NA,NA,NA,NA
1990-07-15,NA,NA,NA,NA
1990-07-16,84.45,NA,NA,NA
1990-07-17,84.36,NA,NA,NA
1990-07-18,83.76,NA,NA,NA
1990-07-19,83.92,NA,NA,NA
1990-07-20,83.66,NA,NA,NA
1990-07-21,NA,NA,NA,NA
1990-07-22,NA,NA,NA,NA
1990-07-23,81.85,NA,NA,NA
1990-07-24,81.77,NA,NA,NA
1990-07-25,82.84,NA,NA,NA
1990-07-26,82.62,NA,NA,NA
1990-07-27,81.96,NA,NA,NA
1990-07-28,NA,NA,NA,NA
1990-07-29,NA,NA,NA,NA
1990-07-30,82.18,NA,NA,NA
1990-07-31,82.8,NA,NA,NA
1990-08-01,82.98,NA,NA,NA
1990-08-02,80.81,NA,NA,NA
1990-08-03,78.65,NA,NA,NA
1990-08-04,NA,NA,NA,NA
1990-08-05,NA,NA,NA,NA
1990-08-06,75.52,NA,NA,NA
1990-08-07,76.34,NA,NA,NA
1990-08-08,78.23,NA,NA,NA
1990-08-09,78.49,NA,NA,NA
1990-08-10,77.15,NA,NA,NA
1990-08-11,NA,NA,NA,NA
1990-08-12,NA,NA,NA,NA
1990-08-13,78.42,NA,NA,NA
1990-08-14,78.76,NA,NA,NA
1990-08-15,79.14,NA,NA,NA
1990-08-16,76.74,NA,NA,NA
1990-08-17,75.84,NA,NA,NA
1990-08-18,NA,NA,NA,NA
1990-08-19,NA,NA,NA,NA
1990-08-20,75.74,NA,NA,NA
1990-08-21,74.27,NA,NA,NA
1990-08-22,72.52,NA,NA,NA
1990-08-23,70.52,NA,NA,NA
1990-08-24,71.95,NA,NA,NA
1990-08-25,NA,NA,NA,NA
1990-08-26,NA,NA,NA,NA
1990-08-27,74.94,NA,NA,NA
1990-08-28,75.48,NA,NA,NA
1990-08-29,76.57,NA,NA,NA
1990-08-30,75.55,NA,NA,NA
1990-08-31,76.37,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-09-02,NA,NA,NA,NA
1990-09-04,76.61,NA,NA,NA
1990-09-05,76.6,NA,NA,NA
1990-09-06,75.51,NA,NA,NA
1990-09-07,76.58,NA,NA,NA
1990-09-08,NA,NA,NA,NA
1990-09-09,NA,NA,NA,NA
1990-09-10,76.44,NA,NA,NA
1990-09-11,76.42,NA,NA,NA
1990-09-12,76.71,NA,NA,NA
1990-09-13,75.55,NA,NA,NA
1990-09-14,75.13,NA,NA,NA
1990-09-15,NA,NA,NA,NA
1990-09-16,NA,NA,NA,NA
1990-09-17,75.52,NA,NA,NA
1990-09-18,75.9,NA,NA,NA
1990-09-19,74.62,NA,NA,NA
1990-09-20,73.16,NA,NA,NA
1990-09-21,72.89,NA,NA,NA
1990-09-22,NA,NA,NA,NA
1990-09-23,NA,NA,NA,NA
