"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 56.33","14.3289","3.7524","0.6019","4.54","0","33.99","6.9789"
"1990-02-01"," 56.32","14.2997","3.7502","0.6009","4.57","0","33.99","6.9932"
"1990-02-02"," 56.72","14.4132","3.7798","0.6057","4.54","0","33.99","6.9381"
"1990-02-05"," 56.78","14.3927","3.7792","0.6017","4.54","0","33.86","6.9479"
"1990-02-06"," 56.39","14.2920","3.7522","0.5974","4.58","0","33.86","6.9969"
"1990-02-07"," 57.03","14.4493","3.7936","0.6040","4.53","0","33.86","6.9208"
"1990-02-08"," 56.90","14.4162","3.7848","0.6026","4.54","0","33.86","6.9366"
"1990-02-09"," 56.97","14.4384","3.7907","0.6035","4.53","0","33.86","6.9260"
"1990-02-12"," 56.27","14.2593","3.7435","0.5960","4.59","0","33.86","7.0130"
"1990-02-13"," 56.16","14.2299","3.7363","0.5948","4.60","0","33.86","7.0274"
"1990-02-14"," 56.19","14.2414","3.7384","0.5952","4.59","0","33.86","7.0218"
"1990-02-15"," 56.63","14.3567","3.7685","0.6000","4.56","0","33.86","6.9654"
"1990-02-16"," 56.29","14.2611","3.7441","0.5961","4.59","0","33.86","7.0121"
"1990-02-20"," 55.47","14.0551","3.6897","0.5874","4.65","0","33.86","7.1149"
"1990-02-21"," 55.18","13.9957","3.6738","0.5849","4.67","0","33.86","7.1450"
"1990-02-22"," 54.87","13.9265","3.6551","0.5819","4.70","0","33.86","7.1806"
"1990-02-23"," 54.57","13.8554","3.6363","0.5789","4.72","0","33.86","7.2174"
"1990-02-26"," 55.17","13.9703","3.7018","0.5819","4.71","0","33.73","7.1580"
"1990-02-27"," 55.29","14.0055","3.7110","0.5833","4.70","0","33.73","7.1400"
"1990-02-28"," 55.44","14.0237","3.7131","0.5841","4.69","0","33.73","7.1308"
"1990-03-01"," 55.14","13.9340","3.6896","0.5804","4.72","0","33.73","7.1767"
"1990-03-02"," 55.26","13.9624","3.6971","0.5816","4.71","0","33.73","7.1621"
"1990-03-05"," 55.19","13.9526","3.6895","0.5802","4.77","0","33.72","7.1671"
"1990-03-06"," 56.18","14.2015","3.7550","0.5905","4.69","0","33.72","7.0415"
"1990-03-07"," 56.32","14.2332","3.7638","0.5919","4.68","0","33.72","7.0258"
"1990-03-08"," 57.04","14.4131","3.8119","0.5994","4.62","0","33.72","6.9381"
"1990-03-09"," 56.42","14.2584","3.7708","0.5930","4.67","0","33.72","7.0134"
"1990-03-12"," 56.70","14.3196","3.7878","0.5956","4.65","0","33.72","6.9834"
"1990-03-13"," 56.32","14.2245","3.7625","0.5917","4.68","0","33.72","7.0301"
"1990-03-14"," 56.60","14.3102","3.7846","0.5951","4.65","0","33.72","6.9880"
"1990-03-15"," 56.79","14.3599","3.7982","0.5973","4.64","0","33.72","6.9638"
"1990-03-16"," 57.62","14.5785","3.8563","0.6064","4.57","0","33.72","6.8594"
"1990-03-19"," 58.18","14.7264","3.8948","0.6125","4.52","0","33.72","6.7905"
"1990-03-20"," 58.19","14.7263","3.8946","0.6124","4.52","0","33.72","6.7906"
"1990-03-21"," 58.07","14.7009","3.8873","0.6113","4.53","0","33.72","6.8023"
"1990-03-22"," 57.37","14.5274","3.8417","0.6041","4.58","0","33.72","6.8836"
"1990-03-23"," 57.86","14.6692","3.8789","0.6100","4.54","0","33.72","6.8170"
"1990-03-26"," 58.11","14.7352","3.8887","0.6127","4.52","0","33.82","6.7865"
"1990-03-27"," 58.95","14.9501","3.9460","0.6217","4.45","0","33.82","6.6889"
