"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 68.08"," 18.9504","1.4341","1.2990"," 10.91","0","22.45"," 5.2769"
"1990-02-01"," 68.00"," 18.9281","1.4021","1.2745","0","0","22.45","0"
"1990-02-02"," 68.21"," 18.9866","1.4056","1.2780","0","0","22.45","0"
"1990-02-05"," 68.50"," 19.0673","1.4109","1.2822","0","0","22.45","0"
"1990-02-06"," 67.91"," 18.9031","1.4017","1.2705","0","0","22.45","0"
"1990-02-07"," 68.62"," 19.1007","1.4092","1.2803","0","0","22.45","0"
"1990-02-08"," 68.09"," 18.9532","1.3951","1.2664","0","0","22.45","0"
"1990-02-09"," 68.13"," 18.9643","1.3930","1.2635","0","0","22.45","0"
"1990-02-12"," 67.65"," 18.8307","1.3967","1.2647","0","0","22.48","0"
"1990-02-13"," 67.83"," 18.8808","1.4013","1.2684","0","0","22.48","0"
"1990-02-14"," 68.39"," 19.0367","1.4185","1.2815","0","0","22.48","0"
"1990-02-15"," 69.54"," 19.1712","1.4555","1.3087"," 10.76","0","22.48"," 5.2161"
"1990-02-16"," 69.77"," 19.2166","1.4578","1.3131","0","0","22.48"," 5.2038"
"1990-02-20"," 68.56"," 18.8779","1.4321","1.2887","0","0","22.48"," 5.2972"
"1990-02-21"," 68.71"," 18.9192","1.4391","1.2925"," 10.89","0","22.48","0"
"1990-02-22"," 68.72"," 18.9288","1.4423","1.2938"," 10.87","0","22.48"," 5.2830"
"1990-02-23"," 68.64"," 18.9173","1.4374","1.2917"," 10.90","0","22.48"," 5.2862"
"1990-02-26"," 69.68"," 19.2654","1.4588","1.3126"," 10.74","0","22.48"," 5.1906"
"1990-02-27"," 69.80"," 19.3098","1.4654","1.3149"," 10.69","0","22.48"," 5.1787"
"1990-02-28"," 70.26"," 19.3708","1.4674","1.3184"," 10.89","0","22.39"," 5.1624"
"1990-03-01"," 70.40"," 19.3892","1.4707","1.3204"," 10.87","0","22.39"," 5.1575"
"1990-03-02"," 70.94"," 19.4907","1.4802","1.3298"," 10.80","0","22.39"," 5.1306"
"1990-03-05"," 70.00"," 19.2324","1.4656","1.3089"," 10.91","0","22.39","0"
"1990-03-06"," 70.63"," 19.4055","1.4794","1.3187"," 10.81","0","22.39","0"
"1990-03-07"," 70.27"," 19.3066","1.4678","1.3125"," 10.89","0","22.39","0"
"1990-03-08"," 70.92"," 19.4852","1.4830","1.3253"," 10.78","0","22.39","0"
"1990-03-09"," 70.29"," 19.3121","1.4688","1.3139"," 10.89","0","22.39","0"
"1990-03-12"," 70.36"," 19.3314","1.4704","1.3146"," 10.87","0","22.39","0"
"1990-03-13"," 69.77"," 19.1693","1.4561","1.3031"," 10.98","0","22.39","0"
"1990-03-14"," 69.76"," 19.1665","1.4498","1.3000","0","0","22.39","0"
"1990-03-15"," 69.67"," 19.1418","1.4429","1.2932","0","0","22.39","0"
"1990-03-16"," 69.75"," 19.1638","1.4412","1.2937","0","0","22.39","0"
"1990-03-19"," 69.56"," 19.1116","1.4410","1.2917","0","0","22.39","0"
"1990-03-20"," 68.94"," 18.9412","1.4290","1.2802","0","0","22.39","0"
"1990-03-21"," 68.47"," 18.8121","1.4157","1.2702","0","0","22.39","0"
"1990-03-22"," 67.29"," 18.4879","1.3898","1.2452","0","0","22.39","0"
"1990-03-23"," 67.65"," 18.5868","1.4035","1.2567","0","0","22.39","0"
"1990-03-26"," 67.69"," 18.5978","1.4047","1.2571","0","0","22.39","0"
"1990-03-27"," 68.21"," 18.7406","1.4153","1.2637","0","0","22.39","0"
"1990-03-28"," 68.56"," 18.8368","1.4083","1.2575","0","0","22.39","0"
"1990-03-29"," 68.23"," 18.7461","1.4027","1.2524","0","0","22.39","0"
"1990-03-30"," 68.03"," 18.6912","1.3676","1.2434","0","0","24.45","0"
"1990-04-02"," 67.49"," 18.5428","1.3349","1.2367","0","0","26.94","0"
"1990-04-03"," 68.30"," 18.7654","1.3500","1.2480","0","0","26.94","0"
"1990-04-04"," 67.83"," 18.6362","1.3427","1.2408","0","0","26.94","0"
"1990-04-05"," 67.08"," 18.4302","1.3301","1.2253","0","0","26.94","0"
"1990-04-06"," 66.21"," 18.1911","1.3118","1.2096","0","0","26.94","0"
"1990-04-09"," 66.99"," 18.4054","1.3276","1.2264","0","0","26.94","0"
"1990-04-10"," 67.68"," 18.5950","1.3396","1.2407","0","0","26.94","0"
"1990-04-11"," 68.11"," 18.7132","1.3481","1.2491","0","0","26.94","0"
"1990-04-12"," 68.90"," 18.9302","1.3637","1.2631","0","0","26.94","0"
"1990-04-16"," 68.85"," 18.9165","1.3619","1.2629","0","0","26.94","0"
"1990-04-17"," 69.19"," 19.0099","1.3680","1.2700","0","0","26.94","0"
"1990-04-18"," 68.35"," 18.7791","1.3514","1.2541","0","0","26.94","0"
"1990-04-19"," 67.63"," 18.5813","1.3358","1.2385","0","0","26.94","0"
"1990-04-20"," 66.59"," 18.2955","1.3170","1.2250","0","0","26.94","0"
"1990-04-23"," 65.66"," 18.0400","1.2960","1.2053","0","0","26.94","0"
"1990-04-24"," 65.28"," 17.9356","1.2879","1.1974","0","0","26.94","0"
"1990-04-25"," 65.48"," 17.9906","1.2923","1.2025","0","0","26.94","0"
"1990-04-26"," 65.40"," 17.9686","1.2904","1.2011","0","0","26.94","0"
"1990-04-27"," 64.70"," 17.7763","1.2759","1.1857","0","0","26.94","0"
"1990-04-30"," 64.99"," 17.8560","1.2813","1.1922","0","0","26.94","0"
"1990-05-01"," 65.31"," 17.9439","1.2872","1.1921","0","0","26.94","0"
"1990-05-02"," 66.00"," 18.1334","1.3011","1.1988","0","0","26.94","0"
"1990-05-03"," 66.03"," 18.1417","1.3000","1.1968","0","0","26.94","0"
"1990-05-04"," 66.81"," 18.3560","1.3148","1.2118","0","0","26.94","0"
"1990-05-07"," 67.31"," 18.4934","1.3236","1.2173","0","0","26.94","0"
"1990-05-08"," 67.69"," 18.5978","1.3327","1.2247","0","0","26.94","0"
"1990-05-09"," 67.69"," 18.5978","1.3323","1.2220","0","0","26.94","0"
"1990-05-10"," 67.90"," 18.6555","1.3369","1.2269","0","0","26.94","0"
"1990-05-11"," 69.71"," 19.1528","1.3717","1.2602","0","0","26.94","0"
"1990-05-14"," 70.58"," 19.3918","1.3873","1.2806","0","0","26.94","0"
"1990-05-15"," 71.15"," 19.5484","1.3981","1.2929","0","0","26.94","0"
"1990-05-16"," 70.96"," 19.4962","1.3940","1.2862","0","0","26.94","0"
"1990-05-17"," 71.06"," 19.5237","1.3960","1.2894","0","0","26.94","0"
"1990-05-18"," 71.06"," 19.5237","1.3965","1.2914","0","0","26.94","0"
"1990-05-21"," 71.65"," 19.6858","1.4091","1.3033","0","0","26.94","0"
"1990-05-22"," 71.63"," 19.6803","1.4095","1.3043","0","0","26.94","0"
"1990-05-23"," 72.10"," 19.8094","1.4199","1.3131","0","0","26.94","0"
"1990-05-24"," 72.34"," 19.8754","1.4254","1.3190","0","0","26.94","0"
"1990-05-25"," 71.67"," 19.6913","1.4118","1.3035","0","0","26.94","0"
"1990-05-29"," 72.46"," 19.9083","1.4255","1.3203","0","0","26.94","0"
"1990-05-30"," 72.57"," 19.9385","1.4269","1.3212","0","0","26.94","0"
"1990-05-31"," 72.89"," 20.0265","1.4321","1.3268","0","0","26.94","0"
"1990-06-01"," 73.97"," 20.3232","1.4539","1.3481","0","0","26.94","0"
"1990-06-04"," 75.75"," 20.8123","1.4891","1.3830","0","0","26.94","0"
"1990-06-05"," 76.39"," 20.9881","1.4985","1.3948","0","0","26.94","0"
"1990-06-06"," 75.78"," 20.8205","1.4882","1.3838","0","0","26.94","0"
"1990-06-07"," 75.30"," 20.6886","1.4801","1.3742","0","0","26.94","0"
"1990-06-08"," 74.08"," 20.3534","1.4561","1.3523","0","0","26.94","0"
"1990-06-11"," 74.41"," 20.4441","1.4637","1.3561","0","0","26.94","0"
"1990-06-12"," 74.79"," 20.5485","1.4722","1.3647","0","0","26.94","0"
"1990-06-13"," 74.04"," 20.3424","1.4587","1.3480","0","0","26.94","0"
"1990-06-14"," 72.84"," 20.0127","1.4357","1.3225","0","0","26.94","0"
"1990-06-15"," 72.74"," 19.9853","1.4324","1.3235","0","0","26.94","0"
"1990-06-18"," 71.26"," 19.5786","1.4031","1.2951","0","0","26.94","0"
"1990-06-19"," 71.47"," 19.6363","1.4083","1.2984","0","0","26.94","0"
"1990-06-20"," 70.92"," 19.4852","1.3971","1.2862","0","0","26.94","0"
"1990-06-21"," 71.11"," 19.5374","1.4001","1.2888","0","0","26.94","0"
"1990-06-22"," 70.26"," 19.3039","1.3821","1.2718","0","0","26.94","0"
"1990-06-25"," 69.37"," 19.0594","1.3651","1.2565","0","0","26.94","0"
"1990-06-26"," 69.27"," 19.0319","1.3642","1.2525","0","0","26.94","0"
"1990-06-27"," 69.79"," 19.1747","1.3731","1.2612","0","0","26.94","0"
"1990-06-28"," 70.27"," 19.3066","1.3835","1.2710","0","0","26.94","0"
"1990-06-29"," 70.42"," 19.3478","1.3912","1.2852","0","0","27.07","0"
"1990-07-02"," 70.60"," 19.3973","1.3587","1.2792","0","0","26.50","0"
"1990-07-03"," 70.40"," 19.3423","1.3539","1.2764","0","0","26.50","0"
"1990-07-05"," 69.40"," 19.0676","1.3338","1.2567","0","0","26.50","0"
"1990-07-06"," 69.94"," 19.2160","1.3446","1.2660","0","0","26.50","0"
"1990-07-09"," 69.93"," 19.2132","1.3449","1.2644","0","0","26.50","0"
"1990-07-10"," 69.01"," 18.9604","1.3286","1.2460","0","0","26.50","0"
"1990-07-11"," 69.61"," 19.1253","1.3408","1.2567","0","0","26.50","0"
"1990-07-12"," 69.89"," 19.2022","1.3470","1.2558","0","0","26.50","0"
"1990-07-13"," 70.25"," 19.3011","1.3524","1.2628","0","0","26.50","0"
"1990-07-16"," 70.85"," 19.4660","1.3648","1.2798","0","0","26.50","0"
"1990-07-17"," 71.06"," 19.5237","1.3688","1.2872","0","0","26.50","0"
"1990-07-18"," 70.61"," 19.4000","1.3597","1.2761","0","0","26.50","0"
"1990-07-19"," 70.19"," 19.2846","1.3531","1.2668","0","0","26.50","0"
"1990-07-20"," 69.37"," 19.0594","1.3372","1.2497","0","0","26.50","0"
"1990-07-23"," 68.28"," 18.7599","1.3360","1.2721","0","0","26.58","0"
"1990-07-24"," 67.74"," 18.6115","1.3259","1.2639","0","0","26.58","0"
"1990-07-25"," 68.07"," 18.7022","1.3318","1.2721","0","0","26.58","0"
"1990-07-26"," 67.97"," 18.6747","1.3304","1.2691","0","0","26.58","0"
"1990-07-27"," 67.34"," 18.5016","1.3188","1.2520","0","0","26.58","0"
"1990-07-30"," 67.41"," 18.5208","1.3213","1.2534","0","0","26.58","0"
"1990-07-31"," 67.01"," 18.4109","1.2924","1.1966","0","0","26.43","0"
"1990-08-01"," 65.84"," 18.0895","1.2709","1.1722","0","0","26.43","0"
"1990-08-02"," 64.46"," 17.7103","1.2423","1.1462","0","0","26.43","0"
"1990-08-03"," 63.27"," 17.3834","1.2197","1.1286","0","0","26.43","0"
"1990-08-06"," 61.33"," 16.8504","1.1807","1.0991","0","0","26.43","0"
"1990-08-07"," 61.98"," 17.0290","1.1909","1.1097","0","0","26.43","0"
"1990-08-08"," 62.80"," 17.2542","1.2066","1.1262","0","0","26.43","0"
"1990-08-09"," 63.23"," 17.3724","1.2135","1.1340","0","0","26.43","0"
"1990-08-10"," 62.66"," 17.2158","1.2037","1.1298","0","0","26.43","0"
"1990-08-13"," 62.75"," 17.2405","1.2036","1.1317","0","0","26.43","0"
"1990-08-14"," 62.82"," 17.2597","1.2040","1.1325","0","0","26.43","0"
"1990-08-15"," 62.93"," 17.2900","1.2073","1.1304","0","0","26.43","0"
"1990-08-16"," 61.10"," 16.7872","1.1724","1.0984","0","0","26.43","0"
"1990-08-17"," 59.98"," 16.4795","1.1499","1.0764","0","0","26.43","0"
"1990-08-20"," 59.73"," 16.4108","1.1445","1.0696","0","0","26.43","0"
"1990-08-21"," 58.29"," 16.0151","1.1168","1.0454","0","0","26.43","0"
"1990-08-22"," 57.35"," 15.7569","1.0994","1.0330","0","0","26.43","0"
"1990-08-23"," 55.87"," 15.3502","1.0702","1.0064","0","0","26.43","0"
"1990-08-24"," 56.61"," 15.5536","1.0875","1.0217","0","0","26.43","0"
"1990-08-27"," 58.46"," 16.0618","1.1232","1.0565","0","0","26.43","0"
"1990-08-28"," 58.14"," 15.9739","1.1153","1.0474","0","0","26.43","0"
"1990-08-29"," 58.62"," 16.1058","1.1243","1.0572","0","0","26.43","0"
"1990-08-30"," 57.86"," 15.8970","1.1115","1.0459","0","0","26.43","0"
"1990-08-31"," 58.62"," 17.3857","1.1276","1.0656","0","0","26.47"," 5.7519"
"1990-09-04"," 58.62"," 17.3708","1.1272","1.0642","0","0","26.47"," 5.7568"
"1990-09-05"," 58.78"," 17.4170","1.1290","1.0667","0","0","26.47"," 5.7415"
"1990-09-06"," 58.05"," 17.2157","1.1150","1.0540","0","0","26.47"," 5.8087"
"1990-09-07"," 58.71"," 17.4135","1.1265","1.0659","0","0","26.47"," 5.7427"
"1990-09-10"," 58.42"," 17.3330","1.1216","1.0613","0","0","26.47"," 5.7693"
"1990-09-11"," 57.72"," 17.1042","1.1069","1.0480","0","0","26.47"," 5.8465"
"1990-09-12"," 57.80"," 17.1279","1.1092","1.0484","0","0","26.47","0"
"1990-09-13"," 56.85"," 16.8464","1.0938","1.0322","0","0","26.47"," 5.9360"
"1990-09-14"," 56.08"," 16.7130","1.0800","1.0224","0","0","26.47"," 5.9834"
"1990-09-17"," 55.99"," 16.7078","1.0790","1.0203","0","0","26.47"," 5.9852"
"1990-09-18"," 55.69"," 16.7230","1.0744","1.0191","0","0","26.47"," 5.9798"
"1990-09-19"," 55.20"," 16.7820","1.0658","1.0178","0","0","26.47"," 5.9588"
"1990-09-20"," 53.80"," 16.3673","1.0401","0.9928","0","0","26.47"," 6.1098"
"1990-09-21"," 53.20"," 16.1705","1.0310","0.9792","0","0","26.47"," 6.1841"
"1990-09-24"," 51.27"," 15.5402","0.9942","0.9390","0","0","26.47"," 6.4349"
"1990-09-25"," 51.90"," 15.7675","1.0065","0.9523","0","0","26.47"," 6.3421"
"1990-09-26"," 50.50"," 15.3679","0.9810","0.9265","0","0","26.47"," 6.5071"
"1990-09-27"," 48.68"," 14.8468","0.9481","0.8929","0","0","26.47"," 6.7355"
"1990-09-28"," 51.02"," 15.7696","1.0010","0.9482","0","0","26.53"," 6.3413"
"1990-10-01"," 52.76"," 16.7177","1.0394","0.9797","0","0","26.35"," 5.9817"
"1990-10-02"," 52.45"," 16.5843","1.0346","0.9713","0","0","26.35"," 6.0298"
