"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 71.45","13.2481","1.8617","0.6596"," 0.62","0","32.33"," 7.5483"
"1990-02-01"," 71.46","13.2517","1.8611","0.6593"," 0.62","0","32.33"," 7.5462"
"1990-02-02"," 71.83","13.2917","1.8705","0.6627"," 0.62","0","32.33"," 7.5235"
"1990-02-05"," 72.00","13.3207","1.8748","0.6642"," 0.61","0","32.33"," 7.5071"
"1990-02-06"," 71.73","13.2826","1.8679","0.6618"," 0.62","0","32.33"," 7.5286"
"1990-02-07"," 72.44","13.4025","1.8866","0.6684"," 0.61","0","32.33"," 7.4613"
"1990-02-08"," 72.42","13.4147","1.8863","0.6683"," 0.61","0","32.33"," 7.4545"
"1990-02-09"," 72.63","13.4516","1.8916","0.6702"," 0.61","0","32.33"," 7.4340"
"1990-02-12"," 71.73","13.2843","1.8681","0.6618"," 0.62","0","32.33"," 7.5277"
"1990-02-13"," 71.99","13.3175","1.8747","0.6642"," 0.61","0","32.33"," 7.5089"
"1990-02-14"," 72.04","13.3165","1.8757","0.6645"," 0.61","0","32.33"," 7.5095"
"1990-02-15"," 72.46","13.3921","1.8865","0.6684"," 0.61","0","32.33"," 7.4671"
"1990-02-16"," 72.04","13.3125","1.8754","0.6644"," 0.61","0","32.33"," 7.5117"
"1990-02-20"," 71.02","13.1203","1.8492","0.6551"," 0.62","0","32.33"," 7.6218"
"1990-02-21"," 71.00","13.1313","1.8482","0.6548"," 0.62","0","32.33"," 7.6154"
"1990-02-22"," 70.88","13.1209","1.8452","0.6537"," 0.62","0","32.33"," 7.6214"
"1990-02-23"," 70.83","13.1156","1.8438","0.6532"," 0.62","0","32.33"," 7.6245"
"1990-02-26"," 71.75","13.2801","1.8673","0.6616"," 0.62","0","32.33"," 7.5300"
"1990-02-27"," 72.58","13.4349","1.8888","0.6692"," 0.61","0","32.33"," 7.4433"
"1990-02-28"," 73.09","13.5358","1.9100","0.6732"," 0.60","0","32.44"," 7.3878"
"1990-03-01"," 73.47","13.6094","1.9198","0.6766"," 0.60","0","32.44"," 7.3479"
"1990-03-02"," 74.06","13.8646","1.9569","0.6861"," 0.58","0","32.51"," 7.2126"
"1990-03-05"," 73.62","13.7706","1.9452","0.6820"," 0.59","0","32.51"," 7.2619"
"1990-03-06"," 74.41","13.9167","1.9659","0.6893"," 0.58","0","32.51"," 7.1856"
"1990-03-07"," 74.35","13.9035","1.9651","0.6890"," 0.58","0","32.51"," 7.1924"
"1990-03-08"," 75.05","14.0369","1.9842","0.6957"," 0.57","0","32.51"," 7.1241"
"1990-03-09"," 74.78","13.9938","1.9771","0.6932"," 0.58","0","32.51"," 7.1460"
"1990-03-12"," 74.74","13.9637","1.9760","0.6928"," 0.58","0","32.51"," 7.1614"
"1990-03-13"," 74.36","13.9073","1.9663","0.6894"," 0.58","0","32.51"," 7.1904"
"1990-03-14"," 74.77","13.9824","1.9769","0.6931"," 0.58","0","32.51"," 7.1518"
"1990-03-15"," 74.74","14.0126","1.9763","0.6929"," 0.58","0","32.51"," 7.1365"
"1990-03-16"," 75.66","14.1744","1.9988","0.7008"," 0.57","0","32.51"," 7.0550"
"1990-03-19"," 76.37","14.3280","2.0172","0.7073"," 0.57","0","32.51"," 6.9793"
"1990-03-20"," 76.23","14.2973","2.0135","0.7060"," 0.57","0","32.51"," 6.9943"
"1990-03-21"," 75.88","14.2398","2.0042","0.7027"," 0.57","0","32.51"," 7.0226"
"1990-03-22"," 75.03","14.0804","1.9816","0.6948"," 0.58","0","32.51"," 7.1021"
"1990-03-23"," 75.52","14.1793","1.9944","0.6993"," 0.57","0","32.51"," 7.0525"
"1990-03-26"," 75.66","14.2125","1.9975","0.7006"," 0.57","0","32.52"," 7.0361"
"1990-03-27"," 76.63","14.4085","2.0239","0.7098"," 0.56","0","32.52"," 6.9403"
"1990-03-28"," 76.61","14.3878","2.0236","0.7097"," 0.56","0","32.52"," 6.9503"
"1990-03-29"," 76.22","14.3049","2.0133","0.7061"," 0.57","0","32.52"," 6.9906"
"1990-03-30"," 76.11","14.1544","1.9907","0.7018"," 0.55","0","32.48"," 7.0649"
"1990-04-02"," 75.62","13.9804","1.9656","0.6932"," 0.52","0","32.93"," 7.1529"
"1990-04-03"," 76.50","14.1347","1.9884","0.7012"," 0.52","0","32.93"," 7.0748"
"1990-04-04"," 76.03","14.0314","1.9760","0.6968"," 0.52","0","32.93"," 7.1269"
"1990-04-05"," 76.06","14.0383","1.9764","0.6970"," 0.52","0","32.93"," 7.1234"
"1990-04-06"," 76.09","14.0337","1.9769","0.6972"," 0.52","0","32.93"," 7.1257"
"1990-04-09"," 76.19","14.0368","1.9795","0.6981"," 0.52","0","32.93"," 7.1241"
"1990-04-10"," 76.36","14.0444","1.9837","0.6996"," 0.52","0","32.93"," 7.1203"
"1990-04-11"," 76.47","14.0585","1.9861","0.7004"," 0.52","0","32.93"," 7.1131"
"1990-04-12"," 77.13","14.1983","2.0035","0.7065"," 0.51","0","32.93"," 7.0431"
"1990-04-16"," 77.40","14.2638","2.0110","0.7092"," 0.51","0","32.93"," 7.0108"
"1990-04-17"," 77.36","14.2572","2.0105","0.7090"," 0.51","0","32.93"," 7.0140"
"1990-04-18"," 76.56","14.1085","1.9894","0.7016"," 0.52","0","32.93"," 7.0879"
"1990-04-19"," 76.04","14.0121","1.9760","0.6968"," 0.52","0","32.93"," 7.1367"
"1990-04-20"," 75.50","13.9252","1.9619","0.6919"," 0.53","0","32.93"," 7.1812"
"1990-04-23"," 74.46","13.8325","1.9350","0.6824"," 0.53","0","32.93"," 7.2294"
"1990-04-24"," 74.33","13.8111","1.9319","0.6813"," 0.53","0","32.93"," 7.2405"
"1990-04-25"," 74.75","13.8568","1.9416","0.6847"," 0.53","0","32.93"," 7.2167"
"1990-04-26"," 74.98","13.8971","1.9479","0.6869"," 0.53","0","32.93"," 7.1958"
"1990-04-27"," 74.18","13.7484","1.9269","0.6795"," 0.54","0","32.93"," 7.2736"
"1990-04-30"," 74.48","13.6872","1.9208","0.6783"," 0.56","0","33.00"," 7.3061"
"1990-05-01"," 74.80","13.7471","1.9287","0.6811"," 0.56","0","33.00"," 7.2743"
"1990-05-02"," 75.21","13.8177","1.9396","0.6849"," 0.56","0","33.00"," 7.2371"
"1990-05-03"," 75.46","13.8695","1.9457","0.6871"," 0.55","0","33.00"," 7.2100"
"1990-05-04"," 75.93","13.9587","1.9575","0.6912"," 0.55","0","33.00"," 7.1640"
"1990-05-07"," 76.40","14.0587","1.9702","0.6957"," 0.55","0","33.00"," 7.1130"
"1990-05-08"," 76.80","14.1511","1.9809","0.6995"," 0.54","0","33.00"," 7.0666"
"1990-05-09"," 77.04","14.2025","1.9873","0.7018"," 0.54","0","33.00"," 7.0410"
"1990-05-10"," 77.07","14.2019","1.9884","0.7022"," 0.54","0","33.00"," 7.0413"
"1990-05-11"," 78.63","14.4933","2.0289","0.7164"," 0.53","0","33.00"," 6.8998"
"1990-05-14"," 79.08","14.5836","2.0398","0.7203"," 0.53","0","33.00"," 6.8570"
"1990-05-15"," 78.80","14.5431","2.0318","0.7175"," 0.53","0","33.00"," 6.8761"
"1990-05-16"," 78.73","14.5243","2.0299","0.7168"," 0.53","0","33.00"," 6.8850"
"1990-05-17"," 78.67","14.4960","2.0278","0.7161"," 0.53","0","33.00"," 6.8984"
"1990-05-18"," 78.78","14.5036","2.0306","0.7171"," 0.53","0","33.00"," 6.8948"
"1990-05-21"," 79.31","14.5932","2.0441","0.7218"," 0.53","0","33.00"," 6.8525"
"1990-05-22"," 79.34","14.9449","2.0724","0.7318"," 0.44","0","32.66"," 6.6912"
"1990-05-23"," 79.25","14.9216","2.0698","0.7309"," 0.44","0","32.66"," 6.7017"
"1990-05-24"," 79.42","14.9798","2.0746","0.7326"," 0.44","0","32.66"," 6.6756"
"1990-05-25"," 78.77","14.8330","2.0575","0.7265"," 0.44","0","32.66"," 6.7417"
"1990-05-29"," 79.90","15.0315","2.0865","0.7368"," 0.43","0","32.66"," 6.6527"
"1990-05-30"," 79.76","14.9982","2.0816","0.7350"," 0.43","0","32.66"," 6.6674"
"1990-05-31"," 79.97","14.7090","2.0623","0.7248"," 0.37","0","33.00"," 6.7985"
"1990-06-01"," 80.53","14.8119","2.0770","0.7299"," 0.36","0","33.00"," 6.7513"
"1990-06-04"," 81.42","14.9878","2.1002","0.7381"," 0.36","0","33.00"," 6.6721"
"1990-06-05"," 81.27","14.9639","2.0970","0.7369"," 0.36","0","33.00"," 6.6828"
"1990-06-06"," 81.01","14.9170","2.0905","0.7346"," 0.36","0","33.00"," 6.7038"
"1990-06-07"," 80.63","14.8499","2.0805","0.7311"," 0.36","0","33.00"," 6.7341"
"1990-06-08"," 79.74","14.6871","2.0574","0.7230"," 0.37","0","33.00"," 6.8087"
"1990-06-11"," 80.41","15.0211","2.1012","0.7409"," 0.54","0","33.24"," 6.6573"
"1990-06-12"," 81.40","15.1981","2.1266","0.7498"," 0.54","0","33.24"," 6.5798"
"1990-06-13"," 81.37","15.1812","2.1251","0.7493"," 0.54","0","33.24"," 6.5871"
"1990-06-14"," 81.28","15.1677","2.1223","0.7483"," 0.54","0","33.24"," 6.5929"
"1990-06-15"," 81.26","15.1823","2.1220","0.7482"," 0.54","0","33.24"," 6.5866"
"1990-06-18"," 79.86","14.9391","2.0860","0.7356"," 0.55","0","33.24"," 6.6939"
"1990-06-19"," 80.30","14.9987","2.0970","0.7394"," 0.54","0","33.24"," 6.6672"
"1990-06-20"," 80.45","15.0266","2.1010","0.7409"," 0.54","0","33.24"," 6.6549"
"1990-06-21"," 80.70","15.0805","2.1077","0.7432"," 0.54","0","33.24"," 6.6311"
"1990-06-22"," 79.64","14.8830","2.0795","0.7333"," 0.55","0","33.24"," 6.7191"
"1990-06-25"," 78.88","14.7566","2.0595","0.7262"," 0.55","0","33.24"," 6.7766"
"1990-06-26"," 78.43","14.6600","2.0477","0.7221"," 0.56","0","33.24"," 6.8213"
"1990-06-27"," 78.98","14.7362","2.0622","0.7272"," 0.55","0","33.24"," 6.7860"
"1990-06-28"," 79.29","14.7868","2.0705","0.7301"," 0.55","0","33.24"," 6.7628"
"1990-06-29"," 79.49","14.6197","2.0548","0.7197"," 0.40","0","33.04"," 6.8401"
"1990-07-02"," 79.93","14.7648","2.0319","0.7203"," 0.27","0","33.56"," 6.7729"
"1990-07-03"," 80.38","14.8426","2.0432","0.7243"," 0.26","0","33.56"," 6.7374"
