"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31","  65.19","  16.1868"," 1.6374","0.8912"," 0.67","0","18.93"," 6.1779"
"1990-02-01","  64.95","  16.0963"," 1.6279","0.8861"," 0.68","0","18.93"," 6.2126"
"1990-02-02","  65.26","  16.1716"," 1.6361","0.8905"," 0.68","0","18.93"," 6.1837"
"1990-02-05","  66.01","  16.3755"," 1.6546","0.9006"," 0.67","0","18.93"," 6.1067"
"1990-02-06","  66.31","  16.4677"," 1.6627","0.9050"," 0.66","0","18.93"," 6.0725"
"1990-02-07","  67.83","  16.8722"," 1.7036","0.9272"," 0.65","0","18.93"," 5.9269"
"1990-02-08","  67.74","  16.8484"," 1.7004","0.9255"," 0.65","0","18.93"," 5.9353"
"1990-02-09","  67.74","  16.8508"," 1.7001","0.9254"," 0.65","0","18.93"," 5.9344"
"1990-02-12","  66.79","  16.6257"," 1.6767","0.9126"," 0.66","0","18.93"," 6.0148"
"1990-02-13","  67.58","  16.8299"," 1.6987","0.9246"," 0.65","0","18.93"," 5.9418"
"1990-02-14","  67.93","  16.9218"," 1.7082","0.9298"," 0.65","0","18.93"," 5.9096"
"1990-02-15","  68.04","  16.9385"," 1.7104","0.9309"," 0.65","0","18.93"," 5.9037"
"1990-02-16","  67.08","  16.6663"," 1.6834","0.9163"," 0.66","0","18.93"," 6.0001"
"1990-02-20","  66.21","  16.4744"," 1.6631","0.9052"," 0.66","0","18.93"," 6.0700"
"1990-02-21","  66.69","  16.6094"," 1.6760","0.9122"," 0.66","0","18.93"," 6.0207"
"1990-02-22","  66.01","  16.3998"," 1.6560","0.9013"," 0.67","0","18.93"," 6.0976"
"1990-02-23","  65.52","  16.2931"," 1.6442","0.8949"," 0.67","0","18.93"," 6.1376"
"1990-02-26","  66.58","  16.5505"," 1.6689","0.9082"," 0.66","0","18.94"," 6.0421"
"1990-02-27","  66.76","  16.5515"," 1.6689","0.9082"," 0.66","0","18.94"," 6.0417"
"1990-02-28","  67.54","  16.7224"," 1.6866","0.9182"," 0.66","0","18.95"," 5.9800"
