"date","PX_LAST","PE_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 86.98","18.0511","1.6449"," 4.24","0","29.53"," 5.5398"
"1990-02-01"," 86.85","17.9440","1.6357"," 4.26","0","29.53"," 5.5729"
"1990-02-02"," 87.59","18.0601","1.6478"," 4.23","0","29.53"," 5.5371"
"1990-02-05"," 88.13","18.1683","1.6556"," 4.21","0","29.53"," 5.5041"
"1990-02-06"," 86.78","17.8923","1.6325"," 4.27","0","29.53"," 5.5890"
"1990-02-07"," 87.15","18.0273","1.6402"," 4.25","0","29.53"," 5.5471"
"1990-02-08"," 86.43","17.9727","1.6301"," 4.28","0","29.53"," 5.5640"
"1990-02-09"," 86.40","17.9034","1.6260"," 4.29","0","29.53"," 5.5855"
"1990-02-12"," 85.54","17.7503","1.6100"," 4.33","0","29.53"," 5.6337"
"1990-02-13"," 85.74","17.7931","1.6143"," 4.32","0","29.53"," 5.6202"
"1990-02-14"," 86.22","17.8834","1.6241"," 4.29","0","29.53"," 5.5918"
"1990-02-15"," 86.87","17.9843","1.6339"," 4.27","0","29.53"," 5.5604"
"1990-02-16"," 85.65","17.7289","1.6093"," 4.33","0","29.53"," 5.6405"
"1990-02-20"," 83.67","17.3861","1.5733"," 4.43","0","29.53"," 5.7517"
"1990-02-21"," 83.28","17.2553","1.5636"," 4.46","0","29.53"," 5.7953"
"1990-02-22"," 83.45","17.2299","1.5658"," 4.45","0","29.53"," 5.8039"
"1990-02-23"," 83.37","17.1996","1.5643"," 4.46","0","29.53"," 5.8141"
"1990-02-26"," 84.87","17.5374","1.5926"," 4.38","0","29.53"," 5.7021"
"1990-02-27"," 85.80","17.7358","1.6082"," 4.33","0","29.53"," 5.6383"
"1990-02-28"," 86.51","17.8585","1.6213"," 4.30","0","29.53"," 5.5996"
"1990-03-01"," 87.15","17.9417","1.6300"," 4.28","0","29.53"," 5.5736"
"1990-03-02"," 88.13","18.1191","1.6488"," 4.23","0","29.53"," 5.5190"
"1990-03-05"," 87.77","18.0142","1.6407"," 4.25","0","29.53"," 5.5512"
"1990-03-06"," 89.00","18.2931","1.6648"," 4.19","0","29.53"," 5.4665"
"1990-03-07"," 88.24","18.2649","1.6523"," 4.22","0","29.53"," 5.4750"
"1990-03-08"," 89.36","18.5345","1.6735"," 4.16","0","29.53"," 5.3954"
"1990-03-09"," 88.73","18.3641","1.6607"," 4.20","0","29.53"," 5.4454"
"1990-03-12"," 89.10","18.4201","1.6683"," 4.18","0","29.53"," 5.4289"
"1990-03-13"," 88.46","18.2792","1.6548"," 4.21","0","29.53"," 5.4707"
"1990-03-14"," 87.93","18.2013","1.6465"," 4.23","0","29.53"," 5.4941"
"1990-03-15"," 88.32","18.2743","1.6542"," 4.21","0","29.53"," 5.4722"
"1990-03-16"," 89.68","18.5968","1.6802"," 4.15","0","29.53"," 5.3773"
"1990-03-19"," 90.14","18.6938","1.6897"," 4.12","0","29.53"," 5.3494"
"1990-03-20"," 89.61","18.5507","1.6802"," 4.15","0","29.53"," 5.3906"
"1990-03-21"," 89.24","18.4659","1.6733"," 4.17","0","29.53"," 5.4154"
"1990-03-22"," 88.40","18.2795","1.6564"," 4.21","0","29.53"," 5.4706"
"1990-03-23"," 89.07","18.4468","1.6684"," 4.18","0","29.53"," 5.4210"
"1990-03-26"," 89.07","18.4798","1.6698"," 4.17","0","29.53"," 5.4113"
"1990-03-27"," 90.66","18.8052","1.6993"," 4.10","0","29.53"," 5.3177"
"1990-03-28"," 91.34","18.9275","1.7108"," 4.07","0","29.53"," 5.2833"
"1990-03-29"," 91.09","18.8518","1.7044"," 4.09","0","29.53"," 5.3045"
"1990-03-30"," 90.85","18.7516","1.6992"," 4.10","0","29.53"," 5.3329"
"1990-04-02"," 90.51","18.6624","1.6317"," 4.12","0","30.86"," 5.3584"
"1990-04-03"," 91.88","19.0114","1.6558"," 4.06","0","30.86"," 5.2600"
"1990-04-04"," 90.74","18.7317","1.6351"," 4.11","0","30.86"," 5.3385"
"1990-04-05"," 91.05","18.7762","1.6391"," 4.10","0","30.86"," 5.3259"
"1990-04-06"," 91.02","18.7396","1.6378"," 4.11","0","30.86"," 5.3363"
"1990-04-09"," 91.39","18.8039","1.6430"," 4.09","0","30.86"," 5.3180"
"1990-04-10"," 91.61","18.8087","1.6435"," 4.09","0","30.86"," 5.3167"
"1990-04-11"," 91.58","18.8249","1.6447"," 4.09","0","30.86"," 5.3121"
"1990-04-12"," 92.00","18.9751","1.6565"," 4.06","0","30.86"," 5.2701"
"1990-04-16"," 92.29","19.0792","1.6637"," 4.04","0","30.86"," 5.2413"
"1990-04-17"," 92.10","19.0635","1.6619"," 4.05","0","30.86"," 5.2456"
"1990-04-18"," 90.35","18.6534","1.6300"," 4.13","0","30.86"," 5.3610"
"1990-04-19"," 89.63","18.5386","1.6183"," 4.16","0","30.86"," 5.3941"
"1990-04-20"," 88.57","18.4161","1.6022"," 4.20","0","30.86"," 5.4300"
"1990-04-23"," 87.45","18.1544","1.5811"," 4.25","0","30.86"," 5.5083"
"1990-04-24"," 87.08","18.0520","1.5737"," 4.27","0","30.86"," 5.5395"
"1990-04-25"," 87.59","18.1384","1.5819"," 4.25","0","30.86"," 5.5132"
"1990-04-26"," 87.84","18.2058","1.5871"," 4.24","0","30.86"," 5.4928"
"1990-04-27"," 86.88","17.9896","1.5687"," 4.29","0","30.86"," 5.5588"
"1990-04-30"," 87.53","18.0842","1.5789"," 4.26","0","30.86"," 5.5297"
"1990-05-01"," 87.98","18.2117","1.5887"," 4.23","0","30.86"," 5.4910"
"1990-05-02"," 88.01","19.7100","1.6824"," 3.96","0","30.30"," 5.0736"
"1990-05-03"," 88.36","20.7752","1.7564"," 3.80","0","30.30"," 4.8134"
"1990-05-04"," 89.38","21.0612","1.7792"," 3.75","0","30.30"," 4.7481"
"1990-05-07"," 89.68","21.1503","1.7855"," 3.73","0","30.30"," 4.7281"
"1990-05-08"," 90.33","21.2631","1.7960"," 3.71","0","30.30"," 4.7030"
"1990-05-09"," 90.77","21.3101","1.8015"," 3.70","0","30.30"," 4.6926"
"1990-05-10"," 91.07","21.3956","1.8089"," 3.69","0","30.30"," 4.6739"
"1990-05-11"," 93.66","21.9929","1.8616"," 3.58","0","30.30"," 4.5469"
"1990-05-14"," 94.82","22.2910","1.8857"," 3.54","0","30.30"," 4.4861"
"1990-05-15"," 94.03","22.0530","1.8690"," 3.57","0","30.30"," 4.5345"
"1990-05-16"," 94.69","22.2150","1.8833"," 3.54","0","30.30"," 4.5015"
"1990-05-17"," 94.66","22.2067","1.8830"," 3.54","0","30.30"," 4.5031"
"1990-05-18"," 94.91","22.3596","1.8899"," 3.53","0","30.30"," 4.4724"
"1990-05-21"," 95.32","22.4391","1.8954"," 3.52","0","30.30"," 4.4565"
"1990-05-22"," 94.98","22.3542","1.8905"," 3.53","0","30.30"," 4.4734"
"1990-05-23"," 95.07","22.3664","1.8904"," 3.53","0","30.30"," 4.4710"
"1990-05-24"," 94.23","22.1373","1.8737"," 3.56","0","30.30"," 4.5173"
"1990-05-25"," 92.84","21.7524","1.8446"," 3.61","0","30.30"," 4.5972"
"1990-05-29"," 94.65","22.1702","1.8797"," 3.55","0","30.30"," 4.5106"
"1990-05-30"," 94.89","22.2311","1.8818"," 3.54","0","30.30"," 4.4982"
"1990-05-31"," 95.02","19.6719","1.7131"," 3.93","0","30.86"," 5.0834"
"1990-06-01"," 95.34","19.7307","1.7186"," 3.91","0","30.86"," 5.0682"
"1990-06-04"," 96.00","19.8826","1.7345"," 3.88","0","30.86"," 5.0295"
"1990-06-05"," 95.57","19.8063","1.7290"," 3.89","0","30.86"," 5.0489"
"1990-06-06"," 95.19","19.6721","1.7201"," 3.91","0","30.86"," 5.0833"
"1990-06-07"," 94.51","19.5626","1.7081"," 3.94","0","30.86"," 5.1118"
"1990-06-08"," 93.35","19.3143","1.6851"," 3.99","0","30.86"," 5.1775"
"1990-06-11"," 94.03","19.4135","1.6959"," 3.97","0","30.86"," 5.1511"
"1990-06-12"," 95.05","19.7071","1.7177"," 3.91","0","30.86"," 5.0743"
"1990-06-13"," 94.86","19.7360","1.7159"," 3.92","0","30.86"," 5.0669"
"1990-06-14"," 93.13","19.4087","1.6883"," 3.98","0","30.86"," 5.1523"
"1990-06-15"," 92.87","19.4310","1.6853"," 3.99","0","30.86"," 5.1464"
"1990-06-18"," 91.27","19.0329","1.6530"," 4.07","0","30.86"," 5.2541"
"1990-06-19"," 91.58","19.1068","1.6586"," 4.05","0","30.86"," 5.2338"
"1990-06-20"," 92.26","19.2460","1.6720"," 4.02","0","30.86"," 5.1959"
"1990-06-21"," 92.32","19.3273","1.6767"," 4.01","0","30.86"," 5.1740"
"1990-06-22"," 90.05","18.8492","1.6359"," 4.11","0","30.86"," 5.3053"
"1990-06-25"," 89.00","18.5389","1.6156"," 4.16","0","30.86"," 5.3941"
