"","IT","FIN","ENG","HLTH","CONS","COND","INDU","UTIL","TELS","MATR"
"PE",1.83061216303535e-05,6.7782694279001e-44,1.46588023704935e-86,2.43356702666361e-23,0.117106413305112,0.246254606781594,0.359766530686132,1.35129066552562e-243,1.80511951722673e-57,4.19348039413074e-38
"PS",0,0,0,2.87343262720825e-229,0.000356312810347699,0,0,0.00546710437662652,0,0
"FCFYield",0,2.75760651086895e-75,7.10300120278559e-82,0,0,0,8.03243267612551e-15,0,5.59310583458896e-21,3.94279808777226e-222
"PEG",0,1.93667489645264e-99,4.24547381480001e-11,0,0,0,1.38509508834992e-22,1.2964046557093e-52,6.13749083897471e-34,1.06095897426724e-232
"DebtAssetPercentage",7.17969407439411e-172,0,6.22754380293738e-77,7.56570250690527e-27,0.000150504938089202,0.000187624540384739,0,0,9.42442751447496e-22,1.14897476846387e-121
"EarningsYield",5.69762240223644e-67,0.00360104588351992,1.03674608754303e-51,9.50596495529712e-65,0.00791194588692585,3.56598626629161e-06,5.31068762438048e-31,1.05607601708238e-39,4.44826816955716e-130,2.41852272573584e-11
"PutCallOpenInterest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"InstitutionOwnership",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Volume",0.000129792445613843,1.07355053468328e-20,8.07080228353188e-211,0.52244288701346,3.42749039752055e-17,2.12329116365921e-12,3.60111145422108e-59,5.23949886983556e-29,NA,2.19276471724728e-51
"EHGDUS.Index",9.46397473281126e-19,1.5918753367885e-12,0.00438224928681415,1.6111063778116e-74,6.76316637637571e-11,1.74887975770612e-11,0.0780962520044476,2.74457452280297e-21,0.35578070215846,1.50018563839896e-10
"USGG2YR.Index",9.13938263753665e-200,4.3552017087818e-21,8.77304212071974e-08,0.438111419905372,3.03108122260405e-05,3.24485696481019e-24,4.75444211886433e-103,0.00492931292864178,4.61777911442725e-06,4.01605899884473e-25
"USGG10YR.Index",5.97121395514889e-40,1.36736485577471e-21,3.76631060542317e-05,1.39310669202062e-09,1.83971414599019e-14,3.54284648210969e-15,1.56297860665666e-97,2.22471158241224e-14,6.11087405793907e-45,0.0500686525758502
"USURTOT.Index",4.24574381251826e-09,0.284789141224614,2.66981726750843e-64,1.15213588522803e-98,5.03669372425108e-155,3.39647955950144e-183,7.87509955859283e-147,3.2857567990457e-10,0.00175977938010373,2.29363657209598e-159
"PRUSTOT.Index",1.64833609959102e-202,0,0,5.46446518472615e-102,1.77874098381014e-248,1.03090478070659e-120,0,5.19608913623348e-53,2.15210674279437e-29,8.43892673127214e-35
"CONSSENT.Index",3.63149622009642e-140,1.12731976567977e-31,1.63423483864095e-114,0.15382228850029,3.97602907017029e-16,4.36452612178233e-19,2.24371256443549e-196,2.20910762048975e-22,5.4432703352494e-24,7.97111418328381e-161
"CPI.YOY.Index",6.04548297260442e-37,2.56043541409193e-23,4.41906815054992e-17,1.45886853159588e-23,6.03362285352098e-20,5.63575940832784e-12,2.37172491467479e-06,0.486454263795392,6.04553900165131e-06,8.79319598035263e-06
