"date","PE_RATIO","PX_TO_SALES_RATIO","PX_TO_FREE_CASH_FLOW","EST_LTG_EPS_AGGTE"
2005-04-15,21.2497,2.3239,18.07,10.9
2005-04-22,21.6985,2.3729,18.45,10.86
2005-04-29,21.5947,2.3615,18.43,10.8
2005-05-06,21.9319,2.3973,18.85,9.9
2005-05-13,22.2455,2.4315,19.12,9.93
2005-05-20,23.0572,2.5203,19.82,9.92
2005-05-27,23.3595,2.5575,20.04,9.92
2005-06-03,23.1395,2.5381,19.88,10.22
2005-06-10,22.9838,2.521,19.74,10.28
2005-06-17,23.1276,2.5368,19.87,10.3
2005-06-24,22.7867,2.4952,19.57,10.3
2005-07-01,22.2665,2.4758,19.36,10.26
2005-07-08,22.8019,2.542,20.27,10.23
2005-07-15,23.5395,2.6243,20.92,10.45
2005-07-22,23.5151,2.6215,20.9,10.56
2005-07-29,23.3944,2.6054,20.79,12.03
2005-08-05,23.4446,2.6167,20.45,12.4
2005-08-12,23.0653,2.574,20.17,12.01
2005-08-19,22.9912,2.5659,20.1,12.96
2005-08-26,22.8837,2.5561,19.97,13.01
2005-09-02,22.9691,2.5681,20.03,12.93
2005-09-09,23.3762,2.6137,20.39,12.65
2005-09-16,23.267,2.6014,20.29,12.92
2005-09-23,22.8943,2.5247,19.94,13.03
2005-09-30,23.8275,2.5506,19.33,13.77
2005-10-07,22.6597,2.4598,18.79,14.01
2005-10-14,22.4498,2.437,18.62,14.12
2005-10-21,22.6555,2.4593,18.79,14.12
2005-10-28,22.5406,2.4451,18.88,14.11
2005-11-04,23.1573,2.5252,19.57,14.07
2005-11-11,23.4259,2.5541,19.8,13.96
2005-11-18,23.8649,2.5995,20.18,14.31
2005-11-25,24.2517,2.6411,20.59,14.54
2005-12-02,24.4544,2.6655,20.71,14.5
2005-12-09,24.2341,2.6442,20.53,14.26
2005-12-16,24.0364,2.6227,20.37,14.27
2005-12-23,23.9228,2.604,20.28,14.14
2005-12-30,23.3651,2.5399,19.7,14.12
2006-01-06,23.5989,2.6733,20.07,14.2
2006-01-13,23.7455,2.6899,20.2,14.15
2006-01-20,22.7178,2.5735,19.32,14.24
2006-01-27,23.1176,2.6182,19.67,14.23
2006-02-03,22.7415,2.5909,19.15,14.36
2006-02-10,23.043,2.6253,19.4,14.36
2006-02-17,23.1934,2.6424,19.53,14.37
2006-02-24,22.977,2.6178,19.35,14.39
2006-03-03,23.2831,2.6521,19.52,14.32
2006-03-10,22.902,2.6087,19.2,14.65
2006-03-17,23.3137,2.6556,19.54,14.85
2006-03-24,23.3404,2.6475,19.57,14.78
