"date","VGT","VFH","VDE","VHT","VDC","VCR","VIS","VPU","VOX","VAW"
2013-05-10,1.0313,0.4,0.125,0.3704,0.86,0.1033,0.4173,1,0.907,1.1649
2013-05-17,0.825,0.7736,0.75,0.3488,0.9463,0.4698,0.4104,1.4138,0.0541,1.0381
2013-05-24,0.4167,1.029,0.4,0.5,1.1081,0.5277,0.3481,0.7838,0.0163,0.9758
2013-05-31,0.4483,1.058,1.45,0.4788,1.1228,0.5186,0.2513,1.1818,0.0191,0.8506
2013-06-07,0.5357,1.0092,1.5454,0.5163,1.1228,0.5896,0.2536,1.1471,0.0566,0.7413
2013-06-14,0.3704,0.8429,1.5454,0.5505,1.0378,0.5378,0.2433,1.1471,0.0556,0.7406
2013-06-21,0.7778,0.8718,1.4783,0.5714,0.9693,0.5584,0.3284,1.0833,0.0556,0.7296
2013-06-28,0.4931,0.1969,0.4681,0.5904,0.779,0.5036,0.1746,0.1064,0.0206,0.5339
2013-07-05,0.48,0.2,0.4583,0.5444,1.0105,0.4662,0.2,0.0943,0.0203,0.55
2013-07-12,0.5823,0.1886,0.3929,0.6118,0.5758,0.4167,0.3014,0.4793,0.0201,0.6074
2013-07-19,1.4043,0.2064,0.4821,0.6364,0.5958,0.6033,0.3333,0.5118,0.0903,0.6452
2013-07-26,0.875,0.1815,0.4894,0.5891,0.5,0.5682,0.1129,0.3968,0.1603,0.6883
2013-08-02,0.875,0.1738,0.5371,0.5429,0.4963,0.5631,0.1508,0.5942,0.1438,0.6795
2013-08-09,0.9583,0.2116,0.5345,0.5621,0.4686,0.5343,0.2061,0.5971,0.1623,0.656
2013-08-16,0.94,0.2298,0.5976,0.8256,0.5926,0.4993,0.1,0.5,0.2734,0.6716
2013-08-23,0.5588,0.1913,0.7568,0.6933,0.6996,0.5403,0.1207,0.482,0.7209,0.7615
2013-08-30,0.5833,0.2906,0.7237,0.6881,0.8008,0.4885,0.2461,0.4673,0.8085,0.7593
2013-09-06,0.4468,0.2904,0.7237,0.6858,0.7976,0.4824,0.2632,0.4573,0.9149,0.68
2013-09-13,0.2268,0.2991,0.7614,0.6464,0.6171,0.4573,0.2632,0.4573,0.8431,0.6667
2013-09-20,0.2316,0.5133,0.7156,0.4407,0.6868,0.7805,0.3015,0.4916,1.1333,0.6596
2013-09-27,0.0674,0.3621,0.4087,0.3936,0.2833,0.3859,0.3106,0.7047,1.2653,0.5086
2013-10-04,0.0652,1.1047,0.4298,0.4022,0.6011,0.3853,0.3111,0.6919,1.2453,0.4121
2013-10-11,0.1721,1.3014,0.5635,0.3533,0.6304,0.4272,0.2566,1.3911,2.7213,0.3736
2013-10-18,6.5625,1.1813,0.4649,0.3373,0.6034,0.4473,0.3404,1.3919,2.4084,0.3493
2013-10-25,2.5454,1.4854,0.82,0.5174,0.6936,0.3675,0.4184,0.6746,2.3028,0.3343
2013-11-01,1.4762,0.8202,0.8646,0.5025,0.6983,0.3496,0.9426,0.6683,2.3586,0.3591
2013-11-08,1.5238,2.2099,0.5207,0.52,0.8244,0.8136,0.4175,0.6864,2.4539,0.3586
2013-11-15,2.2381,2.9701,0.5056,0.5333,0.8656,0.8778,0.2649,0.6823,2.0926,0.4016
2013-11-22,5.6923,3.9159,1.0726,0.8736,0.5682,1.1084,0.2441,0.6683,0.323,0.4197
2013-11-29,3.8948,3.7466,0.811,0.8524,0.543,1.1606,0.2943,0.6164,0.3006,0.5438
2013-12-06,3.9583,1.5954,0.892,0.8433,0.6116,0.8509,0.2944,0.5258,0.2888,0.5218
2013-12-13,13.0833,1.7282,0.9745,0.8298,0.9954,0.7269,0.6414,1.4983,0.4189,0.632
2013-12-20,116.8636,2.4299,1.3616,0.8387,1.7589,0.9091,1.0748,1.6824,1.0738,0.4974
2013-12-27,77.2581,1.653,1.5703,1.47,0.6719,0.7171,6.9429,1.3234,1.2346,0.4769
2014-01-03,36.0909,1.577,1.6061,1.6176,0.8064,0.7126,5.9513,1.1525,1.3659,0.6056
2014-01-10,36.2879,1.5193,2.3834,1.5714,0.8217,0.7009,3.7539,1.2234,1.4583,0.6027
2014-01-17,34.5,1.4242,2.3008,0.765,0.6241,0.7329,3.2533,0.92,1.2301,0.4423
