"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,66.4561,NA,NA,NA
1990-02-01,66.2357,NA,NA,NA
1990-02-02,66.7813,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,66.9758,NA,NA,NA
1990-02-06,66.476,NA,NA,NA
1990-02-07,67.6813,NA,NA,NA
1990-02-08,67.33,NA,NA,NA
1990-02-09,67.5895,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,66.9609,NA,NA,NA
1990-02-13,67.1019,NA,NA,NA
1990-02-14,67.3398,NA,NA,NA
1990-02-15,67.8267,NA,NA,NA
1990-02-16,67.1548,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,66.1481,NA,NA,NA
1990-02-21,66.3427,NA,NA,NA
1990-02-22,65.9456,NA,NA,NA
1990-02-23,65.584,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,66.7277,NA,NA,NA
1990-02-27,67.298,NA,NA,NA
1990-02-28,67.6765,NA,NA,NA
1990-03-01,67.8934,NA,NA,NA
1990-03-02,68.7587,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,68.653,NA,NA,NA
1990-03-06,69.5847,NA,NA,NA
1990-03-07,69.2601,NA,NA,NA
1990-03-08,70.2483,NA,NA,NA
1990-03-09,70.0566,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,70.2957,NA,NA,NA
1990-03-13,70.0498,NA,NA,NA
1990-03-14,70.2556,NA,NA,NA
1990-03-15,70.3604,NA,NA,NA
1990-03-16,70.9603,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,71.0947,NA,NA,NA
1990-03-20,70.7144,NA,NA,NA
1990-03-21,70.303,NA,NA,NA
1990-03-22,69.3108,NA,NA,NA
1990-03-23,69.5244,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,69.8731,NA,NA,NA
1990-03-27,70.6434,NA,NA,NA
1990-03-28,70.5211,NA,NA,NA
1990-03-29,69.9908,NA,NA,NA
1990-03-30,69.6771,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,69.3711,NA,NA,NA
1990-04-03,70.3923,NA,NA,NA
