"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,88.24,NA,NA,NA
1990-02-01,88.23,NA,NA,NA
1990-02-02,88.89,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,89.11,NA,NA,NA
1990-02-06,88.55,NA,NA,NA
1990-02-07,90.14,NA,NA,NA
1990-02-08,90.84,NA,NA,NA
1990-02-09,90.92,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,89.86,NA,NA,NA
1990-02-13,90.35,NA,NA,NA
1990-02-14,90.28,NA,NA,NA
1990-02-15,91.9,NA,NA,NA
1990-02-16,91.63,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,90.77,NA,NA,NA
1990-02-21,90.91,NA,NA,NA
1990-02-22,89.51,NA,NA,NA
1990-02-23,88.96,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,90.33,NA,NA,NA
1990-02-27,90.13,NA,NA,NA
1990-02-28,89.81,NA,NA,NA
1990-03-01,89.73,NA,NA,NA
1990-03-02,90.3,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,89.63,NA,NA,NA
1990-03-06,90.87,NA,NA,NA
1990-03-07,90.73,NA,NA,NA
1990-03-08,90.85,NA,NA,NA
1990-03-09,89.74,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,89.78,NA,NA,NA
1990-03-13,88.9,NA,NA,NA
1990-03-14,89.6,NA,NA,NA
1990-03-15,90.03,NA,NA,NA
1990-03-16,91.14,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,90.97,NA,NA,NA
1990-03-20,90.1,NA,NA,NA
1990-03-21,89.41,NA,NA,NA
1990-03-22,88.67,NA,NA,NA
1990-03-23,88.88,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,88.81,NA,NA,NA
1990-03-27,89.69,NA,NA,NA
1990-03-28,89.97,NA,NA,NA
1990-03-29,89.92,NA,NA,NA
1990-03-30,90.07,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,89.97,NA,NA,NA
1990-04-03,91.46,NA,NA,NA
1990-04-04,90.21,NA,NA,NA
1990-04-05,90.01,NA,NA,NA
1990-04-06,89.83,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,89.59,NA,NA,NA
1990-04-10,88.8,NA,NA,NA
1990-04-11,87.45,NA,NA,NA
1990-04-12,88.23,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,88.43,NA,NA,NA
1990-04-17,88.79,NA,NA,NA
1990-04-18,87.93,NA,NA,NA
1990-04-19,87.96,NA,NA,NA
1990-04-20,87.8,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,86.59,NA,NA,NA
1990-04-24,86.51,NA,NA,NA
1990-04-25,86.94,NA,NA,NA
1990-04-26,87.03,NA,NA,NA
1990-04-27,86.27,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,86.62,NA,NA,NA
1990-05-01,87.01,NA,NA,NA
1990-05-02,87.81,NA,NA,NA
1990-05-03,88.32,NA,NA,NA
1990-05-04,88.96,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,89.18,NA,NA,NA
1990-05-08,89.23,NA,NA,NA
1990-05-09,89.41,NA,NA,NA
1990-05-10,89.72,NA,NA,NA
1990-05-11,91.88,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,92.7,NA,NA,NA
1990-05-15,92.27,NA,NA,NA
1990-05-16,92.2,NA,NA,NA
1990-05-17,92.34,NA,NA,NA
1990-05-18,92.24,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,92.67,NA,NA,NA
1990-05-22,92.24,NA,NA,NA
1990-05-23,91.71,NA,NA,NA
1990-05-24,90.67,NA,NA,NA
1990-05-25,89.6,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,91.46,NA,NA,NA
1990-05-30,91.97,NA,NA,NA
1990-05-31,91.94,NA,NA,NA
1990-06-01,91.64,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,92.36,NA,NA,NA
1990-06-05,91.48,NA,NA,NA
1990-06-06,90.38,NA,NA,NA
1990-06-07,90.08,NA,NA,NA
1990-06-08,89.4,NA,NA,NA
1990-06-09,NA,NA,NA,NA
1990-06-10,NA,NA,NA,NA
1990-06-11,90.44,NA,NA,NA
1990-06-12,91.65,NA,NA,NA
1990-06-13,91.13,NA,NA,NA
1990-06-14,90.77,NA,NA,NA
1990-06-15,91.21,NA,NA,NA
1990-06-16,NA,NA,NA,NA
1990-06-17,NA,NA,NA,NA
1990-06-18,89.73,NA,NA,NA
1990-06-19,90.27,NA,NA,NA
1990-06-20,90.79,NA,NA,NA
1990-06-21,90.89,NA,NA,NA
1990-06-22,89.51,NA,NA,NA
1990-06-23,NA,NA,NA,NA
1990-06-24,NA,NA,NA,NA
1990-06-25,88.97,NA,NA,NA
1990-06-26,88.86,NA,NA,NA
1990-06-27,89.66,NA,NA,NA
1990-06-28,90,NA,NA,NA
1990-06-29,89.83,NA,NA,NA
1990-06-30,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-07-02,89.66,NA,NA,NA
1990-07-03,89.46,NA,NA,NA
1990-07-05,88.58,NA,NA,NA
1990-07-06,89.06,NA,NA,NA
1990-07-07,NA,NA,NA,NA
1990-07-08,NA,NA,NA,NA
1990-07-09,89.07,NA,NA,NA
1990-07-10,88.47,NA,NA,NA
1990-07-11,90.59,NA,NA,NA
1990-07-12,93.7,NA,NA,NA
1990-07-13,94.18,NA,NA,NA
1990-07-14,NA,NA,NA,NA
1990-07-15,NA,NA,NA,NA
1990-07-16,94.22,NA,NA,NA
1990-07-17,94.18,NA,NA,NA
1990-07-18,93.66,NA,NA,NA
1990-07-19,95.88,NA,NA,NA
1990-07-20,95.06,NA,NA,NA
1990-07-21,NA,NA,NA,NA
1990-07-22,NA,NA,NA,NA
1990-07-23,94.12,NA,NA,NA
1990-07-24,96.79,NA,NA,NA
1990-07-25,96.2,NA,NA,NA
1990-07-26,95.08,NA,NA,NA
1990-07-27,95.24,NA,NA,NA
1990-07-28,NA,NA,NA,NA
1990-07-29,NA,NA,NA,NA
1990-07-30,96.82,NA,NA,NA
1990-07-31,98.24,NA,NA,NA
1990-08-01,98.64,NA,NA,NA
1990-08-02,101.37,NA,NA,NA
