"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,68.08,NA,NA,NA
1990-02-01,68,NA,NA,NA
1990-02-02,68.21,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,68.5,NA,NA,NA
1990-02-06,67.91,NA,NA,NA
1990-02-07,68.62,NA,NA,NA
1990-02-08,68.09,NA,NA,NA
1990-02-09,68.13,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,67.65,NA,NA,NA
1990-02-13,67.83,NA,NA,NA
1990-02-14,68.39,NA,NA,NA
1990-02-15,69.54,NA,NA,NA
1990-02-16,69.77,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,68.56,NA,NA,NA
1990-02-21,68.71,NA,NA,NA
1990-02-22,68.72,NA,NA,NA
1990-02-23,68.64,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,69.68,NA,NA,NA
1990-02-27,69.8,NA,NA,NA
1990-02-28,70.26,NA,NA,NA
1990-03-01,70.4,NA,NA,NA
1990-03-02,70.94,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,70,NA,NA,NA
1990-03-06,70.63,NA,NA,NA
1990-03-07,70.27,NA,NA,NA
1990-03-08,70.92,NA,NA,NA
1990-03-09,70.29,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,70.36,NA,NA,NA
1990-03-13,69.77,NA,NA,NA
1990-03-14,69.76,NA,NA,NA
1990-03-15,69.67,NA,NA,NA
1990-03-16,69.75,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,69.56,NA,NA,NA
1990-03-20,68.94,NA,NA,NA
1990-03-21,68.47,NA,NA,NA
1990-03-22,67.29,NA,NA,NA
1990-03-23,67.65,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,67.69,NA,NA,NA
1990-03-27,68.21,NA,NA,NA
1990-03-28,68.56,NA,NA,NA
1990-03-29,68.23,NA,NA,NA
1990-03-30,68.03,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,67.49,NA,NA,NA
1990-04-03,68.3,NA,NA,NA
1990-04-04,67.83,NA,NA,NA
1990-04-05,67.08,NA,NA,NA
1990-04-06,66.21,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,66.99,NA,NA,NA
1990-04-10,67.68,NA,NA,NA
1990-04-11,68.11,NA,NA,NA
1990-04-12,68.9,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,68.85,NA,NA,NA
1990-04-17,69.19,NA,NA,NA
1990-04-18,68.35,NA,NA,NA
1990-04-19,67.63,NA,NA,NA
1990-04-20,66.59,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,65.66,NA,NA,NA
1990-04-24,65.28,NA,NA,NA
1990-04-25,65.48,NA,NA,NA
1990-04-26,65.4,NA,NA,NA
1990-04-27,64.7,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,64.99,NA,NA,NA
1990-05-01,65.31,NA,NA,NA
1990-05-02,66,NA,NA,NA
1990-05-03,66.03,NA,NA,NA
1990-05-04,66.81,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,67.31,NA,NA,NA
1990-05-08,67.69,NA,NA,NA
1990-05-09,67.69,NA,NA,NA
1990-05-10,67.9,NA,NA,NA
1990-05-11,69.71,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,70.58,NA,NA,NA
1990-05-15,71.15,NA,NA,NA
1990-05-16,70.96,NA,NA,NA
1990-05-17,71.06,NA,NA,NA
1990-05-18,71.06,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,71.65,NA,NA,NA
1990-05-22,71.63,NA,NA,NA
1990-05-23,72.1,NA,NA,NA
1990-05-24,72.34,NA,NA,NA
1990-05-25,71.67,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,72.46,NA,NA,NA
1990-05-30,72.57,NA,NA,NA
1990-05-31,72.89,NA,NA,NA
1990-06-01,73.97,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,75.75,NA,NA,NA
1990-06-05,76.39,NA,NA,NA
1990-06-06,75.78,NA,NA,NA
1990-06-07,75.3,NA,NA,NA
1990-06-08,74.08,NA,NA,NA
1990-06-09,NA,NA,NA,NA
1990-06-10,NA,NA,NA,NA
1990-06-11,74.41,NA,NA,NA
1990-06-12,74.79,NA,NA,NA
1990-06-13,74.04,NA,NA,NA
1990-06-14,72.84,NA,NA,NA
1990-06-15,72.74,NA,NA,NA
1990-06-16,NA,NA,NA,NA
1990-06-17,NA,NA,NA,NA
1990-06-18,71.26,NA,NA,NA
1990-06-19,71.47,NA,NA,NA
1990-06-20,70.92,NA,NA,NA
1990-06-21,71.11,NA,NA,NA
1990-06-22,70.26,NA,NA,NA
1990-06-23,NA,NA,NA,NA
1990-06-24,NA,NA,NA,NA
1990-06-25,69.37,NA,NA,NA
1990-06-26,69.27,NA,NA,NA
1990-06-27,69.79,NA,NA,NA
1990-06-28,70.27,NA,NA,NA
1990-06-29,70.42,NA,NA,NA
1990-06-30,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-07-02,70.6,NA,NA,NA
1990-07-03,70.4,NA,NA,NA
1990-07-05,69.4,NA,NA,NA
1990-07-06,69.94,NA,NA,NA
1990-07-07,NA,NA,NA,NA
1990-07-08,NA,NA,NA,NA
1990-07-09,69.93,NA,NA,NA
1990-07-10,69.01,NA,NA,NA
1990-07-11,69.61,NA,NA,NA
1990-07-12,69.89,NA,NA,NA
1990-07-13,70.25,NA,NA,NA
1990-07-14,NA,NA,NA,NA
1990-07-15,NA,NA,NA,NA
1990-07-16,70.85,NA,NA,NA
1990-07-17,71.06,NA,NA,NA
1990-07-18,70.61,NA,NA,NA
1990-07-19,70.19,NA,NA,NA
1990-07-20,69.37,NA,NA,NA
1990-07-21,NA,NA,NA,NA
1990-07-22,NA,NA,NA,NA
1990-07-23,68.28,NA,NA,NA
1990-07-24,67.74,NA,NA,NA
1990-07-25,68.07,NA,NA,NA
1990-07-26,67.97,NA,NA,NA
1990-07-27,67.34,NA,NA,NA
1990-07-28,NA,NA,NA,NA
1990-07-29,NA,NA,NA,NA
1990-07-30,67.41,NA,NA,NA
1990-07-31,67.01,NA,NA,NA
1990-08-01,65.84,NA,NA,NA
1990-08-02,64.46,NA,NA,NA
1990-08-03,63.27,NA,NA,NA
1990-08-04,NA,NA,NA,NA
1990-08-05,NA,NA,NA,NA
1990-08-06,61.33,NA,NA,NA
1990-08-07,61.98,NA,NA,NA
1990-08-08,62.8,NA,NA,NA
1990-08-09,63.23,NA,NA,NA
1990-08-10,62.66,NA,NA,NA
1990-08-11,NA,NA,NA,NA
1990-08-12,NA,NA,NA,NA
1990-08-13,62.75,NA,NA,NA
1990-08-14,62.82,NA,NA,NA
1990-08-15,62.93,NA,NA,NA
1990-08-16,61.1,NA,NA,NA
1990-08-17,59.98,NA,NA,NA
1990-08-18,NA,NA,NA,NA
1990-08-19,NA,NA,NA,NA
1990-08-20,59.73,NA,NA,NA
1990-08-21,58.29,NA,NA,NA
1990-08-22,57.35,NA,NA,NA
1990-08-23,55.87,NA,NA,NA
1990-08-24,56.61,NA,NA,NA
1990-08-25,NA,NA,NA,NA
1990-08-26,NA,NA,NA,NA
1990-08-27,58.46,NA,NA,NA
1990-08-28,58.14,NA,NA,NA
1990-08-29,58.62,NA,NA,NA
1990-08-30,57.86,NA,NA,NA
1990-08-31,58.62,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-09-02,NA,NA,NA,NA
1990-09-04,58.62,NA,NA,NA
1990-09-05,58.78,NA,NA,NA
1990-09-06,58.05,NA,NA,NA
1990-09-07,58.71,NA,NA,NA
1990-09-08,NA,NA,NA,NA
1990-09-09,NA,NA,NA,NA
1990-09-10,58.42,NA,NA,NA
1990-09-11,57.72,NA,NA,NA
1990-09-12,57.8,NA,NA,NA
1990-09-13,56.85,NA,NA,NA
1990-09-14,56.08,NA,NA,NA
1990-09-15,NA,NA,NA,NA
1990-09-16,NA,NA,NA,NA
1990-09-17,55.99,NA,NA,NA
1990-09-18,55.69,NA,NA,NA
1990-09-19,55.2,NA,NA,NA
1990-09-20,53.8,NA,NA,NA
1990-09-21,53.2,NA,NA,NA
1990-09-22,NA,NA,NA,NA
1990-09-23,NA,NA,NA,NA
1990-09-24,51.27,NA,NA,NA
1990-09-25,51.9,NA,NA,NA
1990-09-26,50.5,NA,NA,NA
1990-09-27,48.68,NA,NA,NA
1990-09-28,51.02,NA,NA,NA
1990-09-29,NA,NA,NA,NA
1990-09-30,NA,NA,NA,NA
1990-10-01,52.76,NA,NA,NA
1990-10-02,52.45,NA,NA,NA
1990-10-03,51.17,NA,NA,NA
1990-10-04,51.59,NA,NA,NA
1990-10-05,50.94,NA,NA,NA
1990-10-06,NA,NA,NA,NA
1990-10-07,NA,NA,NA,NA
1990-10-08,50.89,NA,NA,NA
1990-10-09,49.32,NA,NA,NA
1990-10-10,48.43,NA,NA,NA
