"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,71.45,NA,NA,NA
1990-02-01,71.46,NA,NA,NA
1990-02-02,71.83,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,72,NA,NA,NA
1990-02-06,71.73,NA,NA,NA
1990-02-07,72.44,NA,NA,NA
1990-02-08,72.42,NA,NA,NA
1990-02-09,72.63,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,71.73,NA,NA,NA
1990-02-13,71.99,NA,NA,NA
1990-02-14,72.04,NA,NA,NA
1990-02-15,72.46,NA,NA,NA
1990-02-16,72.04,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,71.02,NA,NA,NA
1990-02-21,71,NA,NA,NA
1990-02-22,70.88,NA,NA,NA
1990-02-23,70.83,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,71.75,NA,NA,NA
1990-02-27,72.58,NA,NA,NA
1990-02-28,73.09,NA,NA,NA
1990-03-01,73.47,NA,NA,NA
1990-03-02,74.06,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,73.62,NA,NA,NA
1990-03-06,74.41,NA,NA,NA
1990-03-07,74.35,NA,NA,NA
1990-03-08,75.05,NA,NA,NA
1990-03-09,74.78,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,74.74,NA,NA,NA
1990-03-13,74.36,NA,NA,NA
1990-03-14,74.77,NA,NA,NA
1990-03-15,74.74,NA,NA,NA
1990-03-16,75.66,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,76.37,NA,NA,NA
1990-03-20,76.23,NA,NA,NA
1990-03-21,75.88,NA,NA,NA
1990-03-22,75.03,NA,NA,NA
1990-03-23,75.52,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,75.66,NA,NA,NA
1990-03-27,76.63,NA,NA,NA
1990-03-28,76.61,NA,NA,NA
1990-03-29,76.22,NA,NA,NA
1990-03-30,76.11,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,75.62,NA,NA,NA
1990-04-03,76.5,NA,NA,NA
1990-04-04,76.03,NA,NA,NA
1990-04-05,76.06,NA,NA,NA
1990-04-06,76.09,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,76.19,NA,NA,NA
1990-04-10,76.36,NA,NA,NA
1990-04-11,76.47,NA,NA,NA
1990-04-12,77.13,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,77.4,NA,NA,NA
1990-04-17,77.36,NA,NA,NA
1990-04-18,76.56,NA,NA,NA
1990-04-19,76.04,NA,NA,NA
1990-04-20,75.5,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,74.46,NA,NA,NA
1990-04-24,74.33,NA,NA,NA
1990-04-25,74.75,NA,NA,NA
1990-04-26,74.98,NA,NA,NA
1990-04-27,74.18,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,74.48,NA,NA,NA
1990-05-01,74.8,NA,NA,NA
1990-05-02,75.21,NA,NA,NA
1990-05-03,75.46,NA,NA,NA
1990-05-04,75.93,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,76.4,NA,NA,NA
1990-05-08,76.8,NA,NA,NA
1990-05-09,77.04,NA,NA,NA
1990-05-10,77.07,NA,NA,NA
1990-05-11,78.63,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,79.08,NA,NA,NA
1990-05-15,78.8,NA,NA,NA
1990-05-16,78.73,NA,NA,NA
1990-05-17,78.67,NA,NA,NA
1990-05-18,78.78,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,79.31,NA,NA,NA
1990-05-22,79.34,NA,NA,NA
1990-05-23,79.25,NA,NA,NA
1990-05-24,79.42,NA,NA,NA
1990-05-25,78.77,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,79.9,NA,NA,NA
1990-05-30,79.76,NA,NA,NA
1990-05-31,79.97,NA,NA,NA
1990-06-01,80.53,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,81.42,NA,NA,NA
1990-06-05,81.27,NA,NA,NA
1990-06-06,81.01,NA,NA,NA
1990-06-07,80.63,NA,NA,NA
1990-06-08,79.74,NA,NA,NA
1990-06-09,NA,NA,NA,NA
1990-06-10,NA,NA,NA,NA
1990-06-11,80.41,NA,NA,NA
1990-06-12,81.4,NA,NA,NA
1990-06-13,81.37,NA,NA,NA
1990-06-14,81.28,NA,NA,NA
1990-06-15,81.26,NA,NA,NA
1990-06-16,NA,NA,NA,NA
1990-06-17,NA,NA,NA,NA
1990-06-18,79.86,NA,NA,NA
1990-06-19,80.3,NA,NA,NA
1990-06-20,80.45,NA,NA,NA
1990-06-21,80.7,NA,NA,NA
1990-06-22,79.64,NA,NA,NA
1990-06-23,NA,NA,NA,NA
1990-06-24,NA,NA,NA,NA
1990-06-25,78.88,NA,NA,NA
1990-06-26,78.43,NA,NA,NA
1990-06-27,78.98,NA,NA,NA
1990-06-28,79.29,NA,NA,NA
1990-06-29,79.49,NA,NA,NA
