"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,65.19,NA,NA,NA
1990-02-01,64.95,NA,NA,NA
1990-02-02,65.26,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,66.01,NA,NA,NA
1990-02-06,66.31,NA,NA,NA
1990-02-07,67.83,NA,NA,NA
1990-02-08,67.74,NA,NA,NA
1990-02-09,67.74,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,66.79,NA,NA,NA
1990-02-13,67.58,NA,NA,NA
1990-02-14,67.93,NA,NA,NA
1990-02-15,68.04,NA,NA,NA
1990-02-16,67.08,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,66.21,NA,NA,NA
1990-02-21,66.69,NA,NA,NA
1990-02-22,66.01,NA,NA,NA
1990-02-23,65.52,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,66.58,NA,NA,NA
1990-02-27,66.76,NA,NA,NA
1990-02-28,67.54,NA,NA,NA
1990-03-01,67.38,NA,NA,NA
1990-03-02,68.34,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,68.27,NA,NA,NA
1990-03-06,68.94,NA,NA,NA
1990-03-07,69.16,NA,NA,NA
1990-03-08,70.35,NA,NA,NA
1990-03-09,70.12,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,70.47,NA,NA,NA
1990-03-13,70.03,NA,NA,NA
1990-03-14,69.98,NA,NA,NA
1990-03-15,70.48,NA,NA,NA
1990-03-16,71.94,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,73.23,NA,NA,NA
1990-03-20,72.48,NA,NA,NA
1990-03-21,71.89,NA,NA,NA
1990-03-22,70.88,NA,NA,NA
1990-03-23,70.7,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,70.52,NA,NA,NA
1990-03-27,70.87,NA,NA,NA
1990-03-28,70.48,NA,NA,NA
1990-03-29,70.44,NA,NA,NA
1990-03-30,70.06,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,70.04,NA,NA,NA
1990-04-03,71.05,NA,NA,NA
1990-04-04,70.66,NA,NA,NA
1990-04-05,69.94,NA,NA,NA
1990-04-06,69.28,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,69.19,NA,NA,NA
1990-04-10,70.08,NA,NA,NA
1990-04-11,70.6,NA,NA,NA
1990-04-12,70.76,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,71.68,NA,NA,NA
1990-04-17,71.38,NA,NA,NA
1990-04-18,70.27,NA,NA,NA
1990-04-19,69.85,NA,NA,NA
1990-04-20,69.74,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,69.28,NA,NA,NA
1990-04-24,69,NA,NA,NA
1990-04-25,69.48,NA,NA,NA
1990-04-26,69.45,NA,NA,NA
1990-04-27,68.48,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,69.42,NA,NA,NA
1990-05-01,69.25,NA,NA,NA
1990-05-02,70.04,NA,NA,NA
1990-05-03,70.45,NA,NA,NA
1990-05-04,71.31,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,71.89,NA,NA,NA
1990-05-08,72.06,NA,NA,NA
1990-05-09,72.21,NA,NA,NA
1990-05-10,72.84,NA,NA,NA
1990-05-11,74.13,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,74.53,NA,NA,NA
1990-05-15,74.94,NA,NA,NA
1990-05-16,74.69,NA,NA,NA
1990-05-17,74.97,NA,NA,NA
1990-05-18,74.81,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,75.83,NA,NA,NA
1990-05-22,76.3,NA,NA,NA
1990-05-23,77.41,NA,NA,NA
1990-05-24,77.67,NA,NA,NA
1990-05-25,76.27,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,78.1,NA,NA,NA
1990-05-30,78.21,NA,NA,NA
1990-05-31,78.06,NA,NA,NA
1990-06-01,77.76,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,78.67,NA,NA,NA
1990-06-05,78.38,NA,NA,NA
1990-06-06,78.41,NA,NA,NA
