"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,72.01,NA,NA,NA
1990-02-01,71.72,NA,NA,NA
1990-02-02,72.02,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,72.2,NA,NA,NA
1990-02-06,71.75,NA,NA,NA
1990-02-07,72.34,NA,NA,NA
1990-02-08,72,NA,NA,NA
1990-02-09,72.39,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,71.62,NA,NA,NA
1990-02-13,71.63,NA,NA,NA
1990-02-14,71.92,NA,NA,NA
1990-02-15,72.18,NA,NA,NA
1990-02-16,72.35,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,71.49,NA,NA,NA
1990-02-21,71.15,NA,NA,NA
1990-02-22,71.12,NA,NA,NA
1990-02-23,70.9,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,71.55,NA,NA,NA
1990-02-27,71.77,NA,NA,NA
1990-02-28,72.44,NA,NA,NA
1990-03-01,73.03,NA,NA,NA
1990-03-02,73.64,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,73.23,NA,NA,NA
1990-03-06,74.07,NA,NA,NA
1990-03-07,73.66,NA,NA,NA
1990-03-08,74.53,NA,NA,NA
1990-03-09,73.88,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,74.27,NA,NA,NA
1990-03-13,73.45,NA,NA,NA
1990-03-14,73.49,NA,NA,NA
1990-03-15,74.01,NA,NA,NA
1990-03-16,75.05,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,75.5,NA,NA,NA
