"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,86.98,NA,NA,NA
1990-02-01,86.85,NA,NA,NA
1990-02-02,87.59,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,88.13,NA,NA,NA
1990-02-06,86.78,NA,NA,NA
1990-02-07,87.15,NA,NA,NA
1990-02-08,86.43,NA,NA,NA
1990-02-09,86.4,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,85.54,NA,NA,NA
1990-02-13,85.74,NA,NA,NA
1990-02-14,86.22,NA,NA,NA
1990-02-15,86.87,NA,NA,NA
1990-02-16,85.65,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,83.67,NA,NA,NA
1990-02-21,83.28,NA,NA,NA
1990-02-22,83.45,NA,NA,NA
1990-02-23,83.37,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,84.87,NA,NA,NA
1990-02-27,85.8,NA,NA,NA
1990-02-28,86.51,NA,NA,NA
1990-03-01,87.15,NA,NA,NA
1990-03-02,88.13,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,87.77,NA,NA,NA
1990-03-06,89,NA,NA,NA
1990-03-07,88.24,NA,NA,NA
1990-03-08,89.36,NA,NA,NA
1990-03-09,88.73,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,89.1,NA,NA,NA
1990-03-13,88.46,NA,NA,NA
1990-03-14,87.93,NA,NA,NA
1990-03-15,88.32,NA,NA,NA
1990-03-16,89.68,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,90.14,NA,NA,NA
1990-03-20,89.61,NA,NA,NA
1990-03-21,89.24,NA,NA,NA
1990-03-22,88.4,NA,NA,NA
1990-03-23,89.07,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,89.07,NA,NA,NA
1990-03-27,90.66,NA,NA,NA
1990-03-28,91.34,NA,NA,NA
1990-03-29,91.09,NA,NA,NA
1990-03-30,90.85,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,90.51,NA,NA,NA
1990-04-03,91.88,NA,NA,NA
1990-04-04,90.74,NA,NA,NA
1990-04-05,91.05,NA,NA,NA
1990-04-06,91.02,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,91.39,NA,NA,NA
1990-04-10,91.61,NA,NA,NA
1990-04-11,91.58,NA,NA,NA
1990-04-12,92,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,92.29,NA,NA,NA
1990-04-17,92.1,NA,NA,NA
1990-04-18,90.35,NA,NA,NA
1990-04-19,89.63,NA,NA,NA
1990-04-20,88.57,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,87.45,NA,NA,NA
1990-04-24,87.08,NA,NA,NA
1990-04-25,87.59,NA,NA,NA
1990-04-26,87.84,NA,NA,NA
1990-04-27,86.88,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
1990-04-30,87.53,NA,NA,NA
1990-05-01,87.98,NA,NA,NA
1990-05-02,88.01,NA,NA,NA
1990-05-03,88.36,NA,NA,NA
1990-05-04,89.38,NA,NA,NA
1990-05-05,NA,NA,NA,NA
1990-05-06,NA,NA,NA,NA
1990-05-07,89.68,NA,NA,NA
1990-05-08,90.33,NA,NA,NA
1990-05-09,90.77,NA,NA,NA
1990-05-10,91.07,NA,NA,NA
1990-05-11,93.66,NA,NA,NA
1990-05-12,NA,NA,NA,NA
1990-05-13,NA,NA,NA,NA
1990-05-14,94.82,NA,NA,NA
1990-05-15,94.03,NA,NA,NA
1990-05-16,94.69,NA,NA,NA
1990-05-17,94.66,NA,NA,NA
1990-05-18,94.91,NA,NA,NA
1990-05-19,NA,NA,NA,NA
1990-05-20,NA,NA,NA,NA
1990-05-21,95.32,NA,NA,NA
1990-05-22,94.98,NA,NA,NA
1990-05-23,95.07,NA,NA,NA
1990-05-24,94.23,NA,NA,NA
1990-05-25,92.84,NA,NA,NA
1990-05-26,NA,NA,NA,NA
1990-05-27,NA,NA,NA,NA
1990-05-29,94.65,NA,NA,NA
1990-05-30,94.89,NA,NA,NA
1990-05-31,95.02,NA,NA,NA
1990-06-01,95.34,NA,NA,NA
1990-06-02,NA,NA,NA,NA
1990-06-03,NA,NA,NA,NA
1990-06-04,96,NA,NA,NA
1990-06-05,95.57,NA,NA,NA
1990-06-06,95.19,NA,NA,NA
1990-06-07,94.51,NA,NA,NA
1990-06-08,93.35,NA,NA,NA
1990-06-09,NA,NA,NA,NA
1990-06-10,NA,NA,NA,NA
1990-06-11,94.03,NA,NA,NA
1990-06-12,95.05,NA,NA,NA
1990-06-13,94.86,NA,NA,NA
1990-06-14,93.13,NA,NA,NA
1990-06-15,92.87,NA,NA,NA
1990-06-16,NA,NA,NA,NA
1990-06-17,NA,NA,NA,NA
1990-06-18,91.27,NA,NA,NA
1990-06-19,91.58,NA,NA,NA
1990-06-20,92.26,NA,NA,NA
1990-06-21,92.32,NA,NA,NA
1990-06-22,90.05,NA,NA,NA
1990-06-23,NA,NA,NA,NA
1990-06-24,NA,NA,NA,NA
1990-06-25,89,NA,NA,NA
1990-06-26,89.27,NA,NA,NA
1990-06-27,89.17,NA,NA,NA
1990-06-28,88.97,NA,NA,NA
1990-06-29,89.1,NA,NA,NA
1990-06-30,NA,NA,NA,NA
1990-07-01,NA,NA,NA,NA
1990-07-02,89.78,NA,NA,NA
1990-07-03,89.57,NA,NA,NA
1990-07-05,87.77,NA,NA,NA
1990-07-06,88.06,NA,NA,NA
1990-07-07,NA,NA,NA,NA
1990-07-08,NA,NA,NA,NA
1990-07-09,87.98,NA,NA,NA
1990-07-10,86.4,NA,NA,NA
1990-07-11,85.82,NA,NA,NA
1990-07-12,85.79,NA,NA,NA
1990-07-13,86.46,NA,NA,NA
1990-07-14,NA,NA,NA,NA
1990-07-15,NA,NA,NA,NA
1990-07-16,86.63,NA,NA,NA
1990-07-17,84.84,NA,NA,NA
1990-07-18,84.19,NA,NA,NA
1990-07-19,84.94,NA,NA,NA
1990-07-20,84.49,NA,NA,NA
1990-07-21,NA,NA,NA,NA
1990-07-22,NA,NA,NA,NA
1990-07-23,83.58,NA,NA,NA
1990-07-24,83.49,NA,NA,NA
1990-07-25,83.62,NA,NA,NA
1990-07-26,83.62,NA,NA,NA
1990-07-27,83.04,NA,NA,NA
1990-07-28,NA,NA,NA,NA
1990-07-29,NA,NA,NA,NA
1990-07-30,84.16,NA,NA,NA
1990-07-31,85.3,NA,NA,NA
1990-08-01,85.75,NA,NA,NA
1990-08-02,85.11,NA,NA,NA
1990-08-03,83.93,NA,NA,NA
1990-08-04,NA,NA,NA,NA
1990-08-05,NA,NA,NA,NA
1990-08-06,81,NA,NA,NA
1990-08-07,81.24,NA,NA,NA
1990-08-08,82.4,NA,NA,NA
1990-08-09,82.45,NA,NA,NA
1990-08-10,81.35,NA,NA,NA
1990-08-11,NA,NA,NA,NA
1990-08-12,NA,NA,NA,NA
1990-08-13,82.52,NA,NA,NA
1990-08-14,82.39,NA,NA,NA
1990-08-15,83.11,NA,NA,NA
1990-08-16,81.03,NA,NA,NA
1990-08-17,80.18,NA,NA,NA
1990-08-18,NA,NA,NA,NA
1990-08-19,NA,NA,NA,NA
1990-08-20,80.62,NA,NA,NA
1990-08-21,78.92,NA,NA,NA
1990-08-22,77.03,NA,NA,NA
1990-08-23,74.34,NA,NA,NA
1990-08-24,74.66,NA,NA,NA
1990-08-25,NA,NA,NA,NA
1990-08-26,NA,NA,NA,NA
1990-08-27,77.54,NA,NA,NA
1990-08-28,75.91,NA,NA,NA
1990-08-29,77.13,NA,NA,NA
1990-08-30,75.62,NA,NA,NA
1990-08-31,77.28,NA,NA,NA
1990-09-01,NA,NA,NA,NA
1990-09-02,NA,NA,NA,NA
1990-09-04,77.02,NA,NA,NA
1990-09-05,77.15,NA,NA,NA
1990-09-06,75.87,NA,NA,NA
1990-09-07,76.66,NA,NA,NA
1990-09-08,NA,NA,NA,NA
1990-09-09,NA,NA,NA,NA
1990-09-10,75.91,NA,NA,NA
1990-09-11,76.08,NA,NA,NA
1990-09-12,76.65,NA,NA,NA
1990-09-13,76.47,NA,NA,NA
1990-09-14,77.01,NA,NA,NA
1990-09-15,NA,NA,NA,NA
1990-09-16,NA,NA,NA,NA
1990-09-17,77.27,NA,NA,NA
1990-09-18,78.16,NA,NA,NA
1990-09-19,77.91,NA,NA,NA
1990-09-20,77.47,NA,NA,NA
1990-09-21,78.74,NA,NA,NA
1990-09-22,NA,NA,NA,NA
1990-09-23,NA,NA,NA,NA
1990-09-24,77.34,NA,NA,NA
1990-09-25,78.94,NA,NA,NA
1990-09-26,78.81,NA,NA,NA
1990-09-27,78.54,NA,NA,NA
1990-09-28,79.98,NA,NA,NA
1990-09-29,NA,NA,NA,NA
1990-09-30,NA,NA,NA,NA
1990-10-01,83.09,NA,NA,NA
1990-10-02,82.96,NA,NA,NA
1990-10-03,80.93,NA,NA,NA
1990-10-04,81.63,NA,NA,NA
1990-10-05,81.43,NA,NA,NA
1990-10-06,NA,NA,NA,NA
1990-10-07,NA,NA,NA,NA
1990-10-08,82.74,NA,NA,NA
1990-10-09,81.32,NA,NA,NA
1990-10-10,79.59,NA,NA,NA
1990-10-11,79.19,NA,NA,NA
1990-10-12,81.36,NA,NA,NA
1990-10-13,NA,NA,NA,NA
1990-10-14,NA,NA,NA,NA
1990-10-15,83.08,NA,NA,NA
1990-10-16,81.35,NA,NA,NA
1990-10-17,80.73,NA,NA,NA
1990-10-18,81.71,NA,NA,NA
1990-10-19,83.22,NA,NA,NA
1990-10-20,NA,NA,NA,NA
1990-10-21,NA,NA,NA,NA
1990-10-22,83.68,NA,NA,NA
1990-10-23,82.89,NA,NA,NA
1990-10-24,83.17,NA,NA,NA
1990-10-25,82.86,NA,NA,NA
1990-10-26,82.01,NA,NA,NA
1990-10-27,NA,NA,NA,NA
1990-10-28,NA,NA,NA,NA
1990-10-29,81.43,NA,NA,NA
1990-10-30,82.45,NA,NA,NA
1990-10-31,83.47,NA,NA,NA
1990-11-01,84.68,NA,NA,NA
1990-11-02,85.45,NA,NA,NA
1990-11-03,NA,NA,NA,NA
1990-11-04,NA,NA,NA,NA
1990-11-05,85.45,NA,NA,NA
1990-11-06,84.5,NA,NA,NA
1990-11-07,82.9,NA,NA,NA
1990-11-08,83.15,NA,NA,NA
1990-11-09,84.22,NA,NA,NA
1990-11-10,NA,NA,NA,NA
1990-11-11,NA,NA,NA,NA
1990-11-12,85.46,NA,NA,NA
1990-11-13,83.74,NA,NA,NA
1990-11-14,84.29,NA,NA,NA
1990-11-15,83.21,NA,NA,NA
1990-11-16,81.84,NA,NA,NA
1990-11-17,NA,NA,NA,NA
1990-11-18,NA,NA,NA,NA
1990-11-19,82,NA,NA,NA
1990-11-20,81.22,NA,NA,NA
1990-11-21,81.88,NA,NA,NA
1990-11-23,81.4,NA,NA,NA
1990-11-24,NA,NA,NA,NA
1990-11-25,NA,NA,NA,NA
1990-11-26,81.25,NA,NA,NA
1990-11-27,81.52,NA,NA,NA
1990-11-28,81.53,NA,NA,NA
1990-11-29,81.15,NA,NA,NA
1990-11-30,82.53,NA,NA,NA
1990-12-01,NA,NA,NA,NA
1990-12-02,NA,NA,NA,NA
1990-12-03,81.72,NA,NA,NA
1990-12-04,82.16,NA,NA,NA
1990-12-05,82.34,NA,NA,NA
1990-12-06,82.16,NA,NA,NA
1990-12-07,82.39,NA,NA,NA
1990-12-08,NA,NA,NA,NA
1990-12-09,NA,NA,NA,NA
1990-12-10,82.94,NA,NA,NA
1990-12-11,82.28,NA,NA,NA
1990-12-12,83.68,NA,NA,NA
1990-12-13,83.85,NA,NA,NA
1990-12-14,83.22,NA,NA,NA
1990-12-15,NA,NA,NA,NA
1990-12-16,NA,NA,NA,NA
1990-12-17,83.01,NA,NA,NA
1990-12-18,84.21,NA,NA,NA
1990-12-19,84.02,NA,NA,NA
1990-12-20,83.21,NA,NA,NA
1990-12-21,83.85,NA,NA,NA
1990-12-22,NA,NA,NA,NA
1990-12-23,NA,NA,NA,NA
1990-12-24,82.8,NA,NA,NA
1990-12-26,82.81,NA,NA,NA
1990-12-27,82.1,NA,NA,NA
1990-12-28,81.97,NA,NA,NA
1990-12-29,NA,NA,NA,NA
1990-12-30,NA,NA,NA,NA
1990-12-31,82.24,NA,NA,NA
1991-01-02,81.32,NA,NA,NA
1991-01-03,80.48,NA,NA,NA
1991-01-04,80.18,NA,NA,NA
1991-01-05,NA,NA,NA,NA
1991-01-06,NA,NA,NA,NA
1991-01-07,78.47,NA,NA,NA
1991-01-08,78.4,NA,NA,NA
1991-01-09,77.49,NA,NA,NA
1991-01-10,78.39,NA,NA,NA
1991-01-11,78.63,NA,NA,NA
1991-01-12,NA,NA,NA,NA
1991-01-13,NA,NA,NA,NA
1991-01-14,77.48,NA,NA,NA
1991-01-15,77.47,NA,NA,NA
1991-01-16,77.29,NA,NA,NA
1991-01-17,81.02,NA,NA,NA
1991-01-18,82.39,NA,NA,NA
1991-01-19,NA,NA,NA,NA
1991-01-20,NA,NA,NA,NA
1991-01-21,82.28,NA,NA,NA
1991-01-22,79.53,NA,NA,NA
1991-01-23,77.42,NA,NA,NA
1991-01-24,78.23,NA,NA,NA
1991-01-25,79.08,NA,NA,NA
1991-01-26,NA,NA,NA,NA
1991-01-27,NA,NA,NA,NA
1991-01-28,79.42,NA,NA,NA
1991-01-29,79.48,NA,NA,NA
1991-01-30,79.96,NA,NA,NA
1991-01-31,81.24,NA,NA,NA
1991-02-01,80.45,NA,NA,NA
1991-02-02,NA,NA,NA,NA
1991-02-03,NA,NA,NA,NA
1991-02-04,81.2,NA,NA,NA
1991-02-05,81.49,NA,NA,NA
1991-02-06,83.21,NA,NA,NA
1991-02-07,83.58,NA,NA,NA
1991-02-08,84.22,NA,NA,NA
1991-02-09,NA,NA,NA,NA
1991-02-10,NA,NA,NA,NA
1991-02-11,86.07,NA,NA,NA
1991-02-12,84.91,NA,NA,NA
1991-02-13,85.77,NA,NA,NA
1991-02-14,84.77,NA,NA,NA
1991-02-15,85.9,NA,NA,NA
1991-02-16,NA,NA,NA,NA
1991-02-17,NA,NA,NA,NA
1991-02-19,85.53,NA,NA,NA
1991-02-20,84.04,NA,NA,NA
1991-02-21,83.6,NA,NA,NA
1991-02-22,83.34,NA,NA,NA
1991-02-23,NA,NA,NA,NA
1991-02-24,NA,NA,NA,NA
1991-02-25,83.4,NA,NA,NA
1991-02-26,82.73,NA,NA,NA
1991-02-27,83.58,NA,NA,NA
1991-02-28,83.13,NA,NA,NA
1991-03-01,83.63,NA,NA,NA
1991-03-02,NA,NA,NA,NA
1991-03-03,NA,NA,NA,NA
1991-03-04,82.97,NA,NA,NA
1991-03-05,83.94,NA,NA,NA
1991-03-06,83.75,NA,NA,NA
1991-03-07,83.21,NA,NA,NA
1991-03-08,83.09,NA,NA,NA
1991-03-09,NA,NA,NA,NA
1991-03-10,NA,NA,NA,NA
1991-03-11,83.41,NA,NA,NA
1991-03-12,82.74,NA,NA,NA
1991-03-13,83.66,NA,NA,NA
1991-03-14,83.39,NA,NA,NA
1991-03-15,84.12,NA,NA,NA
1991-03-16,NA,NA,NA,NA
1991-03-17,NA,NA,NA,NA
1991-03-18,84.77,NA,NA,NA
1991-03-19,83.78,NA,NA,NA
1991-03-20,83.84,NA,NA,NA
1991-03-21,83.78,NA,NA,NA
1991-03-22,83.3,NA,NA,NA
1991-03-23,NA,NA,NA,NA
1991-03-24,NA,NA,NA,NA
1991-03-25,83.78,NA,NA,NA
1991-03-26,84.55,NA,NA,NA
1991-03-27,84.1,NA,NA,NA
1991-03-28,84.53,NA,NA,NA
1991-03-30,NA,NA,NA,NA
1991-03-31,NA,NA,NA,NA
1991-04-01,83.82,NA,NA,NA
1991-04-02,85.47,NA,NA,NA
1991-04-03,85.07,NA,NA,NA
1991-04-04,84.26,NA,NA,NA
1991-04-05,83.3,NA,NA,NA
1991-04-06,NA,NA,NA,NA
1991-04-07,NA,NA,NA,NA
1991-04-08,84.09,NA,NA,NA
1991-04-09,83.29,NA,NA,NA
1991-04-10,82.8,NA,NA,NA
1991-04-11,83.31,NA,NA,NA
1991-04-12,84.25,NA,NA,NA
1991-04-13,NA,NA,NA,NA
1991-04-14,NA,NA,NA,NA
1991-04-15,84.25,NA,NA,NA
1991-04-16,85.38,NA,NA,NA
1991-04-17,86.07,NA,NA,NA
1991-04-18,85.23,NA,NA,NA
1991-04-19,84.74,NA,NA,NA
1991-04-20,NA,NA,NA,NA
1991-04-21,NA,NA,NA,NA
1991-04-22,84.43,NA,NA,NA
1991-04-23,84.07,NA,NA,NA
1991-04-24,84.43,NA,NA,NA
1991-04-25,84.12,NA,NA,NA
1991-04-26,84.36,NA,NA,NA
1991-04-27,NA,NA,NA,NA
1991-04-28,NA,NA,NA,NA
1991-04-29,83.33,NA,NA,NA
1991-04-30,84.26,NA,NA,NA
1991-05-01,84.87,NA,NA,NA
1991-05-02,84.04,NA,NA,NA
1991-05-03,84.06,NA,NA,NA
