"date","PX_LAST","PUT_CALL_OPEN_INTEREST_RATIO","EQY_INST_PCT_SH_OUT","PX_VOLUME"
1990-01-31,98.43,NA,NA,NA
1990-02-01,98.31,NA,NA,NA
1990-02-02,98.63,NA,NA,NA
1990-02-03,NA,NA,NA,NA
1990-02-04,NA,NA,NA,NA
1990-02-05,98.43,NA,NA,NA
1990-02-06,98.1,NA,NA,NA
1990-02-07,98.77,NA,NA,NA
1990-02-08,98.5,NA,NA,NA
1990-02-09,99.05,NA,NA,NA
1990-02-10,NA,NA,NA,NA
1990-02-11,NA,NA,NA,NA
1990-02-12,98.1,NA,NA,NA
1990-02-13,98.57,NA,NA,NA
1990-02-14,98.76,NA,NA,NA
1990-02-15,98.92,NA,NA,NA
1990-02-16,98.33,NA,NA,NA
1990-02-17,NA,NA,NA,NA
1990-02-18,NA,NA,NA,NA
1990-02-20,97.21,NA,NA,NA
1990-02-21,96.98,NA,NA,NA
1990-02-22,96.21,NA,NA,NA
1990-02-23,96.12,NA,NA,NA
1990-02-24,NA,NA,NA,NA
1990-02-25,NA,NA,NA,NA
1990-02-26,96.9,NA,NA,NA
1990-02-27,96.88,NA,NA,NA
1990-02-28,97.43,NA,NA,NA
1990-03-01,97.13,NA,NA,NA
1990-03-02,97.52,NA,NA,NA
1990-03-03,NA,NA,NA,NA
1990-03-04,NA,NA,NA,NA
1990-03-05,96.85,NA,NA,NA
1990-03-06,97.73,NA,NA,NA
1990-03-07,96.93,NA,NA,NA
1990-03-08,97.4,NA,NA,NA
1990-03-09,96.56,NA,NA,NA
1990-03-10,NA,NA,NA,NA
1990-03-11,NA,NA,NA,NA
1990-03-12,96.64,NA,NA,NA
1990-03-13,95.89,NA,NA,NA
1990-03-14,96.05,NA,NA,NA
1990-03-15,96.25,NA,NA,NA
1990-03-16,96.57,NA,NA,NA
1990-03-17,NA,NA,NA,NA
1990-03-18,NA,NA,NA,NA
1990-03-19,96.32,NA,NA,NA
1990-03-20,96.03,NA,NA,NA
1990-03-21,95.88,NA,NA,NA
1990-03-22,94.86,NA,NA,NA
1990-03-23,94.95,NA,NA,NA
1990-03-24,NA,NA,NA,NA
1990-03-25,NA,NA,NA,NA
1990-03-26,94.9,NA,NA,NA
1990-03-27,95.69,NA,NA,NA
1990-03-28,95.77,NA,NA,NA
1990-03-29,95.6,NA,NA,NA
1990-03-30,95.7,NA,NA,NA
1990-03-31,NA,NA,NA,NA
1990-04-01,NA,NA,NA,NA
1990-04-02,95.33,NA,NA,NA
1990-04-03,96.09,NA,NA,NA
1990-04-04,95.58,NA,NA,NA
1990-04-05,95.14,NA,NA,NA
1990-04-06,95.05,NA,NA,NA
1990-04-07,NA,NA,NA,NA
1990-04-08,NA,NA,NA,NA
1990-04-09,95.06,NA,NA,NA
1990-04-10,94.61,NA,NA,NA
1990-04-11,94.65,NA,NA,NA
1990-04-12,94.78,NA,NA,NA
1990-04-14,NA,NA,NA,NA
1990-04-15,NA,NA,NA,NA
1990-04-16,94.86,NA,NA,NA
1990-04-17,94.72,NA,NA,NA
1990-04-18,93.95,NA,NA,NA
1990-04-19,93.52,NA,NA,NA
1990-04-20,92.29,NA,NA,NA
1990-04-21,NA,NA,NA,NA
1990-04-22,NA,NA,NA,NA
1990-04-23,91.41,NA,NA,NA
1990-04-24,91.46,NA,NA,NA
1990-04-25,91.64,NA,NA,NA
1990-04-26,91.45,NA,NA,NA
1990-04-27,90.39,NA,NA,NA
1990-04-28,NA,NA,NA,NA
1990-04-29,NA,NA,NA,NA
