"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31","  66.4561"," 12.5129"," 1.6995","0.4740"," 4.68","0","45.52","7.9917"
"1990-02-01","  66.2357"," 12.4623"," 1.6945","0.4727"," 4.70","0","45.52","8.0242"
"1990-02-02","  66.7813"," 12.5617"," 1.7092","0.4768"," 4.66","0","45.52","7.9607"
"1990-02-05","  66.9758"," 12.4037"," 1.7094","0.4739"," 4.50","0","45.47","8.0621"
"1990-02-06","  66.4760"," 12.3047"," 1.6956","0.4700"," 4.54","0","45.47","8.1270"
"1990-02-07","  67.6813"," 12.5479"," 1.7287","0.4792"," 4.45","0","45.47","7.9695"
"1990-02-08","  67.3300"," 12.4733"," 1.7194","0.4766"," 4.48","0","45.47","8.0171"
"1990-02-09","  67.5895"," 12.5231"," 1.7251","0.4782"," 4.46","0","45.47","7.9853"
"1990-02-12","  66.9609"," 12.4078"," 1.7076","0.4733"," 4.51","0","45.47","8.0595"
"1990-02-13","  67.1019"," 12.4364"," 1.7116","0.4744"," 4.50","0","45.47","8.0409"
"1990-02-14","  67.3398"," 12.4701"," 1.7173","0.4760"," 4.48","0","45.47","8.0192"
"1990-02-15","  67.8267"," 12.5762"," 1.7317","0.4800"," 4.45","0","45.47","7.9515"
"1990-02-16","  67.1548"," 12.4360"," 1.7128","0.4748"," 4.49","0","45.47","8.0411"
"1990-02-20","  66.1481"," 12.2367"," 1.6856","0.4673"," 4.57","0","45.46","8.1721"
"1990-02-21","  66.3427"," 12.2867"," 1.6915","0.4689"," 4.55","0","45.46","8.1389"
"1990-02-22","  65.9456"," 12.2168"," 1.6815","0.4661"," 4.58","0","45.46","8.1855"
"1990-02-23","  65.5840"," 12.1540"," 1.6732","0.4638"," 4.60","0","45.46","8.2277"
"1990-02-26","  66.7277"," 12.4669"," 1.7046","0.4712"," 4.60","0","45.52","8.0212"
"1990-02-27","  67.2980"," 12.5781"," 1.7204","0.4756"," 4.56","0","45.52","7.9503"
"1990-02-28","  67.6765"," 13.3416"," 1.8114","0.5010"," 4.32","0","45.53","7.4954"
"1990-03-01","  67.8934"," 13.3911"," 1.8171","0.5026"," 4.31","0","45.53","7.4677"
"1990-03-02","  68.7587"," 13.5837"," 1.8405","0.5091"," 4.25","0","45.53","7.3617"
"1990-03-05","  68.6530"," 13.5595"," 1.8363","0.5080"," 4.26","0","45.53","7.3749"
"1990-03-06","  69.5847"," 13.8023"," 1.8605","0.5146"," 4.20","0","45.53","7.2452"
"1990-03-07","  69.2601"," 13.7302"," 1.8510","0.5120"," 4.23","0","45.53","7.2832"
"1990-03-08","  70.2483"," 13.9271"," 1.8777","0.5194"," 4.17","0","45.53","7.1802"
"1990-03-09","  70.0566"," 13.8929"," 1.8727","0.5180"," 4.18","0","45.53","7.1979"
"1990-03-12","  70.2957"," 13.9617"," 1.8809","0.5203"," 4.16","0","45.53","7.1624"
"1990-03-13","  70.0498"," 13.9202"," 1.8750","0.5186"," 4.17","0","45.53","7.1838"
"1990-03-14","  70.2556"," 13.9566"," 1.8808","0.5202"," 4.16","0","45.53","7.1651"
"1990-03-15","  70.3604"," 13.9957"," 1.8852","0.5215"," 4.15","0","45.53","7.1451"
"1990-03-16","  70.9603"," 14.1289"," 1.9029","0.5264"," 4.11","0","45.53","7.0777"
"1990-03-19","  71.0947"," 14.1623"," 1.9070","0.5275"," 4.10","0","45.53","7.0610"
"1990-03-20","  70.7144"," 14.0869"," 1.8967","0.5246"," 4.12","0","45.53","7.0988"
"1990-03-21","  70.3030"," 13.9865"," 1.8844","0.5212"," 4.15","0","45.53","7.1497"
"1990-03-22","  69.3108"," 13.7934"," 1.8583","0.5140"," 4.21","0","45.53","7.2498"
"1990-03-23","  69.5244"," 13.8465"," 1.8641","0.5156"," 4.20","0","45.53","7.2220"
"1990-03-26","  69.8731"," 13.9154"," 1.8736","0.5182"," 4.18","0","45.53","7.1863"
"1990-03-27","  70.6434"," 14.0696"," 1.8940","0.5239"," 4.13","0","45.53","7.1075"
"1990-03-28","  70.5211"," 14.0601"," 1.8927","0.5235"," 4.13","0","45.53","7.1123"
"1990-03-29","  69.9908"," 13.9453"," 1.8778","0.5194"," 4.17","0","45.53","7.1709"
"1990-03-30","  69.6771"," 13.8047"," 1.8415","0.5074"," 4.26","0","45.65","7.2439"
"1990-04-02","  69.3711"," 13.7644"," 1.8286","0.5047"," 4.27","0","46.89","7.2651"
"1990-04-03","  70.3923"," 13.9635"," 1.8561","0.5122"," 4.21","0","46.89","7.1615"
"1990-04-04","  70.0246"," 13.8825"," 1.8462","0.5096"," 4.23","0","46.89","7.2033"
"1990-04-05","  70.0472"," 13.8872"," 1.8469","0.5098"," 4.23","0","46.89","7.2009"
"1990-04-06","  69.8823"," 13.8566"," 1.8425","0.5086"," 4.24","0","46.89","7.2168"
"1990-04-09","  70.1069"," 13.9098"," 1.8493","0.5104"," 4.23","0","46.89","7.1892"
"1990-04-10","  70.1464"," 13.9140"," 1.8488","0.5103"," 4.23","0","46.89","7.1870"
"1990-04-11","  70.3810"," 13.9678"," 1.8558","0.5122"," 4.21","0","46.89","7.1593"
"1990-04-12","  70.9511"," 14.0651"," 1.8702","0.5162"," 4.18","0","46.89","7.1098"
