"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 88.24"," 15.2622","1.8448","0.6968"," 2.64","0","23.48"," 6.5521"
"1990-02-01"," 88.23"," 15.2547","1.8440","0.6965"," 2.64","0","23.48"," 6.5554"
"1990-02-02"," 88.89"," 15.3677","1.8575","0.7016"," 2.62","0","23.48"," 6.5071"
"1990-02-05"," 89.11"," 15.4095","1.8625","0.7035"," 2.61","0","23.48"," 6.4895"
"1990-02-06"," 88.55"," 15.3051","1.8498","0.6987"," 2.63","0","23.48"," 6.5338"
"1990-02-07"," 90.14"," 15.5817","1.8832","0.7113"," 2.59","0","23.48"," 6.4178"
"1990-02-08"," 90.84"," 15.7072","1.8983","0.7170"," 2.57","0","23.48"," 6.3665"
"1990-02-09"," 90.92"," 15.7150","1.8994","0.7174"," 2.56","0","23.48"," 6.3634"
"1990-02-12"," 89.86"," 15.5311","1.8772","0.7090"," 2.59","0","23.48"," 6.4387"
"1990-02-13"," 90.35"," 15.6157","1.8875","0.7129"," 2.58","0","23.48"," 6.4038"
"1990-02-14"," 90.28"," 15.6037","1.8860","0.7124"," 2.58","0","23.48"," 6.4087"
"1990-02-15"," 91.90"," 15.8967","1.9211","0.7256"," 2.53","0","23.48"," 6.2906"
"1990-02-16"," 91.63"," 15.8479","1.9153","0.7234"," 2.54","0","23.48"," 6.3100"
"1990-02-20"," 90.77"," 15.6987","1.8972","0.7166"," 2.57","0","23.48"," 6.3700"
"1990-02-21"," 90.91"," 15.7280","1.9009","0.7180"," 2.56","0","23.48"," 6.3581"
"1990-02-22"," 89.51"," 15.4749","1.8705","0.7065"," 2.60","0","23.48"," 6.4621"
"1990-02-23"," 88.96"," 15.3671","1.8571","0.7015"," 2.62","0","23.48"," 6.5074"
"1990-02-26"," 90.33"," 15.6127","1.8867","0.7126"," 2.58","0","23.48"," 6.4050"
"1990-02-27"," 90.13"," 15.5710","1.8817","0.7107"," 2.59","0","23.48"," 6.4222"
"1990-02-28"," 89.81"," 15.5398","1.8736","0.7070"," 2.60","0","23.57"," 6.4351"
"1990-03-01"," 89.73"," 15.5211","1.8712","0.7061"," 2.60","0","23.57"," 6.4428"
"1990-03-02"," 90.30"," 15.6086","1.8818","0.7101"," 2.59","0","23.57"," 6.4067"
"1990-03-05"," 89.63"," 15.4903","1.8676","0.7048"," 2.61","0","23.57"," 6.4557"
"1990-03-06"," 90.87"," 15.7111","1.8943","0.7148"," 2.57","0","23.57"," 6.3649"
"1990-03-07"," 90.73"," 15.7069","1.8936","0.7146"," 2.57","0","23.57"," 6.3666"
"1990-03-08"," 90.85"," 15.7122","1.8945","0.7149"," 2.57","0","23.57"," 6.3645"
"1990-03-09"," 89.74"," 15.5203","1.8714","0.7062"," 2.60","0","23.57"," 6.4432"
"1990-03-12"," 89.78"," 15.5316","1.8729","0.7068"," 2.60","0","23.57"," 6.4385"
"1990-03-13"," 88.90"," 15.3716","1.8537","0.6996"," 2.63","0","23.57"," 6.5055"
"1990-03-14"," 89.60"," 15.5023","1.8695","0.7055"," 2.60","0","23.57"," 6.4506"
"1990-03-15"," 90.03"," 15.5769","1.8785","0.7089"," 2.59","0","23.57"," 6.4198"
"1990-03-16"," 91.14"," 15.7697","1.9016","0.7176"," 2.56","0","23.57"," 6.3413"
"1990-03-19"," 90.97"," 15.7435","1.8981","0.7163"," 2.56","0","23.57"," 6.3518"
"1990-03-20"," 90.10"," 15.5930","1.8800","0.7095"," 2.59","0","23.57"," 6.4131"
"1990-03-21"," 89.41"," 15.4692","1.8652","0.7039"," 2.61","0","23.57"," 6.4645"
"1990-03-22"," 88.67"," 15.3420","1.8499","0.6981"," 2.63","0","23.57"," 6.5181"
"1990-03-23"," 88.88"," 15.3785","1.8544","0.6998"," 2.63","0","23.57"," 6.5026"
"1990-03-26"," 88.81"," 15.3657","1.8529","0.6992"," 2.63","0","23.57"," 6.5080"
"1990-03-27"," 89.69"," 15.5227","1.8718","0.7064"," 2.60","0","23.57"," 6.4422"
"1990-03-28"," 89.97"," 15.5648","1.8770","0.7083"," 2.59","0","23.57"," 6.4248"
"1990-03-29"," 89.92"," 15.5538","1.8757","0.7078"," 2.60","0","23.57"," 6.4293"
"1990-03-30"," 90.07"," 15.5885","1.8785","0.7092"," 2.58","0","23.57"," 6.4150"
"1990-04-02"," 89.97"," 15.9931","1.8583","0.7028"," 2.54","0","22.54"," 6.2527"
"1990-04-03"," 91.46"," 16.2441","1.8875","0.7138"," 2.50","0","22.54"," 6.1561"
"1990-04-04"," 90.21"," 16.0213","1.8619","0.7041"," 2.54","0","22.54"," 6.2417"
"1990-04-05"," 90.01"," 15.9858","1.8579","0.7026"," 2.54","0","22.54"," 6.2556"
"1990-04-06"," 89.83"," 15.9587","1.8549","0.7015"," 2.54","0","22.54"," 6.2662"
"1990-04-09"," 89.59"," 15.9212","1.8506","0.6999"," 2.55","0","22.54"," 6.2809"
"1990-04-10"," 88.80"," 15.7886","1.8350","0.6940"," 2.57","0","22.54"," 6.3337"
"1990-04-11"," 87.45"," 15.5522","1.8073","0.6835"," 2.61","0","22.54"," 6.4299"
"1990-04-12"," 88.23"," 15.6905","1.8235","0.6896"," 2.59","0","22.54"," 6.3733"
"1990-04-16"," 88.43"," 15.7239","1.8274","0.6911"," 2.58","0","22.54"," 6.3597"
"1990-04-17"," 88.79"," 15.7884","1.8348","0.6939"," 2.57","0","22.54"," 6.3338"
"1990-04-18"," 87.93"," 15.6363","1.8173","0.6873"," 2.60","0","22.54"," 6.3954"
"1990-04-19"," 87.96"," 15.6472","1.8184","0.6877"," 2.60","0","22.54"," 6.3909"
"1990-04-20"," 87.80"," 15.6257","1.8156","0.6866"," 2.60","0","22.54"," 6.3997"
"1990-04-23"," 86.59"," 15.4115","1.7906","0.6772"," 2.64","0","22.54"," 6.4887"
"1990-04-24"," 86.51"," 15.3990","1.7894","0.6767"," 2.64","0","22.54"," 6.4939"
"1990-04-25"," 86.94"," 15.4591","1.7964","0.6794"," 2.63","0","22.54"," 6.4687"
"1990-04-26"," 87.03"," 15.4762","1.7983","0.6801"," 2.62","0","22.54"," 6.4615"
"1990-04-27"," 86.27"," 15.3504","1.7836","0.6745"," 2.65","0","22.54"," 6.5145"
"1990-04-30"," 86.62"," 15.4461","1.7914","0.6772"," 2.62","0","22.55"," 6.4741"
"1990-05-01"," 87.01"," 15.5095","1.7991","0.6801"," 2.61","0","22.55"," 6.4477"
"1990-05-02"," 87.81"," 15.6451","1.8147","0.6860"," 2.58","0","22.55"," 6.3918"
"1990-05-03"," 88.32"," 15.7428","1.8260","0.6903"," 2.57","0","22.55"," 6.3521"
"1990-05-04"," 88.96"," 15.8561","1.8392","0.6953"," 2.55","0","22.55"," 6.3067"
"1990-05-07"," 89.18"," 15.9037","1.8447","0.6974"," 2.54","0","22.55"," 6.2878"
"1990-05-08"," 89.23"," 15.9142","1.8460","0.6979"," 2.54","0","22.55"," 6.2837"
"1990-05-09"," 89.41"," 15.9543","1.8507","0.6996"," 2.53","0","22.55"," 6.2679"
"1990-05-10"," 89.72"," 16.0112","1.8573","0.7021"," 2.52","0","22.55"," 6.2456"
"1990-05-11"," 91.88"," 16.4022","1.9027","0.7193"," 2.46","0","22.55"," 6.0967"
"1990-05-14"," 92.70"," 16.5389","1.9185","0.7253"," 2.44","0","22.55"," 6.0463"
"1990-05-15"," 92.27"," 16.4574","1.9091","0.7217"," 2.46","0","22.55"," 6.0763"
"1990-05-16"," 92.20"," 16.4480","1.9078","0.7213"," 2.46","0","22.55"," 6.0798"
"1990-05-17"," 92.34"," 16.4833","1.9119","0.7228"," 2.45","0","22.55"," 6.0668"
"1990-05-18"," 92.24"," 16.4639","1.9097","0.7220"," 2.45","0","22.55"," 6.0739"
"1990-05-21"," 92.67"," 16.5449","1.9191","0.7255"," 2.44","0","22.55"," 6.0441"
"1990-05-22"," 92.24"," 16.4747","1.9108","0.7224"," 2.45","0","22.55"," 6.0699"
"1990-05-23"," 91.71"," 16.3655","1.8982","0.7176"," 2.47","0","22.55"," 6.1104"
"1990-05-24"," 90.67"," 16.1712","1.8756","0.7091"," 2.50","0","22.55"," 6.1838"
"1990-05-25"," 89.60"," 15.9771","1.8530","0.7005"," 2.53","0","22.55"," 6.2589"
"1990-05-29"," 91.46"," 16.3169","1.8923","0.7154"," 2.48","0","22.55"," 6.1286"
"1990-05-30"," 91.97"," 16.4125","1.9033","0.7196"," 2.46","0","22.55"," 6.0929"
"1990-05-31"," 91.94"," 16.4112","1.9033","0.7196"," 2.46","0","22.55"," 6.0934"
"1990-06-01"," 91.64"," 16.3545","1.8967","0.7171"," 2.47","0","22.55"," 6.1145"
"1990-06-04"," 92.36"," 16.4848","1.9117","0.7227"," 2.45","0","22.55"," 6.0662"
"1990-06-05"," 91.48"," 16.3241","1.8929","0.7156"," 2.48","0","22.55"," 6.1259"
"1990-06-06"," 90.38"," 16.1229","1.8694","0.7068"," 2.51","0","22.55"," 6.2024"
"1990-06-07"," 90.08"," 16.0709","1.8637","0.7046"," 2.52","0","22.55"," 6.2224"
"1990-06-08"," 89.40"," 15.9482","1.8494","0.6992"," 2.53","0","22.55"," 6.2703"
"1990-06-11"," 90.44"," 16.1400","1.8716","0.7076"," 2.50","0","22.55"," 6.1958"
"1990-06-12"," 91.65"," 16.3615","1.8971","0.7172"," 2.47","0","22.55"," 6.1119"
"1990-06-13"," 91.13"," 16.2649","1.8861","0.7130"," 2.49","0","22.55"," 6.1482"
"1990-06-14"," 90.77"," 16.2081","1.8792","0.7104"," 2.49","0","22.55"," 6.1698"
"1990-06-15"," 91.21"," 16.2858","1.8880","0.7138"," 2.48","0","22.55"," 6.1403"
"1990-06-18"," 89.73"," 16.0232","1.8577","0.7023"," 2.52","0","22.55"," 6.2409"
"1990-06-19"," 90.27"," 16.1247","1.8692","0.7067"," 2.51","0","22.55"," 6.2017"
"1990-06-20"," 90.79"," 16.2202","1.8803","0.7108"," 2.49","0","22.55"," 6.1651"
"1990-06-21"," 90.89"," 16.2459","1.8835","0.7120"," 2.49","0","22.55"," 6.1554"
"1990-06-22"," 89.51"," 15.9920","1.8541","0.7009"," 2.53","0","22.55"," 6.2531"
"1990-06-25"," 88.97"," 15.8946","1.8428","0.6967"," 2.54","0","22.55"," 6.2914"
"1990-06-26"," 88.86"," 15.8707","1.8400","0.6956"," 2.55","0","22.55"," 6.3009"
"1990-06-27"," 89.66"," 16.0117","1.8562","0.7017"," 2.53","0","22.55"," 6.2455"
"1990-06-28"," 90.00"," 16.0677","1.8628","0.7042"," 2.52","0","22.55"," 6.2237"
"1990-06-29"," 89.83"," 16.0892","1.8591","0.7027"," 2.50","0","22.57"," 6.2153"
"1990-07-02"," 89.66"," 15.2478","1.8305","0.7005"," 2.51","0","22.52"," 6.5583"
"1990-07-03"," 89.46"," 15.2072","1.8257","0.6986"," 2.52","0","22.52"," 6.5758"
"1990-07-05"," 88.58"," 15.0516","1.8069","0.6915"," 2.54","0","22.52"," 6.6438"
"1990-07-06"," 89.06"," 15.1375","1.8172","0.6954"," 2.53","0","22.52"," 6.6061"
"1990-07-09"," 89.07"," 15.1368","1.8173","0.6954"," 2.53","0","22.52"," 6.6064"
"1990-07-10"," 88.47"," 15.0342","1.8050","0.6907"," 2.55","0","22.52"," 6.6515"
"1990-07-11"," 90.59"," 15.4072","1.8498","0.7079"," 2.48","0","22.52"," 6.4905"
"1990-07-12"," 93.70"," 15.9442","1.9142","0.7325"," 2.40","0","22.52"," 6.2719"
"1990-07-13"," 94.18"," 16.0278","1.9243","0.7364"," 2.39","0","22.52"," 6.2392"
"1990-07-16"," 94.22"," 16.0345","1.9251","0.7367"," 2.39","0","22.52"," 6.2366"
"1990-07-17"," 94.18"," 16.0312","1.9247","0.7365"," 2.39","0","22.52"," 6.2378"
"1990-07-18"," 93.66"," 15.9430","1.9140","0.7324"," 2.40","0","22.52"," 6.2723"
"1990-07-19"," 95.88"," 16.3257","1.9594","0.7498"," 2.34","0","22.52"," 6.1253"
"1990-07-20"," 95.06"," 16.1826","1.9424","0.7433"," 2.37","0","22.52"," 6.1795"
"1990-07-23"," 94.12"," 16.0293","1.9238","0.7362"," 2.39","0","22.52"," 6.2386"
"1990-07-24"," 96.79"," 16.4856","1.9785","0.7571"," 2.32","0","22.52"," 6.0659"
"1990-07-25"," 96.20"," 16.3776","1.9659","0.7523"," 2.34","0","22.52"," 6.1059"
"1990-07-26"," 95.08"," 16.1823","1.9426","0.7434"," 2.37","0","22.52"," 6.1796"
"1990-07-27"," 95.24"," 16.2079","1.9457","0.7446"," 2.36","0","22.52"," 6.1698"
"1990-07-30"," 96.82"," 16.4882","1.9792","0.7574"," 2.32","0","22.52"," 6.0649"
"1990-07-31"," 98.24"," 16.7307","2.0087","0.7691"," 2.29","0","22.54"," 5.9770"
"1990-08-01"," 98.64"," 16.8034","2.0178","0.7725"," 2.28","0","22.54"," 5.9512"
"1990-08-02","101.37"," 17.2724","2.0743","0.7942"," 2.22","0","22.54"," 5.7896"
"1990-08-03","100.20"," 17.0610","2.0493","0.7846"," 2.24","0","22.54"," 5.8613"
"1990-08-06","101.48"," 17.2852","2.0768","0.7952"," 2.21","0","22.54"," 5.7853"
"1990-08-07","100.35"," 17.1010","2.0541","0.7865"," 2.24","0","22.54"," 5.8476"
"1990-08-08"," 98.42"," 16.7677","2.0142","0.7712"," 2.28","0","22.54"," 5.9639"
"1990-08-09"," 98.31"," 16.7531","2.0123","0.7704"," 2.28","0","22.54"," 5.9691"
