"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31","  67.78","18.2236"," 4.5441","2.3924"," 2.72","0","18.98"," 5.4874"
"1990-02-01","  68.15","18.3205"," 4.5686","2.4052"," 2.70","0","18.98"," 5.4584"
"1990-02-02","  68.88","18.5199"," 4.6188","2.4317"," 2.67","0","18.98"," 5.3996"
"1990-02-05","  68.78","18.4567"," 4.6105","2.4273"," 2.68","0","18.98"," 5.4181"
"1990-02-06","  68.09","18.2732"," 4.5644","2.4030"," 2.70","0","18.98"," 5.4725"
"1990-02-07","  68.79","18.4767"," 4.6111","2.4276"," 2.68","0","18.98"," 5.4122"
"1990-02-08","  68.54","18.4229"," 4.5953","2.4193"," 2.68","0","18.98"," 5.4280"
"1990-02-09","  68.47","18.3960"," 4.5913","2.4172"," 2.69","0","18.98"," 5.4360"
"1990-02-12","  67.93","18.2661"," 4.5562","2.3987"," 2.71","0","18.98"," 5.4746"
"1990-02-13","  67.93","18.2647"," 4.5557","2.3984"," 2.71","0","18.98"," 5.4751"
"1990-02-14","  68.27","18.3328"," 4.5786","2.4105"," 2.69","0","18.98"," 5.4547"
"1990-02-15","  69.04","18.5556"," 4.6291","2.4371"," 2.67","0","18.98"," 5.3892"
"1990-02-16","  68.22","18.3431"," 4.5737","2.4079"," 2.70","0","18.98"," 5.4516"
"1990-02-20","  67.31","18.0984"," 4.5125","2.3757"," 2.73","0","18.98"," 5.5253"
"1990-02-21","  66.76","17.9302"," 4.4717","2.3542"," 2.76","0","18.98"," 5.5772"
"1990-02-22","  65.80","17.6755"," 4.4072","2.3202"," 2.80","0","18.98"," 5.6576"
"1990-02-23","  64.65","17.3459"," 4.3283","2.2787"," 2.85","0","18.98"," 5.7651"
"1990-02-26","  65.45","17.5673"," 4.3819","2.3070"," 2.82","0","18.98"," 5.6924"
"1990-02-27","  65.80","17.6765"," 4.4070","2.3201"," 2.80","0","18.98"," 5.6572"
"1990-02-28","  65.86","17.6772"," 4.4205","2.3207"," 2.80","0","18.91"," 5.6570"
"1990-03-01","  66.55","17.8374"," 4.4690","2.3462"," 2.77","0","18.91"," 5.6062"
"1990-03-02","  67.19","18.0174"," 4.5144","2.3700"," 2.74","0","18.91"," 5.5502"
"1990-03-05","  66.62","17.8623"," 4.4762","2.3500"," 2.76","0","18.91"," 5.5984"
"1990-03-06","  67.47","18.1149"," 4.5367","2.3817"," 2.73","0","18.91"," 5.5203"
"1990-03-07","  67.27","18.0498"," 4.5206","2.3733"," 2.74","0","18.91"," 5.5402"
"1990-03-08","  67.69","18.1458"," 4.5468","2.3870"," 2.72","0","18.91"," 5.5109"
"1990-03-09","  67.41","18.0775"," 4.5297","2.3781"," 2.73","0","18.91"," 5.5317"
"1990-03-12","  67.33","18.0514"," 4.5236","2.3749"," 2.74","0","18.91"," 5.5397"
"1990-03-13","  66.11","17.7139"," 4.4394","2.3307"," 2.79","0","18.91"," 5.6453"
"1990-03-14","  66.31","17.7770"," 4.4540","2.3383"," 2.78","0","18.91"," 5.6252"
"1990-03-15","  67.06","17.9710"," 4.5037","2.3644"," 2.75","0","18.91"," 5.5645"
"1990-03-16","  67.77","18.1426"," 4.5495","2.3885"," 2.72","0","18.91"," 5.5119"
"1990-03-19","  68.12","18.2108"," 4.5729","2.4008"," 2.71","0","18.91"," 5.4912"
"1990-03-20","  67.61","18.0825"," 4.5363","2.3815"," 2.73","0","18.91"," 5.5302"
"1990-03-21","  67.18","17.9302"," 4.5060","2.3656"," 2.75","0","18.91"," 5.5772"
"1990-03-22","  66.44","17.7398"," 4.4570","2.3399"," 2.78","0","18.91"," 5.6370"
"1990-03-23","  67.01","17.8755"," 4.4960","2.3604"," 2.75","0","18.91"," 5.5943"
"1990-03-26","  67.22","17.9468"," 4.5109","2.3682"," 2.74","0","18.91"," 5.5720"
"1990-03-27","  68.36","18.2887"," 4.5905","2.4100"," 2.70","0","18.91"," 5.4679"
"1990-03-28","  68.60","18.3373"," 4.6057","2.4180"," 2.69","0","18.91"," 5.4534"
"1990-03-29","  68.42","19.1295"," 4.5786","2.3986"," 2.69","0","19.14"," 5.2275"
