"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 72.01"," 9.7144","1.5302","0.6880","3.95","0","28.31","10.2940"
"1990-02-01"," 71.72"," 9.6705","1.5231","0.6851","3.97","0","28.31","10.3408"
"1990-02-02"," 72.02"," 9.7006","1.5297","0.6876","3.96","0","28.31","10.3086"
"1990-02-05"," 72.20"," 9.7307","1.5332","0.6897","3.95","0","28.31","10.2767"
"1990-02-06"," 71.75"," 9.6770","1.5242","0.6856","3.97","0","28.31","10.3338"
"1990-02-07"," 72.34"," 9.7620","1.5384","0.6913","3.93","0","28.31","10.2438"
"1990-02-08"," 72.00"," 9.7189","1.5308","0.6881","3.95","0","28.31","10.2892"
"1990-02-09"," 72.39"," 9.7724","1.5398","0.6919","3.93","0","28.31","10.2329"
"1990-02-12"," 71.62"," 9.6743","1.5239","0.6849","3.97","0","28.31","10.3367"
"1990-02-13"," 71.63"," 9.6719","1.5236","0.6847","3.97","0","28.31","10.3393"
"1990-02-14"," 71.92"," 9.6958","1.5288","0.6867","3.96","0","28.31","10.3138"
"1990-02-15"," 72.18"," 9.7299","1.5362","0.6893","3.94","0","28.31","10.2776"
"1990-02-16"," 72.35"," 9.7440","1.5376","0.6900","3.94","0","28.31","10.2627"
"1990-02-20"," 71.49"," 9.6336","1.5174","0.6821","3.99","0","28.31","10.3803"
"1990-02-21"," 71.15"," 9.5816","1.5100","0.6786","4.01","0","28.31","10.4367"
"1990-02-22"," 71.12"," 9.5885","1.5123","0.6790","4.00","0","28.31","10.4292"
"1990-02-23"," 70.90"," 9.5621","1.5087","0.6770","4.01","0","28.31","10.4579"
"1990-02-26"," 71.55"," 9.6434","1.5234","0.6830","3.97","0","28.31","10.3698"
"1990-02-27"," 71.77"," 9.6741","1.5282","0.6850","3.96","0","28.31","10.3369"
"1990-02-28"," 72.44"," 9.7597","1.5407","0.6910","3.93","0","28.32","10.2462"
"1990-03-01"," 73.03"," 9.8307","1.5512","0.6959","3.90","0","28.32","10.1722"
"1990-03-02"," 73.64"," 9.9242","1.5674","0.7025","3.86","0","28.32","10.0764"
"1990-03-05"," 73.23"," 9.8666","1.5582","0.6983","3.88","0","28.32","10.1352"
"1990-03-06"," 74.07"," 9.9823","1.5771","0.7066","3.84","0","28.32","10.0178"
"1990-03-07"," 73.66"," 9.9208","1.5678","0.7020","3.86","0","28.32","10.0798"
"1990-03-08"," 74.53","10.0459","1.5886","0.7110","3.81","0","28.32"," 9.9543"
"1990-03-09"," 73.88"," 9.9447","1.5723","0.7040","3.85","0","28.32","10.0556"
"1990-03-12"," 74.27","10.0032","1.5813","0.7080","3.83","0","28.32"," 9.9968"
"1990-03-13"," 73.45"," 9.8868","1.5621","0.6998","3.87","0","28.32","10.1145"
"1990-03-14"," 73.49"," 9.8767","1.5602","0.6992","3.88","0","28.32","10.1248"
"1990-03-15"," 74.01"," 9.9464","1.5702","0.7039","3.86","0","28.32","10.0539"
"1990-03-16"," 75.05","10.1660","1.6056","0.7179","3.79","0","28.01"," 9.8367"
"1990-03-19"," 75.50","10.2277","1.6152","0.7226","3.77","0","28.01"," 9.7774"
"1990-03-20"," 74.87","10.1374","1.6028","0.7163","3.80","0","28.01"," 9.8645"
"1990-03-21"," 74.40","10.0692","1.5922","0.7115","3.82","0","28.01"," 9.9312"
"1990-03-22"," 73.49"," 9.9436","1.5716","0.7027","3.87","0","28.01","10.0567"
"1990-03-23"," 73.64"," 9.9600","1.5761","0.7040","3.86","0","28.01","10.0402"
"1990-03-26"," 73.35"," 9.9130","1.5713","0.7011","3.87","0","28.02","10.0877"
"1990-03-27"," 73.84"," 9.9726","1.5812","0.7057","3.85","0","28.02","10.0275"
"1990-03-28"," 74.13","10.0168","1.5881","0.7087","3.83","0","28.02"," 9.9832"
"1990-03-29"," 73.96"," 9.9928","1.5841","0.7070","3.84","0","28.02","10.0072"
"1990-03-30"," 73.57"," 9.9427","1.5763","0.7050","3.86","0","28.34","10.0577"
"1990-04-02"," 73.28"," 9.9830","1.5294","0.6968","3.87","0","31.05","10.0170"
"1990-04-03"," 74.14","10.0923","1.5470","0.7044","3.83","0","31.05"," 9.9086"
"1990-04-04"," 73.48","10.0068","1.5328","0.6984","3.86","0","31.05"," 9.9932"
"1990-04-05"," 73.28"," 9.9750","1.5287","0.6962","3.88","0","31.05","10.0250"
"1990-04-06"," 73.26"," 9.9773","1.5270","0.6962","3.88","0","31.05","10.0228"
"1990-04-09"," 73.20"," 9.9722","1.5264","0.6957","3.88","0","31.05","10.0279"
"1990-04-10"," 73.33","10.0023","1.5309","0.6977","3.87","0","31.05"," 9.9977"
"1990-04-11"," 73.21"," 9.9840","1.5288","0.6964","3.87","0","31.05","10.0161"
"1990-04-12"," 73.47","10.0349","1.5358","0.7000","3.85","0","31.05"," 9.9652"
"1990-04-16"," 73.17","10.0031","1.5298","0.6976","3.86","0","31.05"," 9.9969"
"1990-04-17"," 73.08"," 9.9939","1.5278","0.6968","3.87","0","31.05","10.0061"
"1990-04-18"," 72.32"," 9.8928","1.5102","0.6895","3.91","0","31.05","10.1083"
"1990-04-19"," 71.60"," 9.7871","1.4949","0.6823","3.95","0","31.05","10.2175"
"1990-04-20"," 70.58"," 9.6512","1.4747","0.6727","4.01","0","31.05","10.3614"
"1990-04-23"," 69.58"," 9.5118","1.4531","0.6631","4.07","0","31.05","10.5132"
"1990-04-24"," 69.36"," 9.4717","1.4480","0.6603","4.09","0","31.05","10.5577"
"1990-04-25"," 69.80"," 9.5350","1.4594","0.6648","4.05","0","31.05","10.4876"
"1990-04-26"," 70.49"," 9.6275","1.4747","0.6711","4.01","0","31.05","10.3869"
"1990-04-27"," 69.91"," 9.5610","1.4638","0.6664","4.04","0","31.05","10.4592"
"1990-04-30"," 69.91"," 9.5553","1.4646","0.6671","4.03","0","31.09","10.4654"
"1990-05-01"," 69.87"," 9.5514","1.4638","0.6668","4.04","0","31.09","10.4697"
"1990-05-02"," 69.89"," 9.5610","1.4654","0.6675","4.03","0","31.09","10.4592"
"1990-05-03"," 70.41"," 9.6338","1.4762","0.6725","4.00","0","31.09","10.3801"
"1990-05-04"," 70.82"," 9.6940","1.4854","0.6769","3.98","0","31.08","10.3156"
"1990-05-07"," 71.42"," 9.7696","1.4978","0.6821","3.95","0","31.08","10.2358"
"1990-05-08"," 71.83"," 9.8283","1.5065","0.6861","3.93","0","31.08","10.1747"
"1990-05-09"," 72.23"," 9.8848","1.5128","0.6898","3.91","0","31.08","10.1165"
