"date","PX_LAST","PE_RATIO","PX_TO_BOOK_RATIO","PX_TO_SALES_RATIO","FREE_CASH_FLOW_YIELD","EST_LTG_EPS_AGGTE","TOT_DEBT_TO_TOT_ASSET","EARN_YLD"
"1990-01-31"," 98.43","11.0903","1.3450","0.9913"," 4.93","0","39.11"," 9.0169"
"1990-02-01"," 98.31","11.0664","1.3422","0.9890"," 4.94","0","39.11"," 9.0364"
"1990-02-02"," 98.63","11.1062","1.3468","0.9931"," 4.93","0","39.11"," 9.0040"
"1990-02-05"," 98.43","11.0691","1.3421","0.9900"," 4.94","0","39.11"," 9.0341"
"1990-02-06"," 98.10","11.0367","1.3393","0.9864"," 4.95","0","39.11"," 9.0607"
"1990-02-07"," 98.77","11.0863","1.3468","0.9915"," 4.93","0","39.11"," 9.0201"
"1990-02-08"," 98.50","11.0556","1.3453","0.9894"," 4.93","0","39.11"," 9.0452"
"1990-02-09"," 99.05","11.1097","1.3518","0.9944"," 4.91","0","39.11"," 9.0011"
"1990-02-12"," 98.10","11.0176","1.3393","0.9854"," 4.95","0","39.11"," 9.0764"
"1990-02-13"," 98.57","11.0872","1.3482","0.9910"," 4.92","0","39.11"," 9.0194"
"1990-02-14"," 98.76","11.1234","1.3503","0.9937"," 4.91","0","39.11"," 8.9901"
"1990-02-15"," 98.92","11.1436","1.3522","0.9957"," 4.90","0","39.11"," 8.9737"
"1990-02-16"," 98.33","11.0799","1.3449","0.9897"," 4.93","0","39.11"," 9.0254"
"1990-02-20"," 97.21","10.9865","1.3329","0.9813"," 4.98","0","39.11"," 9.1021"
"1990-02-21"," 96.98","10.9518","1.3297","0.9786"," 4.99","0","39.11"," 9.1309"
"1990-02-22"," 96.21","10.8849","1.3201","0.9719"," 5.03","0","39.11"," 9.1870"
"1990-02-23"," 96.12","10.8724","1.3187","0.9711"," 5.03","0","39.11"," 9.1976"
"1990-02-26"," 96.90","10.9569","1.3304","0.9782"," 4.99","0","39.11"," 9.1267"
"1990-02-27"," 96.88","10.9568","1.3310","0.9783"," 4.98","0","39.11"," 9.1267"
"1990-02-28"," 97.43","11.0338","1.3411","0.9850"," 4.94","0","39.06"," 9.0630"
"1990-03-01"," 97.13","11.0459","1.3444","0.9872"," 4.97","0","39.09"," 9.0532"
"1990-03-02"," 97.52","11.3651","1.3815","1.0086"," 4.66","0","38.84"," 8.7989"
"1990-03-05"," 96.85","11.2527","1.3669","0.9988"," 4.71","0","38.84"," 8.8867"
"1990-03-06"," 97.73","11.3504","1.3785","1.0073"," 4.67","0","38.84"," 8.8103"
"1990-03-07"," 96.93","11.2447","1.3663","0.9980"," 4.71","0","38.84"," 8.8931"
"1990-03-08"," 97.40","11.2890","1.3712","1.0026"," 4.69","0","38.84"," 8.8582"
