ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity,XLC US Equity,XLC US Equity,XLC US Equity,XLC US Equity,XLE US Equity,XLE US Equity,XLE US Equity,XLE US Equity,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity,XLP US Equity,XLP US Equity,XLP US Equity,XLP US Equity,XLU US Equity,XLU US Equity,XLU US Equity,XLU US Equity,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity,XLY US Equity,XLY US Equity,XLY US Equity,XLY US Equity
field,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME,EQY_INST_PCT_SH_OUT,PUT_CALL_OPEN_INTEREST_RATIO,PX_LAST,PX_VOLUME
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,68.448,1.1973,62.02,15442924.0,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,68.448,1.1797,58.89,24946730.0,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,,,68.448,1.1826,61.5,20767979.0,,,,,,,,,,,,,,,,
2019-01-06,,,,,,,,,,,,,,,,,,,,,68.448,1.1826,61.5,20767979.0,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,68.448,1.1806,62.05,11908943.0,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,,,68.448,1.2325,62.57,13002603.0,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,,,68.448,1.1625,63.38,14022385.0,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,,,68.448,1.1779,63.66,10934086.0,,,,,,,,,,,,,,,,
