ticker,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET,EARN_YLD,EST_LTG_EPS_AGGTE,FREE_CASH_FLOW_YIELD,PE_RATIO,PX_LAST,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,TOT_DEBT_TO_TOT_ASSET
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8455,11.16,6.09,17.1072,1089.04,5.8279,3.6243,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8455,11.15,6.09,17.1072,1089.04,5.8279,3.6243,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1575,11.04,6.41,16.2403,1033.85,5.5326,3.4407,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8983,11.05,6.14,16.9541,1079.29,5.7758,3.5919,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8479,11.02,6.09,17.1002,1088.59,5.8255,3.6228,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7931,11.0,5.91,17.2619,1098.35,5.8778,3.6551,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6881,11.03,5.84,17.5806,1111.92,5.9504,3.7002,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6618,11.02,5.8100000000000005,17.6621,1117.07,5.9779,3.7173,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6697,11.04,5.82,17.6377,1115.53,5.9697,3.7122,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7221,11.02,5.88,17.4761,1105.31,5.915,3.6782,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6391,11.0,5.79,17.7334,1121.68,6.0026,3.7327,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6365,10.82,5.79,17.7417,1122.2,6.0054,3.7344,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6298,10.81,5.75,17.7626,1129.7,6.0457,3.7594,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.547,10.87,5.66,18.0279,1146.57,6.1359,3.8155,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.547,10.26,5.66,18.0279,1146.57,6.1359,3.8155,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6459,10.61,5.76,17.712,1126.34,6.0277,3.7481999999999998,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6226,11.43,5.73,17.7852,1131.0,6.0526,3.7637,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5734,11.61,5.68,17.9425,1141.51,6.1089,3.7987,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4939,11.53,5.6,18.2021,1158.04,6.1996,3.8533,28.77,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5277,11.27,5.66,18.0907,1141.83,6.1187,3.7965,28.8,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5841,11.25,5.72,17.908,1130.3,6.0569,3.7580999999999998,28.8,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4201,11.25,5.55,18.45,1164.51,6.2402,3.8719,28.8,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4375,11.12,5.57,18.3908,1163.17,6.2515,3.8576,28.75,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4048,11.16,5.54,18.502,1170.2,6.2893,3.8810000000000002,28.75,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3293,11.09,5.47,18.7643,1188.93,6.4111,3.9412000000000003,29.43,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2825,11.08,5.42,18.9303,1199.45,6.4678,3.9760999999999997,29.43,,,,,,,,,,,,,,,,,,,,,,,,
