ticker,XLB US Equity,XLB US Equity,XLB US Equity,XLB US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,50.78,1.4982,9096305.0,100.119
2019-01-03,49.34,1.48,9833967.0,100.119
2019-01-04,51.28,1.4989,8950618.0,100.119
2019-01-06,51.28,1.4989,8950618.0,100.119
2019-01-07,51.46,1.4267,7468344.0,100.119
2019-01-08,52.0,1.4426,10328615.0,100.119
2019-01-09,52.02,1.4114,8125154.0,100.119
2019-01-10,52.48,1.5405,8471371.0,100.119
2019-01-11,52.27,1.4863,6186215.0,100.119
2019-01-13,52.27,1.4863,6186215.0,98.038
2019-01-14,51.87,1.6444999999999999,11503238.0,98.038
2019-01-15,51.53,1.645,7547102.0,98.038
2019-01-16,51.73,1.5960999999999999,13718673.0,98.038
2019-01-17,52.64,1.6076000000000001,10205511.0,98.038
2019-01-18,53.51,1.5445,8757425.0,98.038
2019-01-20,53.51,1.5445,8757425.0,95.216
2019-01-22,52.77,1.5574,7433445.0,95.216
2019-01-23,52.41,1.6109,5704980.0,95.216
2019-01-24,52.13,1.5097,5249672.0,95.216
2019-01-25,53.12,1.5015,4916976.0,95.216
2019-01-27,53.12,1.5015,4916976.0,99.621
2019-01-28,53.04,1.5226,5971989.0,99.621
2019-01-29,53.59,1.3925,8222997.0,99.621
2019-01-30,54.16,1.3487,7073290.0,99.621
2019-01-31,53.35,1.2607,12475263.0,99.621
2019-02-01,53.51,1.2244,5539469.0,99.621
2019-02-03,53.51,1.2244,5539469.0,95.842
2019-02-04,53.42,1.2643,3557811.0,95.842
2019-02-05,53.81,1.2375,4428865.0,95.842
2019-02-06,53.49,1.2328000000000001,4955033.0,95.842
2019-02-07,52.75,1.2338,6367955.0,95.842
2019-02-08,52.7,1.2725,4521382.0,95.842
2019-02-10,52.7,1.2725,4521382.0,97.647
2019-02-11,52.78,1.2704,4158324.0,97.647
2019-02-12,53.96,1.2824,10069829.0,97.647
2019-02-13,54.03,1.2844,7347124.0,97.647
2019-02-14,53.75,1.2227999999999999,4884989.0,97.647
2019-02-15,54.48,1.2138,7647158.0,97.647
2019-02-17,54.48,1.2138,7647158.0,88.889
2019-02-19,54.82,1.2462,12264493.0,88.889
2019-02-20,55.76,0.9553,11309283.0,88.889
2019-02-21,55.54,0.9045,8551895.0,88.889
2019-02-22,55.78,0.9346,4790764.0,88.889
2019-02-24,55.78,0.9346,4790764.0,88.583
2019-02-25,56.14,1.1138,6187927.0,88.583
2019-02-26,55.82,1.0762,6192295.0,88.583
2019-02-27,55.73,1.0795,4631198.0,88.583
2019-02-28,55.05,1.1446,8762524.0,88.583
2019-03-01,54.98,1.2009,9841530.0,88.583
2019-03-03,54.98,1.2009,9841530.0,84.291
2019-03-04,55.23,1.2059,7960375.0,84.291
2019-03-05,54.97,1.0991,5231730.0,84.291
