ticker,XLC US Equity,XLC US Equity,XLC US Equity,XLC US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,41.83,1.034,4625756.0,57.767
2019-01-03,41.13,1.0507,3433651.0,57.767
2019-01-04,42.9,1.0442,2647862.0,57.767
2019-01-06,42.9,1.0442,2647862.0,57.767
2019-01-07,43.39,1.0372,4048704.0,57.767
2019-01-08,44.12,0.9465,2144764.0,57.767
2019-01-09,44.18,0.9238,1840750.0,57.767
2019-01-10,44.27,0.9426,1340450.0,57.767
2019-01-11,44.05,0.9471,1227913.0,57.767
2019-01-13,44.05,0.9471,1227913.0,54.929
2019-01-14,43.89,0.9351,2344916.0,54.929
2019-01-15,44.62,0.9297,2459685.0,54.929
2019-01-16,44.43,1.0037,20343791.0,54.929
2019-01-17,44.61,1.0022,3311023.0,54.929
2019-01-18,44.97,1.0188,3375757.0,54.929
2019-01-20,44.97,1.0188,3375757.0,44.356
2019-01-22,44.04,0.97,4343193.0,44.356
2019-01-23,43.84,0.8429,2540467.0,44.356
2019-01-24,44.04,0.8621,2878743.0,44.356
2019-01-25,44.6,0.8611,3341106.0,44.356
2019-01-27,44.6,0.8611,3341106.0,43.315
2019-01-28,44.21,0.8515,4328163.0,43.315
2019-01-29,43.69,0.8542,1138073.0,43.315
2019-01-30,44.32,0.8389,2578227.0,43.315
2019-01-31,46.13,0.7816,4798832.0,43.315
2019-02-01,45.97,0.8106,4395141.0,43.315
2019-02-03,45.97,0.8106,4395141.0,43.614
2019-02-04,46.4,0.7995,3703092.0,43.614
2019-02-05,46.91,0.8189,2388556.0,43.614
2019-02-06,45.86,0.8165,3748888.0,43.614
2019-02-07,45.42,0.8285,2341508.0,43.614
2019-02-08,45.73,0.8377,2600366.0,43.614
2019-02-10,45.73,0.8377,2600366.0,43.767
2019-02-11,45.26,0.7587,2061105.0,43.767
2019-02-12,45.78,0.7657,2442958.0,43.767
2019-02-13,45.81,0.74,3620721.0,43.767
2019-02-14,45.98,0.7397,2103275.0,43.767
2019-02-15,46.18,0.7395,2283498.0,43.767
2019-02-17,46.18,0.7395,2283498.0,71.281
2019-02-19,46.23,0.8071,4218764.0,71.281
2019-02-20,46.07,0.4917,3566312.0,71.281
2019-02-21,45.64,0.5052,2631226.0,71.281
2019-02-22,46.07,0.5058,4005449.0,71.281
2019-02-24,46.07,0.5058,4005449.0,69.034
2019-02-25,46.12,0.4962,2410812.0,69.034
2019-02-26,46.12,0.5149,4704642.0,69.034
2019-02-27,45.89,0.8253,4009836.0,69.034
2019-02-28,45.92,0.8252,2374184.0,69.034
2019-03-01,46.28,0.8243,7114185.0,69.034
2019-03-03,46.28,0.8243,7114185.0,65.062
2019-03-04,46.34,0.8235,2906660.0,65.062
2019-03-05,46.63,0.8633,2805884.0,65.062
2019-03-06,46.61,0.8546,6131649.0,65.062
