ticker,XLE US Equity,XLE US Equity,XLE US Equity,XLE US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,58.48,1.1193,24892646.0,74.754
2019-01-03,57.9,1.1304,18024052.0,74.754
2019-01-04,59.87,1.0916,21351479.0,74.754
2019-01-06,59.87,1.0916,21351479.0,74.754
2019-01-07,60.76,1.102,18056906.0,74.754
2019-01-08,61.23,1.0943,18692311.0,74.754
2019-01-09,62.2,1.087,18756783.0,74.754
2019-01-10,62.38,1.0711,19167596.0,74.754
2019-01-11,62.01,1.078,14105948.0,74.754
2019-01-13,62.01,1.078,14105948.0,77.587
2019-01-14,61.86,1.0791,13191739.0,77.587
2019-01-15,62.08,1.0754,9821467.0,77.587
2019-01-16,62.0,1.0658,12541129.0,77.587
2019-01-17,62.57,1.0459,10174827.0,77.587
2019-01-18,63.84,1.0317,14531758.0,77.587
2019-01-20,63.84,1.0317,14531758.0,77.905
2019-01-22,62.45,1.0107,19863168.0,77.905
2019-01-23,61.81,1.0346,23367653.0,77.905
2019-01-24,62.14,1.0284,13049182.0,77.905
2019-01-25,62.93,1.0151,10233586.0,77.905
2019-01-27,62.93,1.0151,10233586.0,81.512
2019-01-28,62.3,1.0258,12022744.0,81.512
2019-01-29,62.49,1.0151,11884145.0,81.512
2019-01-30,63.37,1.0188,12116611.0,81.512
2019-01-31,63.78,1.0259,17844177.0,81.512
2019-02-01,64.89,1.0205,14772410.0,81.512
2019-02-03,64.89,1.0205,14772410.0,83.415
2019-02-04,65.04,1.0412,10108051.0,83.415
2019-02-05,65.14,1.0228,7852677.0,83.415
2019-02-06,64.66,1.0474,6803809.0,83.415
2019-02-07,63.23,1.1482999999999999,14600475.0,83.415
2019-02-08,62.94,1.151,10634406.0,83.415
2019-02-10,62.94,1.151,10634406.0,83.55
2019-02-11,63.24,1.1475,12497386.0,83.55
2019-02-12,64.04,1.1495,10677292.0,83.55
2019-02-13,64.84,1.1467,13061653.0,83.55
2019-02-14,65.07,1.1397,10213409.0,83.55
2019-02-15,66.12,1.1482,10183838.0,83.55
2019-02-17,66.12,1.1482,10183838.0,84.261
2019-02-19,66.32,1.1922,8721631.0,84.261
2019-02-20,66.6,1.0535,9935693.0,84.261
2019-02-21,65.57,1.0539,11866116.0,84.261
2019-02-22,65.76,1.0465,9948258.0,84.261
2019-02-24,65.76,1.0465,9948258.0,93.147
2019-02-25,65.87,1.0443,15904458.0,93.147
2019-02-26,65.66,1.0298,10550682.0,93.147
2019-02-27,65.91,1.0019,10294013.0,93.147
2019-02-28,65.25,0.9538,11249407.0,93.147
2019-03-01,66.45,0.9153,20327998.0,93.147
2019-03-03,66.45,0.9153,20327998.0,91.161
2019-03-04,66.57,0.9076,19780305.0,91.161
2019-03-05,66.35,0.9038,15807549.0,91.161
2019-03-06,65.51,0.9005,22690923.0,91.161
