ticker,XLF US Equity,XLF US Equity,XLF US Equity,XLF US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,24.02,1.4076,62944991.0,72.472
2019-01-03,23.48,1.4609,65730018.0,72.472
2019-01-04,24.26,1.437,64638355.0,72.472
2019-01-06,24.26,1.437,64638355.0,72.472
2019-01-07,24.29,1.4733,48167028.0,72.472
2019-01-08,24.31,1.4077,90114691.0,72.472
2019-01-09,24.43,1.4003,61037051.0,72.472
2019-01-10,24.44,1.409,48630810.0,72.472
2019-01-11,24.5,1.4229,44961617.0,72.472
2019-01-13,24.5,1.4229,44961617.0,75.051
2019-01-14,24.67,1.4175,50610566.0,75.051
2019-01-15,24.89,1.4086,59156475.0,75.051
2019-01-16,25.42,1.4205999999999999,72982441.0,75.051
2019-01-17,25.56,1.3939,55771263.0,75.051
2019-01-18,26.0,1.4126,58400191.0,75.051
2019-01-20,26.0,1.4126,58400191.0,75.269
2019-01-22,25.7,1.696,79651742.0,75.269
2019-01-23,25.73,2.632,44072057.0,75.269
2019-01-24,25.79,2.6141,25496893.0,75.269
2019-01-25,26.0,2.6187,63139954.0,75.269
2019-01-27,26.0,2.6187,63139954.0,75.88
2019-01-28,25.92,2.9103,66894895.0,75.88
2019-01-29,25.83,2.9283,29442082.0,75.88
2019-01-30,25.98,2.9199,62076761.0,75.88
2019-01-31,25.94,2.8357,64021467.0,75.88
2019-02-01,26.05,2.8138,42920281.0,75.88
2019-02-03,26.05,2.8138,42920281.0,76.321
2019-02-04,26.16,2.8425000000000002,30362455.0,76.321
2019-02-05,26.09,2.9069000000000003,39095274.0,76.321
2019-02-06,26.06,2.9359,51542815.0,76.321
2019-02-07,25.8,2.9826,80395650.0,76.321
2019-02-08,25.67,3.1463,54911051.0,76.321
2019-02-10,25.67,3.1463,54911051.0,77.683
2019-02-11,25.75,3.2372,53115694.0,77.683
2019-02-12,26.13,3.2857,37671288.0,77.683
2019-02-13,26.2,3.3357,42969630.0,77.683
2019-02-14,25.88,3.4362,47630097.0,77.683
2019-02-15,26.43,3.3727,46880785.0,77.683
2019-02-17,26.43,3.3727,46880785.0,74.011
2019-02-19,26.47,3.7151,23868332.0,74.011
2019-02-20,26.64,3.3739,27509066.0,74.011
2019-02-21,26.5,3.3906,46620034.0,74.011
2019-02-22,26.46,3.4439,26343683.0,74.011
2019-02-24,26.46,3.4439,26343683.0,74.04
2019-02-25,26.57,3.4211,33835895.0,74.04
2019-02-26,26.49,3.4385,35659790.0,74.04
2019-02-27,26.59,3.4159,42542398.0,74.04
2019-02-28,26.52,3.2111,39835922.0,74.04
2019-03-01,26.69,3.0896,82657330.0,74.04
2019-03-03,26.69,3.0896,82657330.0,73.764
2019-03-04,26.52,3.0922,76611896.0,73.764
2019-03-05,26.42,3.04,39868099.0,73.764
