ticker,XLI US Equity,XLI US Equity,XLI US Equity,XLI US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,64.74,0.9717,14687529.0,96.809
2019-01-03,62.77,0.9812,25976240.0,96.809
2019-01-04,65.15,0.978,19883639.0,96.809
2019-01-06,65.15,0.978,19883639.0,96.809
2019-01-07,65.68,0.9714,15193145.0,96.809
2019-01-08,66.58,0.9595,23069774.0,96.809
2019-01-09,67.03,0.9891,10036734.0,96.809
2019-01-10,67.94,0.9977,8900490.0,96.809
2019-01-11,67.87,0.9997,10691276.0,96.809
2019-01-13,67.87,0.9997,10691276.0,99.793
2019-01-14,67.86,1.0586,10105477.0,99.793
2019-01-15,67.65,1.057,12517456.0,99.793
2019-01-16,67.72,1.0545,12029894.0,99.793
2019-01-17,68.88,1.0582,22922580.0,99.793
2019-01-18,70.19,1.1304,20020208.0,99.793
2019-01-20,70.19,1.1304,20020208.0,103.204
2019-01-22,68.74,1.3785,15935259.0,103.204
2019-01-23,68.84,1.3451,13243826.0,103.204
2019-01-24,69.19,1.385,10361834.0,103.204
2019-01-25,70.07,1.379,13065935.0,103.204
2019-01-27,70.07,1.379,13065935.0,104.171
2019-01-28,69.4,1.4504000000000001,13143954.0,104.171
2019-01-29,70.36,1.3386,12384037.0,104.171
2019-01-30,71.46,1.2639,16892456.0,104.171
2019-01-31,71.77,1.3418999999999999,13867112.0,104.171
2019-02-01,71.88,1.2876,11844953.0,104.171
2019-02-03,71.88,1.2876,11844953.0,103.936
2019-02-04,72.81,1.6378,7688416.0,103.936
2019-02-05,73.44,1.4287,9079115.0,103.936
2019-02-06,73.46,1.5098,15557618.0,103.936
2019-02-07,72.96,1.7534,15611371.0,103.936
2019-02-08,73.07,1.8035,15977037.0,103.936
2019-02-10,73.07,1.8035,15977037.0,107.849
2019-02-11,73.46,1.9091,7909836.0,107.849
2019-02-12,74.6,1.8867,8909762.0,107.849
2019-02-13,75.04,1.9247999999999998,8134248.0,107.849
2019-02-14,74.69,1.8101,11703773.0,107.849
2019-02-15,75.69,2.1606,9593226.0,107.849
2019-02-17,75.69,2.1606,9593226.0,98.897
2019-02-19,75.66,2.8225,7994791.0,98.897
2019-02-20,76.02,1.8559999999999999,8911369.0,98.897
2019-02-21,75.71,1.9447,6782680.0,98.897
2019-02-22,76.21,1.9716,9816903.0,98.897
2019-02-24,76.21,1.9716,9816903.0,94.678
2019-02-25,76.51,1.8712,10108504.0,94.678
2019-02-26,76.3,1.8511,11731052.0,94.678
2019-02-27,76.6,1.6864,8033257.0,94.678
2019-02-28,76.34,1.6272,8531259.0,94.678
2019-03-01,76.41,1.6391,12786614.0,94.678
2019-03-03,76.41,1.6391,12786614.0,98.471
2019-03-04,76.07,1.6667999999999998,19150433.0,98.471
2019-03-05,75.58,1.4692,13820552.0,98.471
