ticker,XLK US Equity,XLK US Equity,XLK US Equity,XLK US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,62.02,1.1973,15442924.0,68.448
2019-01-03,58.89,1.1797,24946730.0,68.448
2019-01-04,61.5,1.1826,20767979.0,68.448
2019-01-06,61.5,1.1826,20767979.0,68.448
2019-01-07,62.05,1.1806,11908943.0,68.448
2019-01-08,62.57,1.2325,13002603.0,68.448
2019-01-09,63.38,1.1625,14022385.0,68.448
2019-01-10,63.66,1.1779,10934086.0,68.448
2019-01-11,63.54,1.161,7725602.0,68.448
2019-01-13,63.54,1.161,7725602.0,68.402
2019-01-14,62.95,1.1525,7242062.0,68.402
2019-01-15,63.9,1.1688,14326996.0,68.402
2019-01-16,63.96,1.0821,9468643.0,68.402
2019-01-17,64.37,1.0703,10128415.0,68.402
2019-01-18,65.35,1.0772,13651550.0,68.402
2019-01-20,65.35,1.0772,13651550.0,69.194
2019-01-22,64.25,1.2861,14992512.0,69.194
2019-01-23,64.47,1.182,9576120.0,69.194
2019-01-24,65.01,1.1622,14170898.0,69.194
2019-01-25,65.93,1.0979,10030815.0,69.194
2019-01-27,65.93,1.0979,10030815.0,70.188
2019-01-28,65.05,1.1304,9662469.0,70.188
2019-01-29,64.35,1.1239,8573987.0,70.188
2019-01-30,66.35,1.1927,16995325.0,70.188
2019-01-31,66.28,1.1871,18250916.0,70.188
2019-02-01,66.67,1.196,9737796.0,70.188
2019-02-03,66.67,1.196,9737796.0,71.844
2019-02-04,67.74,1.2018,7604287.0,71.844
2019-02-05,68.31,1.0597,12060664.0,71.844
2019-02-06,68.54,1.0625,10189649.0,71.844
2019-02-07,67.6,1.0474,14632128.0,71.844
2019-02-08,67.99,1.0342,8488796.0,71.844
2019-02-10,67.99,1.0342,8488796.0,71.682
2019-02-11,67.96,1.0329,7434660.0,71.682
2019-02-12,68.86,1.0119,9709099.0,71.682
2019-02-13,68.95,0.983,9120886.0,71.682
2019-02-14,69.07,0.9909,9742013.0,71.682
2019-02-15,69.62,1.0053,7356002.0,71.682
2019-02-17,69.62,1.0053,7356002.0,65.723
2019-02-19,69.64,1.0422,8319114.0,65.723
2019-02-20,69.72,0.8903,9852085.0,65.723
2019-02-21,69.75,0.9008,9754061.0,65.723
2019-02-22,70.64,0.8927,12246686.0,65.723
2019-02-24,70.64,0.8927,12246686.0,65.13
2019-02-25,70.98,0.917,20170501.0,65.13
2019-02-26,71.13,0.9284,14133959.0,65.13
2019-02-27,71.06,0.9523,9777532.0,65.13
2019-02-28,70.86,0.9546,9438331.0,65.13
2019-03-01,71.34,0.9618,12334027.0,65.13
2019-03-03,71.34,0.9618,12334027.0,63.57
2019-03-04,71.07,0.9935,15826472.0,63.57
2019-03-05,70.86,1.0021,8953880.0,63.57
2019-03-06,70.49,0.9961,13122115.0,63.57
