ticker,XLP US Equity,XLP US Equity,XLP US Equity,XLP US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,50.48,1.1754,20459341.0,76.621
2019-01-03,50.19,1.1822,22074830.0,76.621
2019-01-04,51.26,1.1767,19003481.0,76.621
2019-01-06,51.26,1.1767,19003481.0,76.621
2019-01-07,51.19,1.1342,15143256.0,76.621
2019-01-08,51.66,1.1403,28273829.0,76.621
2019-01-09,51.18,1.1755,15684516.0,76.621
2019-01-10,51.48,1.178,32431666.0,76.621
2019-01-11,51.63,1.1948,11732378.0,76.621
2019-01-13,51.63,1.1948,11732378.0,76.893
2019-01-14,51.38,1.0344,7811522.0,76.893
2019-01-15,51.89,1.0324,11447704.0,76.893
2019-01-16,51.61,0.9349,13484834.0,76.893
2019-01-17,51.83,0.938,10196398.0,76.893
2019-01-18,52.45,0.9546,11957618.0,76.893
2019-01-20,52.45,0.9546,11957618.0,74.453
2019-01-22,51.97,0.8829,20877708.0,74.453
2019-01-23,52.59,0.8107,23804728.0,74.453
2019-01-24,51.94,0.8281,17727217.0,74.453
2019-01-25,51.73,0.8455,12920339.0,74.453
2019-01-27,51.73,0.8455,12920339.0,78.877
2019-01-28,51.95,0.8655,10996666.0,78.877
2019-01-29,52.07,0.9098,11500374.0,78.877
2019-01-30,52.42,0.9512,13934622.0,78.877
2019-01-31,53.39,0.9506,17886515.0,78.877
2019-02-01,53.22,1.0276,14423443.0,78.877
2019-02-03,53.22,1.0276,14423443.0,77.429
2019-02-04,53.56,1.0599,13367542.0,77.429
2019-02-05,53.57,0.9311,11296082.0,77.429
2019-02-06,53.58,0.9442,19006094.0,77.429
2019-02-07,53.54,1.0163,14518998.0,77.429
2019-02-08,53.79,1.1249,11100066.0,77.429
2019-02-10,53.79,1.1249,11100066.0,78.57
2019-02-11,53.93,1.1384,6876160.0,78.57
2019-02-12,54.35,1.1285,11694050.0,78.57
2019-02-13,54.45,1.252,10809562.0,78.57
2019-02-14,53.84,1.4383,11388507.0,78.57
2019-02-15,54.35,1.3266,12635410.0,78.57
2019-02-17,54.35,1.3266,12635410.0,83.684
2019-02-19,54.63,1.65,19831685.0,83.684
2019-02-20,54.53,1.4318,14478614.0,83.684
2019-02-21,54.69,1.4328,11712184.0,83.684
2019-02-22,54.43,1.4407,24758739.0,83.684
2019-02-24,54.43,1.4407,24758739.0,82.785
2019-02-25,54.13,1.4192,15162584.0,82.785
2019-02-26,54.16,1.4015,15114394.0,82.785
2019-02-27,54.08,1.4051,10811601.0,82.785
2019-02-28,54.34,1.4087,8469392.0,82.785
2019-03-01,54.24,1.6313,10812214.0,82.785
2019-03-03,54.24,1.6313,10812214.0,80.426
2019-03-04,54.15,1.6472,10113567.0,80.426
2019-03-05,54.11,1.7311999999999999,10132429.0,80.426
