ticker,XLU US Equity,XLU US Equity,XLU US Equity,XLU US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,52.01,2.6228,25173884.0,107.088
2019-01-03,52.0,2.4464,21587458.0,107.088
2019-01-04,52.77,2.1426,19003613.0,107.088
2019-01-06,52.77,2.1426,19003613.0,107.088
2019-01-07,52.41,2.1588,16267738.0,107.088
2019-01-08,53.06,2.1702,16643536.0,107.088
2019-01-09,52.74,1.9299,18074713.0,107.088
2019-01-10,53.43,1.92,25458134.0,107.088
2019-01-11,53.23,1.6612,24842487.0,107.088
2019-01-13,53.23,1.6612,24842487.0,102.673
2019-01-14,52.03,1.6768,23489878.0,102.673
2019-01-15,52.67,1.7558,27093114.0,102.673
2019-01-16,52.86,1.6172,18348187.0,102.673
2019-01-17,53.08,1.5223,20786010.0,102.673
2019-01-18,53.14,1.5257,14154692.0,102.673
2019-01-20,53.14,1.5257,14154692.0,101.397
2019-01-22,53.24,1.5805,16914429.0,101.397
2019-01-23,53.78,1.2169,14211146.0,101.397
2019-01-24,54.06,1.2276,21924130.0,101.397
2019-01-25,53.32,1.1625,18154332.0,101.397
2019-01-27,53.32,1.1625,18154332.0,105.859
2019-01-28,53.07,1.1974,14183789.0,105.859
2019-01-29,53.22,1.2184,12618520.0,105.859
2019-01-30,53.63,1.2414,18578898.0,105.859
2019-01-31,54.76,1.2519,23081709.0,105.859
2019-02-01,54.55,1.2416,15562362.0,105.859
2019-02-03,54.55,1.2416,15562362.0,107.999
2019-02-04,54.64,1.3123,18065691.0,107.999
2019-02-05,54.75,1.2758,12296230.0,107.999
2019-02-06,54.72,1.2751000000000001,9204507.0,107.999
2019-02-07,55.44,1.2826,16075627.0,107.999
2019-02-08,55.68,1.3045,14633681.0,107.999
2019-02-10,55.68,1.3045,14633681.0,109.046
2019-02-11,55.66,1.3397000000000001,14729079.0,109.046
2019-02-12,55.79,1.255,14753324.0,109.046
2019-02-13,55.63,1.2909,13381784.0,109.046
2019-02-14,55.54,1.3038,19094014.0,109.046
2019-02-15,55.71,1.2998,9344553.0,109.046
2019-02-17,55.71,1.2998,9344553.0,102.754
2019-02-19,56.04,1.6221999999999999,14489396.0,102.754
2019-02-20,56.29,1.3482,14358395.0,102.754
2019-02-21,56.7,1.2974999999999999,19100276.0,102.754
2019-02-22,57.05,1.3141,15247538.0,102.754
2019-02-24,57.05,1.3141,15247538.0,111.238
2019-02-25,56.68,1.4423,13080110.0,111.238
2019-02-26,56.61,1.3706,13702740.0,111.238
2019-02-27,56.68,1.3927,11956341.0,111.238
2019-02-28,57.01,1.4091,12808086.0,111.238
2019-03-01,57.13,1.4465,13418045.0,111.238
2019-03-03,57.13,1.4465,13418045.0,112.64
2019-03-04,57.23,1.5248,12337582.0,112.64
2019-03-05,57.16,1.4954,12045578.0,112.64
