ticker,XLV US Equity,XLV US Equity,XLV US Equity,XLV US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,85.2,1.0884,14179948.0,77.214
2019-01-03,83.47,1.0969,17668044.0,77.214
2019-01-04,85.96,1.1233,16262555.0,77.214
2019-01-06,85.96,1.1233,16262555.0,77.214
2019-01-07,86.29,1.1606,12387246.0,77.214
2019-01-08,86.96,1.1667,13370996.0,77.214
2019-01-09,87.35,1.16,11259669.0,77.214
2019-01-10,87.52,1.1622,10396767.0,77.214
2019-01-11,87.81,1.1627,7187901.0,77.214
2019-01-13,87.81,1.1627,7187901.0,75.305
2019-01-14,86.84,1.2401,5448972.0,75.305
2019-01-15,88.4,1.2215,10540620.0,75.305
2019-01-16,88.24,1.2525,8288920.0,75.305
2019-01-17,89.02,1.2892000000000001,8731630.0,75.305
2019-01-18,90.08,1.2963,13367509.0,75.305
2019-01-20,90.08,1.2963,13367509.0,76.662
2019-01-22,89.46,1.8112,12244517.0,76.662
2019-01-23,89.56,1.1927,7722861.0,76.662
2019-01-24,88.81,1.2162,11306954.0,76.662
2019-01-25,88.92,1.2178,7241935.0,76.662
2019-01-27,88.92,1.2178,7241935.0,77.043
2019-01-28,87.91,1.2469999999999999,7113845.0,77.043
2019-01-29,88.34,1.1955,11099240.0,77.043
2019-01-30,89.55,1.2317,11706827.0,77.043
2019-01-31,90.67,1.263,13410059.0,77.043
2019-02-01,90.75,1.2535,9386492.0,77.043
2019-02-03,90.75,1.2535,9386492.0,77.654
2019-02-04,90.49,1.3006,9308908.0,77.654
2019-02-05,90.36,1.2469999999999999,8921434.0,77.654
2019-02-06,90.77,1.3179,6135904.0,77.654
2019-02-07,89.77,1.3139,9511821.0,77.654
2019-02-08,89.94,1.2378,7284173.0,77.654
2019-02-10,89.94,1.2378,7284173.0,78.059
2019-02-11,89.83,1.2346,5017407.0,78.059
2019-02-12,91.06,1.1761,9093318.0,78.059
2019-02-13,91.26,1.1784,6435569.0,78.059
2019-02-14,91.47,1.1907,6938644.0,78.059
2019-02-15,92.85,1.1987,8234221.0,78.059
2019-02-17,92.85,1.1987,8234221.0,78.814
2019-02-19,92.63,1.3891,6284092.0,78.814
2019-02-20,92.52,1.1268,6959918.0,78.814
2019-02-21,91.71,1.1138,8368479.0,78.814
2019-02-22,92.55,1.1125,6488091.0,78.814
2019-02-24,92.55,1.1125,6488091.0,76.777
2019-02-25,92.68,1.1956,7652584.0,76.777
2019-02-26,92.35,1.1812,7288017.0,76.777
2019-02-27,91.92,1.1743999999999999,9827557.0,76.777
2019-02-28,91.65,1.1643,9464107.0,76.777
2019-03-01,92.95,1.2343,10795155.0,76.777
2019-03-03,92.95,1.2343,10795155.0,79.978
2019-03-04,91.69,1.2659,15208819.0,79.978
2019-03-05,91.64,1.2405,13591690.0,79.978
