ticker,XLY US Equity,XLY US Equity,XLY US Equity,XLY US Equity
field,PX_LAST,PUT_CALL_OPEN_INTEREST_RATIO,PX_VOLUME,EQY_INST_PCT_SH_OUT
date,,,,
2019-01-02,99.76,1.2448,6840764.0,93.165
2019-01-03,97.6,1.2514,6346211.0,93.165
2019-01-04,100.83,1.2735,7269178.0,93.165
2019-01-06,100.83,1.2735,7269178.0,93.165
2019-01-07,103.11,1.2837,6263156.0,93.165
2019-01-08,104.25,1.258,9390977.0,93.165
2019-01-09,104.78,1.2570999999999999,5162747.0,93.165
2019-01-10,104.48,1.1517,4759997.0,93.165
2019-01-11,104.58,1.1758,3032579.0,93.165
2019-01-13,104.58,1.1758,3032579.0,96.765
2019-01-14,103.94,1.1985999999999999,2948145.0,96.765
2019-01-15,104.88,1.1999,3766806.0,96.765
2019-01-16,104.64,1.1793,4493973.0,96.765
2019-01-17,105.35,1.2708,4395957.0,96.765
2019-01-18,106.81,1.3338,5798123.0,96.765
2019-01-20,106.81,1.3338,5798123.0,96.916
2019-01-22,105.21,1.7659,9243681.0,96.916
2019-01-23,105.42,1.0475,6104331.0,96.916
2019-01-24,105.86,1.0354,3965227.0,96.916
2019-01-25,107.03,1.0336,4392949.0,96.916
2019-01-27,107.03,1.0336,4392949.0,96.135
2019-01-28,106.41,1.0754,5901025.0,96.135
2019-01-29,105.72,1.0682,2882308.0,96.135
2019-01-30,107.8,1.0633,5900514.0,96.135
2019-01-31,108.78,1.0629,5599090.0,96.135
2019-02-01,107.19,1.1163,5636382.0,96.135
2019-02-03,107.19,1.1163,5636382.0,97.29
2019-02-04,107.89,1.2647,3604799.0,97.29
2019-02-05,108.9,1.2025000000000001,4162383.0,97.29
2019-02-06,108.45,1.1856,2915949.0,97.29
2019-02-07,107.56,1.184,4521237.0,97.29
2019-02-08,107.13,1.1853,3323286.0,97.29
2019-02-10,107.13,1.1853,3323286.0,95.216
2019-02-11,107.32,1.2375,3057904.0,95.216
2019-02-12,108.97,1.2859,3876944.0,95.216
2019-02-13,109.71,1.2824,3480557.0,95.216
2019-02-14,109.31,1.306,4167348.0,95.216
2019-02-15,110.06,1.2379,3610515.0,95.216
2019-02-17,110.06,1.2379,3610515.0,79.998
2019-02-19,110.51,1.3389,4919423.0,79.998
2019-02-20,110.73,1.1823,6601747.0,79.998
2019-02-21,110.51,1.18,2993430.0,79.998
2019-02-22,111.11,1.1672,7108279.0,79.998
2019-02-24,111.11,1.1672,7108279.0,80.827
2019-02-25,110.74,1.1904,3991446.0,80.827
2019-02-26,110.89,1.1919,7175152.0,80.827
2019-02-27,110.81,1.164,3102228.0,80.827
2019-02-28,110.21,1.1386,4053410.0,80.827
2019-03-01,111.1,1.1917,4855991.0,80.827
2019-03-03,111.1,1.1917,4855991.0,80.853
2019-03-04,110.75,1.2408,5658849.0,80.853
2019-03-05,111.03,1.1486,5149252.0,80.853
