ticker,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index,S5COND Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,11.14,43.21,788.7495,20.5192,6.6223,1.4656,5.11,4.8735
2019-01-02,11.09,43.21,788.7495,20.5192,6.6223,1.4656,5.11,4.8735
2019-01-03,12.32,43.21,771.5414,20.0716,6.4778,1.4336,5.22,4.9822
2019-01-04,12.51,43.21,798.5231,20.7735,6.7044,1.4838,5.04,4.8138
2019-01-07,13.43,43.21,817.354,21.298,6.8625,1.5188000000000001,4.93,4.6953
2019-01-08,13.35,43.21,826.6893,21.5412,6.9408,1.5361,4.87,4.6423
2019-01-09,13.27,43.21,830.5328,21.6414,6.9731,1.5433,4.85,4.6208
2019-01-10,13.42,43.21,828.59,21.6648,6.9568,1.5396999999999998,4.86,4.6158
2019-01-11,13.45,43.21,828.3446,21.6584,6.9547,1.5392000000000001,4.86,4.6171
2019-01-14,13.44,43.21,822.699,21.5108,6.9073,1.5287,4.89,4.6488
2019-01-15,13.54,43.21,832.0301,21.7548,6.9857,1.546,4.84,4.5967
2019-01-16,13.56,43.21,830.722,21.7206,6.9747,1.5436,4.85,4.6039
2019-01-17,13.53,43.21,836.3481,21.8677,7.0219,1.5541,4.8100000000000005,4.573
2019-01-18,13.47,43.21,847.2122,22.141,7.1131,1.5741,4.75,4.5165
2019-01-21,13.74,43.21,847.2122,22.141,7.1131,1.5741,4.75,4.5165
2019-01-22,13.62,43.21,832.0053,21.7435,6.9855,1.5459,4.84,4.5991
2019-01-23,13.59,43.21,833.875,21.7924,7.0012,1.5493999999999999,4.83,4.5888
2019-01-24,13.59,43.21,838.3039,21.9082,7.0384,1.5575999999999999,4.8,4.5645
2019-01-25,13.59,43.21,847.088,22.1379,7.1121,1.5739,4.75,4.5171
2019-01-28,13.51,43.21,841.0267,21.9795,7.0612,1.5626,4.79,4.5497
2019-01-29,13.37,43.21,834.1369,21.7995,7.0034,1.5497999999999998,4.83,4.5873
2019-01-30,13.51,43.21,852.1611,22.2825,7.1547,1.5833,4.73,4.4878
