ticker,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index,S5CONS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,4.28,37.07,519.68,17.6922,4.9667,1.3296999999999999,4.91,5.6522
2019-01-02,4.24,37.07,519.68,17.6922,4.9667,1.3296999999999999,4.91,5.6522
2019-01-03,4.2,37.07,515.9,17.5635,4.9306,1.3201,4.95,5.6936
2019-01-04,4.18,37.07,526.98,17.9407,5.0365,1.3484,4.85,5.5739
2019-01-07,7.35,37.07,525.52,17.891,5.0225,1.3447,4.86,5.5894
2019-01-08,7.35,37.07,530.59,18.0636,5.071,1.3576,4.8100000000000005,5.536
2019-01-09,7.35,37.07,525.46,17.889,5.0219,1.3445,4.86,5.59
2019-01-10,7.35,37.07,528.66,17.9979,5.0525,1.3527,4.83,5.5562000000000005
2019-01-11,7.35,37.07,530.26,18.0524,5.0678,1.3568,4.82,5.5394
2019-01-14,7.35,37.07,527.67,17.964199999999998,5.0431,1.3502,4.84,5.5666
2019-01-15,7.35,37.07,532.71,18.1358,5.0912,1.3631,4.79,5.514
2019-01-16,7.06,37.07,529.85,18.0384,5.0639,1.3557000000000001,4.82,5.5437
2019-01-17,7.28,37.07,531.94,18.1096,5.0839,1.3611,4.8,5.5219000000000005
2019-01-18,7.28,37.07,538.36,18.3281,5.1452,1.3775,4.74,5.4561
2019-01-21,7.27,37.07,538.36,18.3281,5.1452,1.3775,4.74,5.4561
2019-01-22,7.26,37.07,532.94,18.1436,5.0934,1.3637000000000001,4.79,5.5116
2019-01-23,7.16,37.12,539.17,18.3456,5.153,1.377,4.74,5.4509
2019-01-24,7.15,37.12,532.15,18.1067,5.0859,1.3591,4.8,5.5228
2019-01-25,7.11,37.12,530.87,18.0632,5.0736,1.3558,4.8100000000000005,5.5361
2019-01-28,7.1,37.11,533.33,18.1558,5.0977,1.3617,4.79,5.5079
2019-01-29,7.11,37.11,534.21,18.1858,5.1062,1.3639000000000001,4.78,5.4988
2019-01-30,6.87,37.11,538.15,18.3199,5.1438,1.374,4.74,5.4585
