ticker,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index,S5ENRS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,8.28,21.35,432.85,14.4874,1.5359,1.0611,5.08,6.9025
2019-01-02,8.29,21.35,432.85,14.4874,1.5359,1.0611,5.08,6.9025
2019-01-03,8.33,21.35,428.07,14.3275,1.5189,1.0493999999999999,5.13,6.9796
2019-01-04,8.61,21.35,443.41,14.8409,1.5734,1.087,4.95,6.7381
2019-01-07,8.63,21.35,449.14,15.0324,1.5937000000000001,1.1011,4.89,6.6523
2019-01-08,8.66,21.35,452.87,15.1573,1.6069,1.1102,4.85,6.5975
2019-01-09,8.66,21.35,459.67,15.3849,1.6311,1.1269,4.78,6.4999
2019-01-10,8.65,21.35,461.17,15.4351,1.6364,1.1305,4.76,6.4788
2019-01-11,8.67,21.35,458.28,15.3383,1.6261,1.1235,4.79,6.5196
2019-01-14,8.69,21.35,457.43,15.3099,1.6231,1.1214,4.8,6.5317
2019-01-15,8.69,21.35,458.8,15.3879,1.6280000000000001,1.1247,4.78,6.4986
2019-01-16,8.74,21.35,458.1,15.3644,1.6255,1.123,4.79,6.5086
2019-01-17,8.75,21.35,462.58,15.5146,1.6414,1.134,4.74,6.4455
2019-01-18,8.73,21.35,471.53,15.8148,1.6732,1.1559,4.65,6.3232
2019-01-21,9.14,21.35,471.53,15.8148,1.6732,1.1559,4.65,6.3232
2019-01-22,9.07,21.37,461.15,15.4747,1.6364,1.1305,4.8100000000000005,6.4621
2019-01-23,9.01,21.37,456.54,15.32,1.6200999999999999,1.1192,4.85,6.5274
2019-01-24,8.98,21.37,459.26,15.4113,1.6297000000000001,1.1259000000000001,4.83,6.4887
2019-01-25,10.86,21.37,464.69,15.5935,1.649,1.1392,4.77,6.4129
2019-01-28,11.08,21.37,459.9,15.3568,1.6320000000000001,1.1274,4.82,6.5118
2019-01-29,11.1,21.37,461.36,15.4055,1.6372,1.131,4.8,6.4912
2019-01-30,11.13,21.37,467.49,15.6104,1.6589,1.146,4.74,6.406
