ticker,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index,S5FINL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,17.84,18.57,398.82,11.8847,1.2979,2.0788,12.5,8.4142
2019-01-02,17.62,18.53,398.82,11.8847,1.2979,2.0788,12.5,8.4142
2019-01-03,17.25,18.53,389.74,11.614,1.2684,2.0314,12.79,8.6103
2019-01-04,17.1,18.53,402.54,11.9951,1.31,2.0981,12.38,8.3367
2019-01-07,17.17,18.53,403.47,12.0228,1.3131,2.1029,12.35,8.3176
2019-01-08,17.14,18.53,403.47,12.0226,1.3131,2.1029,12.35,8.3177
2019-01-09,17.11,18.53,405.55,12.0846,1.3197999999999999,2.1137,12.29,8.275
2019-01-10,17.12,18.53,406.03,12.0985,1.3214000000000001,2.1162,12.28,8.2655
2019-01-11,16.74,18.53,406.73,12.1191,1.3237,2.1198,12.26,8.2514
2019-01-14,16.18,18.53,409.68,12.207,1.3333,2.1351,12.17,8.1921
2019-01-15,15.9,18.53,412.99,12.3056,1.3439999999999999,2.1524,12.07,8.1264
2019-01-16,14.75,18.53,422.09,12.5767,1.3737,2.1998,11.81,7.9512
2019-01-17,14.54,18.53,424.38,12.6451,1.3811,2.2118,11.75,7.9082
2019-01-18,14.59,18.53,431.64,12.822,1.4047,2.2495,11.51,7.7991
2019-01-21,14.43,18.53,431.64,12.822,1.4047,2.2495,11.51,7.7991
2019-01-22,14.3,18.53,426.95,12.6832,1.3895,2.2251,11.63,7.8844
2019-01-23,13.95,18.53,427.1,12.6659,1.3900000000000001,2.2259,11.63,7.8952
2019-01-24,13.81,18.53,427.97,12.6916,1.3928,2.2304,11.61,7.8793
2019-01-25,13.79,18.53,431.63,12.799900000000001,1.4047,2.2495,11.51,7.8126
2019-01-28,13.72,18.53,430.48,12.7657,1.401,2.2434,11.54,7.8335
2019-01-29,13.77,18.53,429.2,12.7272,1.3968,2.2368,11.58,7.8572
2019-01-30,13.94,18.53,431.06,12.782,1.4029,2.2464,11.53,7.8235
2019-01-31,13.92,18.53,429.9,12.7477,1.3991,2.2404,11.56,7.8446
