ticker,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index,S5HLTH Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,10.63,31.03,987.65,19.2885,4.0341,1.6785,5.78,5.1844
2019-01-02,10.64,31.03,987.65,19.2885,4.0341,1.6785,5.78,5.1844
2019-01-03,8.84,31.03,965.75,18.8608,3.9446,1.6413,5.91,5.302
2019-01-04,8.83,31.03,994.77,19.4275,4.0631,1.6905999999999999,5.73,5.1472999999999995
2019-01-07,8.83,31.03,998.85,19.5072,4.0798,1.6976,5.71,5.1263
2019-01-08,9.34,31.03,1008.3,19.6917,4.1184,1.7136,5.66,5.0783
2019-01-09,9.36,31.03,1011.51,19.7544,4.1315,1.7191,5.64,5.0622
2019-01-10,9.41,31.03,1013.96,19.8023,4.1415,1.7233,5.63,5.0499
2019-01-11,9.4,31.03,1017.28,19.8671,4.1551,1.7288999999999999,5.61,5.0334
2019-01-14,9.39,31.03,1005.45,19.6361,4.1068,1.7088,5.67,5.0927
2019-01-15,9.43,31.03,1022.98,19.9784,4.1784,1.7386,5.58,5.0054
2019-01-16,9.56,31.03,1021.42,19.948,4.172,1.7359,5.58,5.013
2019-01-17,9.62,31.03,1030.62,20.1276,4.2096,1.7516,5.53,4.9683
2019-01-18,9.7,31.04,1042.81,20.3955,4.2606,1.7762,5.46,4.9031
2019-01-21,9.7,31.04,1042.81,20.3955,4.2606,1.7762,5.46,4.9031
2019-01-22,9.69,31.04,1035.35,20.2496,4.2302,1.7635,5.5,4.9384
2019-01-23,9.35,31.04,1036.65,20.2187,4.2355,1.7657,5.25,4.9459
2019-01-24,9.38,31.04,1027.7,20.0904,4.1989,1.7578,5.29,4.9775
2019-01-25,9.25,31.03,1029.15,20.1043,4.2026,1.7601,5.28,4.9741
2019-01-28,9.38,31.03,1017.44,19.8761,4.1548,1.7401,5.35,5.0312
2019-01-29,9.41,31.03,1022.21,19.9693,4.1742,1.7482,5.32,5.0077
2019-01-30,9.34,31.03,1036.15,20.2416,4.2312,1.7721,5.25,4.9403
