ticker,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index,S5INDU Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,9.26,34.42,544.6,15.0796,4.2582,1.4776,4.6899999999999995,6.6315
2019-01-02,9.17,34.42,544.6,15.0796,4.2582,1.4776,4.6899999999999995,6.6315
2019-01-03,9.11,34.42,528.5,14.6338,4.1323,1.4339,4.83,6.8335
2019-01-04,9.13,34.42,548.85,15.1973,4.2914,1.4891,4.65,6.5801
2019-01-07,9.04,34.42,552.56,15.3001,4.3204,1.4992,4.62,6.5359
2019-01-08,9.01,34.42,560.34,15.5155,4.3812999999999995,1.5203,4.55,6.4452
2019-01-09,9.08,34.42,563.87,15.613199999999999,4.4089,1.5299,4.53,6.4048
2019-01-10,9.02,34.42,572.0,15.8383,4.4724,1.5518999999999998,4.46,6.3138
2019-01-11,9.03,34.42,571.3,15.818999999999999,4.467,1.55,4.47,6.3215
2019-01-14,8.84,34.42,571.14,15.8145,4.4657,1.5495999999999999,4.47,6.3233
2019-01-15,8.85,34.42,569.31,15.7639,4.4514,1.5446,4.48,6.3436
2019-01-16,8.8,34.42,569.99,15.7827,4.4567,1.5465,4.48,6.3361
2019-01-17,8.81,34.42,579.39,16.043,4.5302,1.572,4.41,6.2333
2019-01-18,8.85,34.42,590.15,16.3409,4.6144,1.6012,4.32,6.1196
2019-01-21,8.85,34.42,590.15,16.3409,4.6144,1.6012,4.32,6.1196
2019-01-22,8.88,34.42,577.93,16.0025,4.5188,1.568,4.42,6.249
2019-01-23,8.88,34.42,578.99,16.0319,4.5271,1.5709,4.41,6.2376
2019-01-24,8.97,34.42,582.23,16.1216,4.5524000000000004,1.5796999999999999,4.38,6.2029
2019-01-25,8.95,34.42,589.72,16.329,4.611,1.6,4.33,6.1241
2019-01-28,8.96,34.47,583.82,16.1586,4.5645,1.5826,4.35,6.1886
2019-01-29,8.98,34.47,591.81,16.3798,4.6269,1.6042999999999998,4.29,6.1051
2019-01-30,8.65,34.47,601.01,16.6344,4.6989,1.6292,4.22,6.0116
