ticker,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index,S5INFT Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,11.16,28.77,1089.04,17.1072,5.8279,3.6243,6.09,5.8455
2019-01-02,11.15,28.77,1089.04,17.1072,5.8279,3.6243,6.09,5.8455
2019-01-03,11.04,28.77,1033.85,16.2403,5.5326,3.4407,6.41,6.1575
2019-01-04,11.05,28.77,1079.29,16.9541,5.7758,3.5919,6.14,5.8983
2019-01-07,11.02,28.77,1088.59,17.1002,5.8255,3.6228,6.09,5.8479
2019-01-08,11.0,28.77,1098.35,17.2619,5.8778,3.6551,5.91,5.7931
2019-01-09,11.03,28.77,1111.92,17.5806,5.9504,3.7002,5.84,5.6881
2019-01-10,11.02,28.77,1117.07,17.6621,5.9779,3.7173,5.8100000000000005,5.6618
2019-01-11,11.04,28.77,1115.53,17.6377,5.9697,3.7122,5.82,5.6697
2019-01-14,11.02,28.77,1105.31,17.4761,5.915,3.6782,5.88,5.7221
2019-01-15,11.0,28.77,1121.68,17.7334,6.0026,3.7327,5.79,5.6391
2019-01-16,10.82,28.77,1122.2,17.7417,6.0054,3.7344,5.79,5.6365
2019-01-17,10.81,28.77,1129.7,17.7626,6.0457,3.7594,5.75,5.6298
2019-01-18,10.87,28.77,1146.57,18.0279,6.1359,3.8155,5.66,5.547
2019-01-21,10.26,28.77,1146.57,18.0279,6.1359,3.8155,5.66,5.547
2019-01-22,10.61,28.77,1126.34,17.712,6.0277,3.7481999999999998,5.76,5.6459
2019-01-23,11.43,28.77,1131.0,17.7852,6.0526,3.7637,5.73,5.6226
2019-01-24,11.61,28.77,1141.51,17.9425,6.1089,3.7987,5.68,5.5734
2019-01-25,11.53,28.77,1158.04,18.2021,6.1996,3.8533,5.6,5.4939
2019-01-28,11.27,28.8,1141.83,18.0907,6.1187,3.7965,5.66,5.5277
2019-01-29,11.25,28.8,1130.3,17.908,6.0569,3.7580999999999998,5.72,5.5841
2019-01-30,11.25,28.8,1164.51,18.45,6.2402,3.8719,5.55,5.4201
