ticker,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index,S5MATR Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,10.37,28.36,318.05,13.8485,2.0443,1.4356,4.44,7.221
2019-01-02,10.33,28.36,318.05,13.8485,2.0443,1.4356,4.44,7.221
2019-01-03,10.37,28.36,309.26,13.4746,1.9878,1.3969,4.57,7.4214
2019-01-04,10.3,28.36,321.35,14.0264,2.0655,1.4541,4.39,7.1294
2019-01-07,10.27,28.36,322.39,14.0818,2.0722,1.4598,4.37,7.1014
2019-01-08,10.25,28.36,325.66,14.2236,2.0932,1.4745,4.33,7.0306
2019-01-09,10.26,28.36,325.92,14.232,2.0949,1.4754,4.32,7.0264
2019-01-10,10.27,28.36,328.76,14.3248,2.1131,1.4849999999999999,4.3,6.9809
2019-01-11,10.26,28.36,327.44,14.2827,2.1046,1.4807000000000001,4.31,7.0015
2019-01-14,8.97,28.36,324.92,14.1877,2.0885,1.4708,4.34,7.0484
2019-01-15,10.05,28.36,322.82,14.0924,2.075,1.4609,4.37,7.096
2019-01-16,10.05,28.36,324.14,14.1598,2.0834,1.4679,4.35,7.0622
2019-01-17,10.05,28.36,329.6,14.4392,2.1185,1.4969000000000001,4.26,6.9256
2019-01-18,10.04,28.36,335.0,14.6609,2.1532,1.5199,4.2,6.8208
2019-01-21,10.04,28.36,335.0,14.6609,2.1532,1.5199,4.2,6.8208
2019-01-22,10.09,28.36,330.42,14.4256,2.1238,1.4955,4.27,6.9321
2019-01-23,10.09,28.36,328.28,14.3457,2.11,1.4872,4.29,6.9707
2019-01-24,10.1,28.36,326.45,14.2761,2.0983,1.48,4.31,7.0047
2019-01-25,10.94,28.36,332.71,14.5739,2.1385,1.5108000000000001,4.22,6.8616
2019-01-28,10.88,28.36,332.44,14.5705,2.1368,1.5104,4.22,6.8632
2019-01-29,10.84,28.36,335.79,14.6954,2.1583,1.5234,4.19,6.8049
2019-01-30,8.05,28.36,339.2,14.8436,2.1802,1.5387,4.15,6.7369
2019-01-31,7.57,28.36,333.98,14.5748,2.1467,1.5109,4.22,6.8612
