ticker,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index,S5TELS Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,10.85,31.93,140.52,16.2729,2.9966,2.6311999999999998,5.39,6.1452
2019-01-02,10.86,31.93,140.52,16.2729,2.9966,2.6311999999999998,5.39,6.1452
2019-01-03,10.79,31.93,138.48,16.0367,2.9531,2.593,5.47,6.2357
2019-01-04,11.04,31.93,144.11,16.6887,3.0732,2.6984,5.26,5.9921
2019-01-07,11.03,31.93,145.21,16.8161,3.0966,2.719,5.22,5.9467
2019-01-08,11.01,31.93,147.51,17.0824,3.1457,2.7621,5.14,5.854
2019-01-09,11.11,31.93,146.98,17.021,3.1344,2.7522,5.15,5.8751
2019-01-10,11.08,31.93,147.27,17.0546,3.1406,2.7576,5.14,5.8635
2019-01-11,11.03,31.93,147.07,17.0315,3.1363,2.7539,5.15,5.8715
2019-01-14,11.03,31.93,146.47,16.962,3.1235,2.7426,5.17,5.8955
2019-01-15,11.13,31.93,149.02,17.2573,3.1779,2.7904,5.08,5.7947
2019-01-16,11.15,31.93,148.42,17.1878,3.1651,2.7792,5.1,5.8181
2019-01-17,11.14,31.93,148.98,17.2527,3.177,2.7896,5.08,5.7962
2019-01-18,11.12,31.93,149.76,17.343,3.1937,2.8042,5.06,5.766
2019-01-21,11.12,31.93,149.76,17.343,3.1937,2.8042,5.06,5.766
2019-01-22,11.06,31.93,146.83,17.0037,3.1312,2.7494,5.16,5.8811
2019-01-23,11.0,31.93,147.19,17.0454,3.1388,2.7561,5.15,5.8667
2019-01-24,10.96,31.93,147.23,17.05,3.1397,2.7569,5.14,5.8651
2019-01-25,11.05,31.93,148.72,17.2226,3.1715,2.7848,5.09,5.8063
2019-01-28,11.05,31.93,147.02,17.0257,3.1352,2.7529,5.15,5.8735
2019-01-29,9.06,31.93,145.46,16.845,3.102,2.7237,5.21,5.9365
2019-01-30,9.03,31.93,147.25,17.0523,3.1401,2.7572,5.14,5.8643
2019-01-31,9.36,31.93,152.75,17.6892,3.2574,2.8602,4.96,5.6532
