ticker,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index,S5UTIL Index
field,EST_LTG_EPS_AGGTE,TOT_DEBT_TO_TOT_ASSET,PX_LAST,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,FREE_CASH_FLOW_YIELD,EARN_YLD
date,,,,,,,,
2019-01-01,-0.62,38.23,263.86,16.9593,1.8878,2.0713,-3.24,5.8965
2019-01-02,-0.63,38.27,263.86,16.9593,1.8878,2.0713,-3.24,5.8965
2019-01-03,-0.63,38.27,264.07,16.9728,1.8893,2.0729,-3.24,5.8918
2019-01-04,-0.63,38.27,267.99,17.2248,1.9174,2.1037,-3.19,5.8056
2019-01-07,-0.62,38.27,266.08,17.102,1.9037,2.0887000000000002,-3.22,5.8473
2019-01-08,-0.62,38.27,269.43,17.3173,1.9277,2.115,-3.18,5.7745999999999995
2019-01-09,-0.62,38.27,267.67,17.2042,1.9151,2.1012,-3.2,5.8125
2019-01-10,-0.62,38.27,271.44,17.4465,1.942,2.1308,-3.15,5.7318
2019-01-11,-0.62,38.27,270.25,17.37,1.9335,2.1214,-3.17,5.757
2019-01-14,-0.61,38.27,264.22,16.9825,1.8904,2.0741,-3.24,5.8884
2019-01-15,-0.62,38.27,267.57,17.1978,1.9144,2.1004,-3.2,5.8147
2019-01-16,-0.61,38.27,268.3,17.2447,1.9196,2.1061,-3.19,5.7989
2019-01-17,-0.61,38.27,269.44,17.318,1.9277,2.1151,-3.18,5.7743
2019-01-18,-0.6,38.82,269.76,18.187,1.9897,2.2198,-2.93,5.4984
2019-01-21,-0.6,38.82,269.76,18.187,1.9897,2.2198,-2.93,5.4984
2019-01-22,-0.61,38.82,270.15,18.2133,1.9926,2.223,-2.92,5.4905
2019-01-23,-0.6,38.82,273.07,18.4101,2.0141,2.247,-2.89,5.4318
2019-01-24,-0.61,38.82,274.39,18.4991,2.0238,2.2579000000000002,-2.88,5.4057
2019-01-25,-0.61,38.82,270.75,18.2537,1.9969999999999999,2.2279,-2.92,5.4783
2019-01-28,-0.61,38.82,269.5,18.1694,1.9878,2.2176,-2.93,5.5037
2019-01-29,-0.61,38.82,270.27,18.2196,1.9938,2.2249,-2.92,5.4886
2019-01-30,-0.61,38.82,272.03,18.3383,2.0068,2.2394,-2.9,5.4531
