Run Date,Data Date,IT,FIN,ENG,HLTH,CONS,COND,INDU,UTIL,TELS,MATR
1/26/2020,1/24/2020,0.25,0.05,0,0.25,0,0.2,0.06,0.11,0.08,0.02
1/30/2020,1/24/2020,0.25,0.12,0,0.21,0.01,0.24,0.03,0.06,0.08,0
1/31/2020,1/31/2020,0.24,0.11,0,0.21,0.01,0.24,0,0.08,0.1,0
2/9/2020,2/7/2020,0.18,0.02,0,0.24,0.07,0,0,0.01,0.22,0.02
2/14/2020,2/14/2020,0.21,0,0,0.24,0.06,0.22,0.05,0,0.22,0
2/21/2020,2/21/2020,0.24,0,0,0.16,0.06,0.24,0.09,0.03,0.18,0.01
2/28/2020,2/28/2020,0.24,0,0,0.25,0.06,0.2,0.08,0.07,0.1,0
3/10/2020,3/9/2020,0.25,0,0,0.24,0.08,0.19,0.06,0.09,0.08,0
4/3/2020,4/3/2020,0.24,0,0,0.21,0.16,0.24,0,0.05,0.09,0.01
4/9/2020,4/10/2020,0.24,0,0,0.23,0.16,0.23,0,0.07,0.05,0.03
4/17/2020,4/17/2020,0.25,0.02,0,0.24,0.15,0.2,0.04,0,0.1,0
4/24/2020,4/24/2020,0.24,0.01,0,0.22,0.15,0.23,0.01,0.04,0.07,0.01
4/30/2020,5/1/2020,0.24,0,0,0.21,0.1,0.22,0,0.09,0.11,0.02
6/26/2020,6/23/2020,0.24,0.06,0,0.24,0.04,0.25,0.06,0.04,0.08,0
6/26/2020,6/23/2020,0.24,0.06,0,0.24,0.04,0.25,0.06,0.04,0.08,0
6/26/2020,6/23/2020,0.24,0.06,0,0.24,0.04,0.25,0.06,0.04,0.08,0
6/26/2020,6/26/2020,0.25,0.07,0,0.24,0.04,0.22,0.04,0.03,0.11,0.01
7/11/2020,7/11/2020,0.25,0.02,0,0.24,0.03,0.25,0.07,0.07,0.04,0.03
7/18/2020,7/18/2020,0.25,0.06,0,0.24,0.01,0.24,0.1,0.04,0.04,0.01
7/26/2020,7/26/2020,0.25,0.03,0,0.24,0.04,0.24,0.02,0.06,0.08,0.05
8/1/2020,8/2/2020,0.25,0.03,0,0.22,0,0.24,0.11,0.06,0.06,0.03
8/7/2020,8/2/2020,0.25,0.03,0,0.22,0,0.24,0.11,0.06,0.06,0.03
8/15/2020,8/15/2020,0.24,0,0,0.24,0.04,0.25,0.13,0.02,0.06,0.01
8/21/2020,8/21/2020,0.24,0,0,0.24,0.04,0.25,0.13,0.02,0.06,0.01
8/27/2020,8/26/2020,0.24,0.01,0.01,0.23,0.04,0.25,0.13,0.02,0.05,0.01
9/5/2020,9/5/2020,0.24,0.02,0,0.24,0.03,0.25,0.13,0.02,0.15,0.01
9/12/2020,9/12/2020,0.2,0.05,0,0.25,0.03,0.22,0.16,0.02,0.15,0.03
9/20/2020,9/20/2020,0.2,0.06,0.01,0.25,0.03,0.22,0.15,0.02,0.04,0.03
9/27/2020,9/26/2020,0.22,0.07,0.01,0.24,0.02,0.21,0.16,0.02,0.04,0.02
10/3/2020,10/2/2020,0.1,0.09,0.01,0.23,0.01,0.19,0.16,0.04,0.04,0.04
10/10/2020,10/20/2020,0.24,0.06,0,0.24,0.01,0.21,0.15,0.03,0.03,0.04
10/18/2020,10/18/2020,0.2,0.06,0.01,0.24,0.03,0.21,0.14,0.04,0.05,0.03
10/23/2020,10/21/2020,0.19,0.06,0.01,0.24,0.04,0.21,0.13,0.04,0.05,0.04
11/1/2020,11/1/2020,0.23,0,0.03,0.22,0.05,0.25,0.11,0.04,0.07,0.01
11/7/2020,11/2/2020,0.23,0,0.02,0.22,0.06,0.25,0.1,0.05,0.07,0.01
11/13/2020,11/13/1010,0.23,0,0.03,0.21,0.05,0.25,0.11,0.06,0.06,0.01
11/20/2020,11/18/2020,0.23,0,0.02,0.21,0.05,0.25,0.11,0.07,0.06,0.01
